date,fee
2023-11-29,332
2023-11-30,421
2023-12-01,615
2023-12-02,1389
2023-12-03,230
2023-12-04,889
2023-12-05,532
2023-12-06,584
2023-12-07,687
2023-12-08,1215
2023-12-09,1369
2023-12-10,12170
2023-12-11,11743
2023-12-12,5832
2023-12-13,2830
2023-12-14,10295
2023-12-15,12797
2023-12-16,10450
2023-12-17,6658
2023-12-18,3737
2023-12-19,3936
2023-12-20,3427
2023-12-21,3104
2023-12-22,3577
2023-12-23,4777
2023-12-24,2625
2023-12-25,4913
2023-12-26,4480
2023-12-27,3328
2023-12-28,2445
2023-12-29,3195
2023-12-30,1219
2023-12-31,1311
2024-01-01,1910
2024-01-02,3235
2024-01-03,4728
2024-01-04,3620
2024-01-05,3648
2024-01-06,3026
2024-01-07,1329
2024-01-08,2857
2024-01-09,2629
2024-01-10,2607
2024-01-11,3017
2024-01-12,5056
2024-01-13,4191
2024-01-14,2224
2024-01-15,3294
2024-01-16,3792
2024-01-17,1958
2024-01-18,2814
2024-01-19,2920
2024-01-20,1042
2024-01-21,1039
2024-01-22,1827
2024-01-23,2944
2024-01-24,2724
2024-01-25,4630
2024-01-26,3337
2024-01-27,2223
2024-01-28,1400
2024-01-29,3329
2024-01-30,1538
2024-01-31,2666
2024-02-01,2441
2024-02-02,1927
2024-02-03,1397
2024-02-04,981
2024-02-05,1660
2024-02-06,2190
2024-02-07,1961
2024-02-08,2066
2024-02-09,1100
2024-02-10,2019
2024-02-11,1484
2024-02-12,1590
2024-02-13,1962
2024-02-14,1117
2024-02-15,6594
2024-02-16,3393
2024-02-17,2160
2024-02-18,1571
2024-02-19,6617
2024-02-20,5862
2024-02-21,3512
2024-02-22,4289
2024-02-23,3858
2024-02-24,2357
2024-02-25,2696
2024-02-26,4596
2024-02-27,3570
2024-02-28,16748
2024-02-29,9747
2024-03-01,3067
2024-03-02,5508
2024-03-03,5118
2024-03-04,6905
2024-03-05,13928
2024-03-06,9897
2024-03-07,8999
2024-03-08,6035
2024-03-09,2940
2024-03-10,3183
2024-03-11,5588
2024-03-12,6173
2024-03-13,7011
2024-03-14,16192
2024-03-15,25321
2024-03-16,34374
2024-03-17,20974
2024-03-18,22525
2024-03-19,30841
2024-03-20,32447
2024-03-21,35957
2024-03-22,21014
2024-03-23,13361
2024-03-24,15472
2024-03-25,19327
2024-03-26,16965
2024-03-27,22427
2024-03-28,15009
2024-03-29,8100
2024-03-30,9414
2024-03-31,9399
2024-04-01,14781
2024-04-02,13822
2024-04-03,12985
2024-04-04,15637
2024-04-05,20165
2024-04-06,11700
2024-04-07,12866
2024-04-08,13199
2024-04-09,14557
2024-04-10,18212
2024-04-11,18572
2024-04-12,19840
2024-04-13,22770
2024-04-14,32094
2024-04-15,21198
2024-04-16,16464
2024-04-17,15751
2024-04-18,14253
2024-04-19,12317
2024-04-20,11358
2024-04-21,9263
2024-04-22,10346
2024-04-23,10049
2024-04-24,9455
2024-04-25,9479
2024-04-26,9661
2024-04-27,7808
2024-04-28,8625
2024-04-29,8993
2024-04-30,13002
2024-05-01,12300
2024-05-02,14297
2024-05-03,10678
2024-05-04,9491
2024-05-05,7439
2024-05-06,6453
2024-05-07,10543
2024-05-08,7614
2024-05-09,9215
2024-05-10,7893
2024-05-11,6980
2024-05-12,5345
2024-05-13,7716
2024-05-14,7378
2024-05-15,9401
2024-05-16,9054
2024-05-17,9999
2024-05-18,10687
2024-05-19,13200
2024-05-20,11509
2024-05-21,14851
2024-05-22,12651
2024-05-23,10286
2024-05-24,15368
2024-05-25,12197
2024-05-26,11595
2024-05-27,12791
2024-05-28,15616
2024-05-29,14026
2024-05-30,15414
2024-05-31,11487
2024-06-01,12456
2024-06-02,9701
2024-06-03,11849
2024-06-04,14741
2024-06-05,16370
2024-06-06,14314
