date,fee
2023-11-29,909158
2023-11-30,871752
2023-12-01,863870
2023-12-02,902429
2023-12-03,941937
2023-12-04,1149202
2023-12-05,1218545
2023-12-06,1231022
2023-12-07,1048209
2023-12-08,1620514
2023-12-09,1393760
2023-12-10,1129185
2023-12-11,1503909
2023-12-12,1417752
2023-12-13,1733012
2023-12-14,1676928
2023-12-15,1619759
2023-12-16,1584891
2023-12-17,1495206
2023-12-18,1413360
2023-12-19,1235233
2023-12-20,1763239
2023-12-21,1969576
2023-12-22,2013321
2023-12-23,1801483
2023-12-24,1768819
2023-12-25,1863150
2023-12-26,2190430
2023-12-27,1945293
2023-12-28,2594827
2023-12-29,2425285
2023-12-30,2132062
2023-12-31,2039893
2024-01-01,1924178
2024-01-02,2161362
2024-01-03,2482651
2024-01-04,1683379
2024-01-05,2258640
2024-01-06,1788477
2024-01-07,1971674
2024-01-08,2258507
2024-01-09,2188075
2024-01-10,2248508
2024-01-11,2491453
2024-01-12,2246445
2024-01-13,1366647
2024-01-14,1221934
2024-01-15,1376977
2024-01-16,2135105
2024-01-17,2284746
2024-01-18,1444841
2024-01-19,1883123
2024-01-20,1688497
2024-01-21,1550141
2024-01-22,1093014
2024-01-23,1807635
2024-01-24,1734697
2024-01-25,1250896
2024-01-26,1312554
2024-01-27,1046918
2024-01-28,1021585
2024-01-29,1181368
2024-01-30,1441947
2024-01-31,1324005
2024-02-01,1153660
2024-02-02,1145684
2024-02-03,980567
2024-02-04,994396
2024-02-05,1052257
2024-02-06,1118046
2024-02-07,1058801
2024-02-08,1587058
2024-02-09,2288555
2024-02-10,2162675
2024-02-11,1540158
2024-02-12,1721318
2024-02-13,1689527
2024-02-14,1785441
2024-02-15,1984718
2024-02-16,2081188
2024-02-17,1932873
2024-02-18,1794815
2024-02-19,1691395
2024-02-20,1864964
2024-02-21,1648012
2024-02-22,2449856
2024-02-23,2225486
2024-02-24,1993902
2024-02-25,2208501
2024-02-26,2339801
2024-02-27,2738415
2024-02-28,3939419
2024-02-29,2513122
2024-03-01,2319043
2024-03-02,2282116
2024-03-03,2387773
2024-03-04,2877737
2024-03-05,3490964
2024-03-06,2944987
2024-03-07,3241388
2024-03-08,5349024
2024-03-09,4408618
2024-03-10,6268874
