date,fee
2023-11-29,16755927
2023-11-30,16255092
2023-12-01,18383364
2023-12-02,18709657
2023-12-03,15224446
2023-12-04,16786969
2023-12-05,21380816
2023-12-06,24031289
2023-12-07,23806649
2023-12-08,22638341
2023-12-09,19268401
2023-12-10,16694752
2023-12-11,16276075
2023-12-12,16881374
2023-12-13,19514076
2023-12-14,21143212
2023-12-15,20894088
2023-12-16,23049809
2023-12-17,20823224
2023-12-18,18000405
2023-12-19,22904023
2023-12-20,21559750
2023-12-21,23022984
2023-12-22,18857106
2023-12-23,16117711
2023-12-24,12696302
2023-12-25,12403614
2023-12-26,12978634
2023-12-27,12735498
2023-12-28,17371575
2023-12-29,18643751
2023-12-30,14937474
2023-12-31,11303085
2024-01-01,8773468
2024-01-02,11068692
2024-01-03,14108672
2024-01-04,18384254
2024-01-05,13510966
2024-01-06,11341579
2024-01-07,9831273
2024-01-08,15190926
2024-01-09,14906751
2024-01-10,16443269
2024-01-11,22706384
2024-01-12,19544607
2024-01-13,14909733
2024-01-14,11985399
2024-01-15,16049805
2024-01-16,14725434
2024-01-17,21677469
2024-01-18,19414875
2024-01-19,20862080
2024-01-20,16087825
2024-01-21,11025649
2024-01-22,11478694
2024-01-23,12683597
2024-01-24,10611205
2024-01-25,11246526
2024-01-26,14366751
2024-01-27,11755829
2024-01-28,8949282
2024-01-29,9185353
2024-01-30,11785764
2024-01-31,15518477
2024-02-01,14781216
2024-02-02,15702733
2024-02-03,13679934
2024-02-04,11984405
2024-02-05,10197538
2024-02-06,12257875
2024-02-07,18522108
2024-02-08,20864062
2024-02-09,27653938
2024-02-10,29183481
2024-02-11,18442923
2024-02-12,17532273
2024-02-13,23030102
2024-02-14,19010899
2024-02-15,19243815
2024-02-16,21213314
2024-02-17,17272637
2024-02-18,14268996
2024-02-19,16807089
2024-02-20,23123014
2024-02-21,22726596
2024-02-22,25776858
2024-02-23,23877349
2024-02-24,18547253
2024-02-25,18752335
2024-02-26,24934100
2024-02-27,37831894
2024-02-28,38232086
2024-02-29,44235110
2024-03-01,33914666
2024-03-02,31386671
2024-03-03,32193379
2024-03-04,45593745
2024-03-05,58717495
2024-03-06,51009845
2024-03-07,50996633
2024-03-08,41939572
2024-03-09,36791725
2024-03-10,40136644
2024-03-11,45528997
2024-03-12,27058257
2024-03-13,42114227
2024-03-14,56512601
2024-03-15,38981931
2024-03-16,21618626
2024-03-17,25760592
2024-03-18,25187062
2024-03-19,30176092
2024-03-20,24787900
2024-03-21,26048759
2024-03-22,21580706
2024-03-23,17788415
2024-03-24,17052340
2024-03-25,21685895
2024-03-26,24351693
2024-03-27,26254327
