date,fee
2023-01-16,87921
2023-01-17,74277
2023-01-18,82766
2023-01-19,66779
2023-01-20,79291
2023-01-21,84395
2023-01-22,81132
2023-01-23,94278
2023-01-24,74696
2023-01-25,71845
2023-01-26,72635
2023-01-27,66858
2023-01-28,67100
2023-01-29,70900
2023-01-30,73167
2023-01-31,59891
2023-02-01,71148
2023-02-02,68444
2023-02-03,64535
2023-02-04,75351
2023-02-05,68194
2023-02-06,64203
2023-02-07,77190
2023-02-08,73469
2023-02-09,73557
2023-02-10,75892
2023-02-11,51120
2023-02-12,55841
2023-02-13,62047
2023-02-14,58924
2023-02-15,60257
2023-02-16,67746
2023-02-17,58124
2023-02-18,62671
2023-02-19,72666
2023-02-20,78921
2023-02-21,77230
2023-02-22,69483
2023-02-23,67746
2023-02-24,75419
2023-02-25,30053
2023-02-26,54344
2023-02-27,97175
2023-02-28,70499
2023-03-01,62434
2023-03-02,71567
2023-03-03,72551
2023-03-04,59976
2023-03-05,58368
2023-03-06,58895
2023-03-07,62237
2023-03-08,64694
2023-03-09,75025
2023-03-10,80496
2023-03-11,158092
2023-03-12,61108
2023-03-13,77020
2023-03-14,70555
2023-03-15,66149
2023-03-16,58227
2023-03-17,67804
2023-03-18,73143
2023-03-19,59098
2023-03-20,79881
2023-03-21,70439
2023-03-22,1109937
2023-03-23,57648
2023-03-24,1101496
2023-03-25,1097040
2023-03-26,1097890
2023-03-27,50103
2023-03-28,49259
2023-03-29,1095904
2023-03-30,52205
2023-03-31,50478
2023-04-01,48722
2023-04-02,53237
2023-04-03,53091
2023-04-04,48415
2023-04-05,47366
2023-04-06,50032
2023-04-07,45830
2023-04-08,46912
2023-04-09,46816
2023-04-10,49883
2023-04-11,70445
2023-04-12,81760
2023-04-13,74103
2023-04-14,71125
2023-04-15,57515
2023-04-16,60390
2023-04-17,71536
2023-04-18,63510
2023-04-19,72020
2023-04-20,62948
2023-04-21,59995
2023-04-22,52937
2023-04-23,52059
2023-04-24,55999
2023-04-25,58887
2023-04-26,58239
2023-04-27,61367
2023-04-28,60163
2023-04-29,61832
2023-04-30,58129
2023-05-01,65446
2023-05-02,54303
2023-05-03,59420
2023-05-04,86284
2023-05-05,93539
2023-05-06,151266
2023-05-07,98362
2023-05-08,114939
2023-05-09,88630
2023-05-10,107188
2023-05-11,87060
2023-05-12,76706
2023-05-13,61275
2023-05-14,55257
2023-05-15,62552
2023-05-16,59245
2023-05-17,60398
2023-05-18,65422
2023-05-19,56105
2023-05-20,53584
2023-05-21,52300
2023-05-22,55313
2023-05-23,51097
2023-05-24,100882
