date,fee
2023-12-19,30914
2023-12-20,36512
2023-12-21,39123
2023-12-22,33490
2023-12-23,46267
2023-12-24,28756
2023-12-25,22717
2023-12-26,18564
2023-12-27,43843
2023-12-28,23332
2023-12-29,24749
2023-12-30,25138
2023-12-31,76498
2024-01-01,98131
2024-01-02,143362
2024-01-03,151075
2024-01-04,72845
2024-01-05,57066
2024-01-06,53829
2024-01-07,68371
2024-01-08,44571
2024-01-09,56691
2024-01-10,71456
2024-01-11,76381
2024-01-12,104396
2024-01-13,133296
2024-01-14,132959
2024-01-15,131540
2024-01-16,211458
2024-01-17,187423
2024-01-18,60494
2024-01-19,66525
2024-01-20,58088
2024-01-21,33609
2024-01-22,42811
2024-01-23,77188
2024-01-24,103001
2024-01-25,69290
2024-01-26,64115
2024-01-27,87907
2024-01-28,72145
2024-01-29,102808
2024-01-30,147385
2024-01-31,241532
2024-02-01,80371
2024-02-02,67860
2024-02-03,46284
2024-02-04,38784
2024-02-05,51026
2024-02-06,76412
2024-02-07,46272
2024-02-08,67879
2024-02-09,53198
2024-02-10,98490
2024-02-11,72653
2024-02-12,157380
2024-02-13,295201
2024-02-14,295359
2024-02-15,92564
2024-02-16,109613
2024-02-17,70158
2024-02-18,101035
2024-02-19,69198
2024-02-20,94965
2024-02-21,95829
2024-02-22,89376
2024-02-23,70023
2024-02-24,98224
2024-02-25,50012
2024-02-26,82500
2024-02-27,87948
2024-02-28,101400
2024-02-29,135816
2024-03-01,121146
2024-03-02,101855
2024-03-03,121154
2024-03-04,98814
2024-03-05,140840
2024-03-06,184344
2024-03-07,103299
2024-03-08,132718
2024-03-09,113184
2024-03-10,112574
2024-03-11,110829
2024-03-12,118641
2024-03-13,162335
2024-03-14,129362
2024-03-15,161930
2024-03-16,187582
2024-03-17,286106
2024-03-18,176562
2024-03-19,238741
2024-03-20,260296
2024-03-21,197165
2024-03-22,237563
2024-03-23,180464
2024-03-24,92719
2024-03-25,109939
2024-03-26,200681
2024-03-27,319191
2024-03-28,326957
2024-03-29,187577
2024-03-30,205193
2024-03-31,137939
2024-04-01,117734
2024-04-02,344688
2024-04-03,214374
2024-04-04,173630
2024-04-05,162466
2024-04-06,179252
2024-04-07,129691
2024-04-08,135752
2024-04-09,138356
2024-04-10,175089
2024-04-11,165763
2024-04-12,174605
2024-04-13,221584
2024-04-14,204279
2024-04-15,166367
2024-04-16,205600
2024-04-17,149989
2024-04-18,157247
2024-04-19,157470
2024-04-20,164789
2024-04-21,117722
2024-04-22,167247
2024-04-23,157137
2024-04-24,147233
2024-04-25,149407
2024-04-26,144987
2024-04-27,124458
2024-04-28,125917
2024-04-29,116107
2024-04-30,193586
2024-05-01,174636
2024-05-02,137913
2024-05-03,114215
2024-05-04,135830
2024-05-05,102543
2024-05-06,113401
2024-05-07,140174
2024-05-08,162971
2024-05-09,140785
2024-05-10,127283
2024-05-11,135987
2024-05-12,104654
2024-05-13,107509
2024-05-14,126830
2024-05-15,119964
2024-05-16,124122
2024-05-17,118606
2024-05-18,128824
2024-05-19,110202
2024-05-20,122996
2024-05-21,218989
2024-05-22,184910
2024-05-23,207550
2024-05-24,203151
2024-05-25,154108
2024-05-26,137928
2024-05-27,154123
2024-05-28,236491
2024-05-29,296604
2024-05-30,207478
2024-05-31,231937
2024-06-01,174757
2024-06-02,181537
2024-06-03,187331
2024-06-04,214781
2024-06-05,183216
2024-06-06,194940
2024-06-07,199516
2024-06-08,253706
2024-06-09,271696
2024-06-10,196059
2024-06-11,290213
2024-06-12,199352
2024-06-13,198808
2024-06-14,160907
2024-06-15,163251
2024-06-16,135018
2024-06-17,155950
2024-06-18,177831
2024-06-19,196947
2024-06-20,142831
2024-06-21,147753
2024-06-22,140610
2024-06-23,108645
2024-06-24,124206
2024-06-25,154383
2024-06-26,115131
2024-06-27,120795
2024-06-28,120584
2024-06-29,110181
2024-06-30,94915
2024-07-01,123246
2024-07-02,110496
2024-07-03,106030
2024-07-04,198199
2024-07-05,128196
2024-07-06,158044
2024-07-07,86719
2024-07-08,100897
2024-07-09,112557
2024-07-10,99077
2024-07-11,93932
2024-07-12,99320
2024-07-13,85268
2024-07-14,71756
2024-07-15,96307
2024-07-16,105236
2024-07-17,117151
2024-07-18,99012
2024-07-19,87806
2024-07-20,78661
2024-07-21,81056
2024-07-22,82657
2024-07-23,93299
2024-07-24,79613
2024-07-25,70589
2024-07-26,77352
2024-07-27,64787
2024-07-28,64764
2024-07-29,60562
2024-07-30,73599
2024-07-31,85556
2024-08-01,85194
2024-08-02,83923
2024-08-03,76771
2024-08-04,119158
2024-08-05,157467
2024-08-06,84514
2024-08-07,96901
2024-08-08,105690
2024-08-09,137531
2024-08-10,118567
2024-08-11,112169
2024-08-12,203908
2024-08-13,141520
2024-08-14,110211
2024-08-15,105836
2024-08-16,98463
2024-08-17,79390
2024-08-18,84934
2024-08-19,103410
2024-08-20,91699
2024-08-21,78452
2024-08-22,74925
2024-08-23,110512
2024-08-24,105098
2024-08-25,98451
2024-08-26,90675
2024-08-27,95616
2024-08-28,89067
2024-08-29,61118
2024-08-30,56753
2024-08-31,44999
2024-09-01,56179
2024-09-02,62042
2024-09-03,68436
2024-09-04,74288
2024-09-05,67800
2024-09-06,95780
2024-09-07,77952
2024-09-08,93212
2024-09-09,74775
2024-09-10,77270
2024-09-11,89112
2024-09-12,133744
2024-09-13,95979
2024-09-14,92866
2024-09-15,108745
2024-09-16,127928
2024-09-17,134484
2024-09-18,-787148
2024-09-19,185962
2024-09-20,202178
2024-09-21,134213
2024-09-22,180613
2024-09-23,202409
2024-09-24,238248
2024-09-25,192534
2024-09-26,182743
2024-09-27,173920
2024-09-28,120649
2024-09-29,214333
2024-09-30,216334
2024-10-01,348008
2024-10-02,335605
2024-10-03,386441
2024-10-04,284056
2024-10-05,166977
2024-10-06,216697
2024-10-07,351067
2024-10-08,309706
2024-10-09,308570
2024-10-10,309634
2024-10-11,285713
2024-10-12,300511
2024-10-13,321605
2024-10-14,342366
2024-10-15,361944
2024-10-16,440734
2024-10-17,313169
2024-10-18,276355
2024-10-19,231868
2024-10-20,315325
2024-10-21,332321
2024-10-22,346821
2024-10-23,266943
2024-10-24,246734
2024-10-25,211358
2024-10-26,207654
2024-10-27,184534
2024-10-28,258006
2024-10-29,315110
2024-10-30,256351
2024-10-31,254414
2024-11-01,294457
2024-11-02,191838
2024-11-03,233505
2024-11-04,259378
2024-11-05,266359
2024-11-06,380639
2024-11-07,402841
2024-11-08,396773
2024-11-09,427515
2024-11-10,755759
2024-11-11,622179
2024-11-12,589204
2024-11-13,748023
2024-11-14,627331
2024-11-15,565950
2024-11-16,514611
2024-11-17,537029
2024-11-18,442121
2024-11-19,400974
2024-11-20,531087
2024-11-21,403772
2024-11-22,383988
2024-11-23,376864
2024-11-24,415190
2024-11-25,403270
2024-11-26,540470
2024-11-27,416430
2024-11-28,335222
2024-11-29,283300
2024-11-30,266636
2024-12-01,303929
2024-12-02,380737
2024-12-03,608237
2024-12-04,113503
2024-12-05,753818
2024-12-06,544995
2024-12-07,495658
2024-12-08,511778
2024-12-09,765542
2024-12-10,715914
2024-12-11,690650
2024-12-12,1172316
2024-12-13,908055
2024-12-14,665300
2024-12-15,676716
2024-12-16,766798
2024-12-17,782982
2024-12-18,883312
2024-12-19,1010417
2024-12-20,1080278
2024-12-21,777503
2024-12-22,749833
2024-12-23,693783
2024-12-24,588688
2024-12-25,476646
2024-12-26,524175
2024-12-27,473745
2024-12-28,435248
2024-12-29,411962
2024-12-30,500128
2024-12-31,428032
2025-01-01,374992
2025-01-02,492413
2025-01-03,596505
2025-01-04,709751
2025-01-05,624850
2025-01-06,668043
2025-01-07,751110
2025-01-08,850948
2025-01-09,682952
2025-01-10,670377
2025-01-11,456598
2025-01-12,480519
2025-01-13,698914
2025-01-14,573930
2025-01-15,638471
2025-01-16,668444
2025-01-17,806295
2025-01-18,825589
2025-01-19,728892
2025-01-20,741674
2025-01-21,609286
2025-01-22,495329
2025-01-23,520671
2025-01-24,473970
2025-01-25,405766
2025-01-26,478647
2025-01-27,807793
2025-01-28,481526
2025-01-29,507110
2025-01-30,517849
2025-01-31,471113
2025-02-01,454840
2025-02-02,661870
2025-02-03,1102038
2025-02-04,552673
2025-02-05,427631
2025-02-06,441878
2025-02-07,422811
2025-02-08,320543
2025-02-09,308708
2025-02-10,392528
2025-02-11,415714
2025-02-12,430383
2025-02-13,430383
