date,fee
2023-11-29,1313894
2023-11-30,1385542
2023-12-01,1446767
2023-12-02,1096809
2023-12-03,1032124
2023-12-04,1514876
2023-12-05,1480359
2023-12-06,1442991
2023-12-07,1491275
2023-12-08,1450486
2023-12-09,1204857
2023-12-10,1111830
2023-12-11,1563772
2023-12-12,1455185
2023-12-13,1356050
2023-12-14,1411105
2023-12-15,1510188
2023-12-16,1111188
2023-12-17,1001411
2023-12-18,1450063
2023-12-19,1340048
2023-12-20,1331964
2023-12-21,1258763
2023-12-22,1236909
2023-12-23,1071871
2023-12-24,1003904
2023-12-25,1174964
2023-12-26,1255714
2023-12-27,1247171
2023-12-28,1277868
2023-12-29,1262678
2023-12-30,1023949
2023-12-31,900557
2024-01-01,914255
2024-01-02,1195060
2024-01-03,1330004
2024-01-04,1217938
2024-01-05,1214315
2024-01-06,985879
2024-01-07,907820
2024-01-08,1292333
2024-01-09,1293653
2024-01-10,1328594
2024-01-11,1400912
2024-01-12,1325799
2024-01-13,1030439
2024-01-14,1024541
2024-01-15,1476846
2024-01-16,1343864
2024-01-17,1298922
2024-01-18,1323573
2024-01-19,1311979
2024-01-20,1060986
2024-01-21,966478
2024-01-22,1333236
2024-01-23,1319525
2024-01-24,1202738
2024-01-25,1236097
2024-01-26,1246862
2024-01-27,1019294
2024-01-28,917953
2024-01-29,1319813
2024-01-30,1297313
2024-01-31,1364840
2024-02-01,1302489
2024-02-02,1325235
2024-02-03,1069011
2024-02-04,976004
2024-02-05,1447886
2024-02-06,1337344
2024-02-07,1307428
2024-02-08,1363008
2024-02-09,1193849
2024-02-10,872666
2024-02-11,831382
2024-02-12,193894
2024-02-13,56885
2024-02-14,484319
2024-02-15,120789
2024-02-16,114683
2024-02-17,41992
2024-02-18,25339
2024-02-19,34953
2024-02-20,1789318
2024-02-21,1597524
2024-02-22,1581802
2024-02-23,1482308
2024-02-24,1213034
2024-02-25,1214074
2024-02-26,1763397
2024-02-27,1828072
2024-02-28,1992834
2024-02-29,2038732
2024-03-01,1971892
2024-03-02,1643318
2024-03-03,1656658
2024-03-04,2093735
2024-03-05,2411675
2024-03-06,2048438
2024-03-07,1920956
2024-03-08,1816984
2024-03-09,1526022
2024-03-10,1452624
2024-03-11,1927012
2024-03-12,1799685
2024-03-13,1804479
2024-03-14,1833265
2024-03-15,1877347
2024-03-16,1443609
2024-03-17,1369330
2024-03-18,1568447
2024-03-19,1925288
2024-03-20,1842084
2024-03-21,1636398
2024-03-22,1608781
2024-03-23,1349243
2024-03-24,1243332
2024-03-25,1752316
2024-03-26,1778386
2024-03-27,1633952
2024-03-28,1549302
2024-03-29,1479198
2024-03-30,1243543
2024-03-31,1193089
2024-04-01,1663699
2024-04-02,1743054
2024-04-03,1648338
2024-04-04,1485863
2024-04-05,1524063
2024-04-06,1210680
2024-04-07,1180872
2024-04-08,1536547
2024-04-09,1460480
2024-04-10,1411046
2024-04-11,1327169
2024-04-12,1455591
2024-04-13,1259786
2024-04-14,1083321
2024-04-15,1511682
2024-04-16,1389567
2024-04-17,1414316
2024-04-18,1437199
2024-04-19,1469865
2024-04-20,1168518
2024-04-21,1066839
2024-04-22,1373356
2024-04-23,1342543
2024-04-24,1364183
2024-04-25,1333987
2024-04-26,1362289
2024-04-27,1142953
2024-04-28,1041806
2024-04-29,1354924
2024-04-30,1499852
2024-05-01,1421279
2024-05-02,1392369
2024-05-03,1336569
2024-05-04,1059184
2024-05-05,958420
2024-05-06,1410989
2024-05-07,1423902
2024-05-08,1388020
2024-05-09,1341184
2024-05-10,1824561
2024-05-11,1156495
2024-05-12,1001811
2024-05-13,1435414
2024-05-14,1436481
2024-05-15,1522571
2024-05-16,1560752
2024-05-17,1438116
2024-05-18,1064727
2024-05-19,1010639
2024-05-20,1451077
2024-05-21,1403989
2024-05-22,1281405
2024-05-23,1307384
2024-05-24,1210763
2024-05-25,979304
2024-05-26,882813
2024-05-27,1229958
2024-05-28,1256485
2024-05-29,1240108
2024-05-30,1279711
2024-05-31,1484592
2024-06-01,1264407
2024-06-02,1060817
2024-06-03,1459770
2024-06-04,1385304
2024-06-05,1411854
2024-06-06,1373005
2024-06-07,1474808
2024-06-08,1165246
2024-06-09,1027038
2024-06-10,1382138
2024-06-11,1532917
2024-06-12,1394964
2024-06-13,1310407
2024-06-14,1385471
2024-06-15,1142391
2024-06-16,1008781
2024-06-17,1387843
2024-06-18,1507353
2024-06-19,1354157
2024-06-20,1375155
2024-06-21,1326955
2024-06-22,1045247
2024-06-23,961073
2024-06-24,1423450
2024-06-25,1523020
2024-06-26,1486273
2024-06-27,1383356
2024-06-28,1415292
2024-06-29,1150288
2024-06-30,1126327
2024-07-01,1632495
2024-07-02,1505432
2024-07-03,1482716
2024-07-04,1500935
2024-07-05,1682783
2024-07-06,1061517
2024-07-07,982223
2024-07-08,1455672
2024-07-09,1420135
2024-07-10,1506276
2024-07-11,1488774
2024-07-12,1504899
2024-07-13,1165935
2024-07-14,1203211
2024-07-15,1664304
2024-07-16,1578021
2024-07-17,1505907
2024-07-18,1475898
2024-07-19,1521085
2024-07-20,1183503
2024-07-21,1091324
2024-07-22,1515776
2024-07-23,1383053
2024-07-24,1331308
2024-07-25,1386406
2024-07-26,1310079
2024-07-27,1039557
2024-07-28,941083
2024-07-29,1480959
2024-07-30,1421045
2024-07-31,1521463
2024-08-01,1519134
2024-08-02,1372845
2024-08-03,1044872
2024-08-04,980096
2024-08-05,1972255
2024-08-06,1384328
2024-08-07,1329942
2024-08-08,1319714
2024-08-09,1319768
2024-08-10,964732
2024-08-11,886505
2024-08-12,1343997
2024-08-13,1432689
2024-08-14,1351507
2024-08-15,1426266
2024-08-16,1687993
2024-08-17,1495224
2024-08-18,1244766
2024-08-19,2635709
2024-08-20,4967706
2024-08-21,6830705
2024-08-22,4017612
2024-08-23,3734498
2024-08-24,3280473
2024-08-25,3356757
2024-08-26,4266958
2024-08-27,3852342
2024-08-28,3406764
2024-08-29,3309118
2024-08-30,2905103
2024-08-31,2216126
2024-09-01,2164698
2024-09-02,2411336
2024-09-03,2325600
2024-09-04,1980796
2024-09-05,1910237
2024-09-06,2027763
2024-09-07,1602179
2024-09-08,1353093
2024-09-09,1971783
2024-09-10,1911577
2024-09-11,1734501
2024-09-12,1740486
2024-09-13,1603165
2024-09-14,1301631
2024-09-15,1261625
2024-09-16,1651114
2024-09-17,1585436
2024-09-18,1674883
2024-09-19,1511962
2024-09-20,2056491
2024-09-21,1442110
2024-09-22,1346150
2024-09-23,2072466
2024-09-24,2020596
2024-09-25,1821550
2024-09-26,2187287
2024-09-27,1877426
2024-09-28,1393372
2024-09-29,1362009
2024-09-30,2137149
2024-10-01,2082235
2024-10-02,1899436
2024-10-03,1688805
2024-10-04,1703939
2024-10-05,1272895
2024-10-06,1165921
2024-10-07,1786257
2024-10-08,1929659
2024-10-09,1764554
2024-10-10,1783077
2024-10-11,1683875
2024-10-12,1283178
2024-10-13,1146299
2024-10-14,1932780
2024-10-15,1986502
2024-10-16,1866423
2024-10-17,1673178
2024-10-18,1641020
2024-10-19,1271573
2024-10-20,1221352
2024-10-21,1726086
2024-10-22,1711253
2024-10-23,1695326
2024-10-24,1853491
2024-10-25,1750794
2024-10-26,1384083
2024-10-27,1162514
2024-10-28,1750810
2024-10-29,1846807
2024-10-30,1754020
2024-10-31,1831899
2024-11-01,1858608
2024-11-02,1356340
2024-11-03,1225167
2024-11-04,1775661
2024-11-05,1826155
2024-11-06,1989125
2024-11-07,1796863
2024-11-08,1782410
2024-11-09,1327861
2024-11-10,1464404
2024-11-11,2201929
2024-11-12,2554869
2024-11-13,2249252
2024-11-14,2141804
2024-11-15,2333824
2024-11-16,1765936
2024-11-17,1516485
2024-11-18,2345203
2024-11-19,2275087
2024-11-20,2195596
2024-11-21,2257859
2024-11-22,2248978
2024-11-23,1899433
2024-11-24,1678890
2024-11-25,2382026
2024-11-26,2335348
2024-11-27,2335348
