date,tvl
2023-11-29,60284264.17137369
2023-11-30,60349761.0241592
2023-12-01,61948850.59314957
2023-12-02,63041933.24220891
2023-12-03,63682049.03707937
2023-12-04,64279174.10816993
2023-12-05,64646717.981985115
2023-12-06,65159266.48793718
2023-12-07,65596737.7654613
2023-12-08,69344231.29165177
2023-12-09,70664698.91068177
2023-12-10,69772487.92894626
2023-12-11,77307649.88273987
2023-12-12,77065524.5413175
2023-12-13,77712515.33178875
2023-12-14,79439192.73370846
2023-12-15,81230078.4135344
2023-12-16,85708788.6808241
2023-12-17,84900826.3517688
2023-12-18,81745282.98152915
2023-12-19,85479965.1049484
2023-12-20,86453291.69911051
2023-12-21,88386258.39878818
2023-12-22,89999289.00061414
2023-12-23,92790261.20571749
2023-12-24,94851199.24049228
2023-12-25,113105613.89951634
2023-12-26,119144818.79926528
2023-12-27,120782273.53819174
2023-12-28,120982669.81846315
2023-12-29,121126129.80302228
2023-12-30,117776161.37161347
2023-12-31,117810455.28045413
2024-01-01,116792870.70525774
2024-01-02,122436599.84680644
2024-01-03,121978442.6514355
2024-01-04,120987321.01196058
2024-01-05,122911319.22402853
2024-01-06,114151189.51000394
2024-01-07,113368741.59850956
2024-01-08,109253530.92333612
2024-01-09,109236228.85055852
2024-01-10,101303150.09329683
2024-01-11,108835769.27408518
2024-01-12,112716564.50273564
2024-01-13,113023911.63475418
2024-01-14,116923535.84311612
2024-01-15,124752286.97931659
2024-01-16,121171902.42361614
2024-01-17,124862994.53529197
2024-01-18,137240458.53820753
2024-01-19,123680078.59791245
2024-01-20,125853944.62224528
2024-01-21,126965660.24568476
2024-01-22,135643127.97215152
2024-01-23,122936469.04026419
2024-01-24,129718317.17129457
2024-01-25,133049995.05218118
2024-01-26,135148160.7252729
2024-01-27,140240098.86650422
2024-01-28,142314489.48998207
2024-01-29,142407479.2961917
2024-01-30,146897452.63439155
2024-01-31,146874439.4066133
2024-02-01,151010638.37681776
2024-02-02,156801424.2092756
2024-02-03,148902924.15711302
2024-02-04,153665376.1275109
2024-02-05,166567790.41285762
2024-02-06,165067536.6587355
2024-02-07,171482944.19983736
2024-02-08,175206345.3373916
2024-02-09,174334558.97986245
2024-02-10,178417382.8117854
2024-02-11,179175985.85298407
2024-02-12,171043227.1760744
2024-02-13,174926197.6392092
2024-02-14,182213288.00817662
2024-02-15,206889405.65861315
2024-02-16,214038499.12248334
2024-02-17,207766980.44495463
2024-02-18,209844248.78267393
2024-02-19,215217992.8922091
2024-02-20,221469038.08162802
2024-02-21,214719511.84106284
2024-02-22,218929864.2102066
2024-02-23,218624761.03533685
2024-02-24,223855648.40904778
2024-02-25,223512155.82749182
2024-02-26,225563358.0415643
2024-02-27,236288579.33043295
