date,tvl
2023-01-16,889451885.6097822
2023-01-17,891907226.6098976
2023-01-18,893376961.418522
2023-01-19,866731589.5489333
2023-01-20,873182485.3654033
2023-01-21,907656512.4263959
2023-01-22,897890762.8234569
2023-01-23,902828995.6200975
2023-01-24,908934744.6854634
2023-01-25,883987758.957376
2023-01-26,904575006.2338383
2023-01-27,903145849.0280465
2023-01-28,945045075.7407304
2023-01-29,933153898.5317208
2023-01-30,941460113.3790191
2023-01-31,909535168.6511047
2023-02-01,922285265.7416015
2023-02-02,959340840.148695
2023-02-03,946130831.5130434
2023-02-04,966832838.9106381
2023-02-05,966002624.8934422
2023-02-06,954744659.7709
2023-02-07,944696586.3068457
2023-02-08,974222520.0157099
2023-02-09,956492657.7993093
2023-02-10,914309269.6595519
2023-02-11,906720965.930314
2023-02-12,913316795.2267555
2023-02-13,904953941.6666956
2023-02-14,899291887.1156616
2023-02-15,915628800.3650864
2023-02-16,984235687.9383404
2023-02-17,943649475.7519164
2023-02-18,968073276.1532692
2023-02-19,977711917.9000444
2023-02-20,972709605.7054956
2023-02-21,1000008875.2275507
2023-02-22,994069190.3048161
2023-02-23,978935158.7422202
2023-02-24,966764170.699427
2023-02-25,933204539.636332
2023-02-26,928034855.555124
2023-02-27,943222145.6503674
2023-02-28,931065002.5979627
2023-03-01,917817324.310154
2023-03-02,925198496.8820406
2023-03-03,967554356.3856708
2023-03-04,962699394.8006277
2023-03-05,946591877.931419
2023-03-06,944919137.0262802
2023-03-07,944096862.7219377
2023-03-08,948641486.1242453
2023-03-09,921784451.4515148
2023-03-10,860818717.6566777
2023-03-11,821015830.2489358
2023-03-12,742514654.8835849
2023-03-13,793666418.8620636
2023-03-14,785937515.1632359
2023-03-15,810732591.8839333
2023-03-16,782395378.6065965
2023-03-17,792454910.2551085
2023-03-18,835866238.1797802
2023-03-19,836750941.3474342
2023-03-20,850344467.8635504
2023-03-21,848876092.1276941
2023-03-22,858210802.3502574
2023-03-23,836330250.7412449
2023-03-24,854274829.6123048
2023-03-25,833800709.99065
2023-03-26,831108903.2414341
2023-03-27,841063831.6724899
2023-03-28,825106586.2507731
2023-03-29,825763351.3297971
2023-03-30,846191903.3899515
2023-03-31,846511203.5304481
2023-04-01,868156594.0297018
2023-04-02,880072676.1639627
2023-04-03,867993252.0544832
2023-04-04,856630985.2277825
2023-04-05,877983935.482846
2023-04-06,868603992.7624596
2023-04-07,883968108.0852789
2023-04-08,876796325.9388484
2023-04-09,876088804.9659749
2023-04-10,880966684.4293071
2023-04-11,863755626.3098121
2023-04-12,866941224.7047802
2023-04-13,869163917.4584305
2023-04-14,924814851.2927148
2023-04-15,914899785.7492646
2023-04-16,896590746.9652249
2023-04-17,895475854.0424094
2023-04-18,886581495.8009373
2023-04-19,905502692.1245048
2023-04-20,859147164.5988805
2023-04-21,847096599.5011641
2023-04-22,817015431.7036091
2023-04-23,813066258.2672182
2023-04-24,810206921.9020333
2023-04-25,812164438.3071641
2023-04-26,823661653.8472625
2023-04-27,837752265.5259206
2023-04-28,834551682.0585394
2023-04-29,836615336.2559822
2023-04-30,841834936.7438533
2023-05-01,836427508.2054287
2023-05-02,802345353.7557504
2023-05-03,807513349.7483281
2023-05-04,822792089.2806106
2023-05-05,820162534.0942473
2023-05-06,825909710.4427992
2023-05-07,792402618.7107964
2023-05-08,785348213.5087682
2023-05-09,762652852.2981306
2023-05-10,763395951.8149966
2023-05-11,769676133.2738899
2023-05-12,762458161.1336069
2023-05-13,759094079.452096
2023-05-14,758199088.3981038
2023-05-15,757969456.1865848
2023-05-16,770114008.5186374
2023-05-17,773218055.6109952
2023-05-18,770343761.2412758
2023-05-19,759634796.4708977
2023-05-20,747350161.0137072
2023-05-21,754858949.9302423
2023-05-22,738415058.414327
2023-05-23,739476315.2962632
2023-05-24,740673241.4983189
2023-05-25,715581535.926622
2023-05-26,707521013.2126558
2023-05-27,716485574.8070213
2023-05-28,723595034.2085894
2023-05-29,737354556.9251225
2023-05-30,720813981.8478951
2023-05-31,718816385.5551828
2023-06-01,706415249.3102777
2023-06-02,721390897.6650738
2023-06-03,708772973.5079484
2023-06-04,702474242.5040658
2023-06-05,730594483.1365947
2023-06-06,694371940.1875443
2023-06-07,704887257.8255371
2023-06-08,703143071.3934085
2023-06-09,698073939.2649748
2023-06-10,680797831.7692963
2023-06-11,646571369.9828079
2023-06-12,648088850.1096646
2023-06-13,642658703.6220043
2023-06-14,655371211.671828
2023-06-15,644278543.7129885
2023-06-16,636092522.2094951
2023-06-17,650598501.7968152
2023-06-18,651165011.196449
2023-06-19,649541498.5076783
2023-06-20,660018055.862441
2023-06-21,681923627.4200684
2023-06-22,708841134.8256096
2023-06-23,700406937.8433132
2023-06-24,711273580.3908262
2023-06-25,705646556.4681187
2023-06-26,708846073.1353513
2023-06-27,705342802.8975633
2023-06-28,705054377.3242136
2023-06-29,686736515.1827126
2023-06-30,696212779.7438515
2023-07-01,705463237.5159183
2023-07-02,707431914.2778885
2023-07-03,710974616.829569
2023-07-04,716617570.4409442
2023-07-05,706819578.8410084
2023-07-06,695957321.8859998
2023-07-07,686104154.5467299
2023-07-08,689562602.8602506
2023-07-09,697794811.1325471
2023-07-10,696090274.0522851
2023-07-11,702632193.0213441
2023-07-12,704397506.1148021
2023-07-13,692457134.7492975
2023-07-14,722697870.4861648
2023-07-15,717308544.957535
2023-07-16,717466147.0764031
2023-07-17,697089964.6940236
2023-07-18,690884795.8539225
2023-07-19,681357451.0609146
2023-07-20,677284067.794673
2023-07-21,673838610.3290839
2023-07-22,677808529.8294775
2023-07-23,666492485.2333626
2023-07-24,669131848.4726647
2023-07-25,654957401.9908782
2023-07-26,651904750.0865594
2023-07-27,648767756.3855098
2023-07-28,647188151.381292
2023-07-29,647575019.420488
2023-07-30,650573572.2971139
2023-07-31,641469933.2387043
2023-08-01,627016889.2998551
2023-08-02,628353962.0393871
2023-08-03,623350858.49999
2023-08-04,625072472.8109978
2023-08-05,619678395.7594271
2023-08-06,616732539.5676085
2023-08-07,615594555.7952573
2023-08-08,617092724.8510296
2023-08-09,616495352.4375339
2023-08-10,617447250.1261336
2023-08-11,609588607.9679148
2023-08-12,614775013.6727039
2023-08-13,619442622.270871
2023-08-14,616446858.3496877
2023-08-15,615652292.615627
2023-08-16,594933329.6654204
2023-08-17,579801627.523571
2023-08-18,562419659.7345417
2023-08-19,558588185.1797045
2023-08-20,557157847.0884392
2023-08-21,555870208.5458032
2023-08-22,543531881.9984702
2023-08-23,536700564.40379596
2023-08-24,536398943.60867137
2023-08-25,529470318.9895979
2023-08-26,525211635.52809083
2023-08-27,523975617.2881166
2023-08-28,529690990.6515863
2023-08-29,531091623.16802603
2023-08-30,539870480.1467941
2023-08-31,528129461.32553554
2023-09-01,512034624.75125325
2023-09-02,519706437.20798665
2023-09-03,519872185.71303445
2023-09-04,520289013.587885
2023-09-05,515547546.6653663
2023-09-06,513777336.28778756
2023-09-07,512145741.0883482
2023-09-08,517609367.6798472
2023-09-09,509929115.09269834
2023-09-10,504860229.67121965
2023-09-11,501067269.7750394
2023-09-12,490456341.86757
2023-09-13,497592486.4874048
2023-09-14,495304560.6524943
2023-09-15,498928254.3975815
2023-09-16,499708702.1448803
2023-09-17,497876752.22654694
2023-09-18,493941605.7593285
2023-09-19,495162385.5197357
2023-09-20,496459071.9785389
2023-09-21,490540951.0546002
2023-09-22,481120232.6722172
2023-09-23,483361284.08615905
2023-09-24,484551485.98585147
2023-09-25,478326139.4894208
2023-09-26,480981790.8102237
2023-09-27,484643053.078918
2023-09-28,483498500.53132766
2023-09-29,493130631.9530043
2023-09-30,492471280.06096196
2023-10-01,497263259.43809116
2023-10-02,510883814.35766774
2023-10-03,504410598.4930081
2023-10-04,493178974.5876774
2023-10-05,508489019.2068941
2023-10-06,508199561.3019026
2023-10-07,517903844.72014445
2023-10-08,515048163.0250757
2023-10-09,511798635.17545867
2023-10-10,502720334.79667526
2023-10-11,496951726.74181044
2023-10-12,489937777.1314943
2023-10-13,485816589.30365795
2023-10-14,483738456.0367798
2023-10-15,483560140.2662229
2023-10-16,487716238.4707037
2023-10-17,502754154.6085876
2023-10-18,503389207.3466618
2023-10-19,498895055.70001334
2023-10-20,499835487.64111376
2023-10-21,510135645.55088794
2023-10-22,517331427.20669085
2023-10-23,523995426.30953175
2023-10-24,546655480.2709905
2023-10-25,528681236.3484561
2023-10-26,537006819.5840646
2023-10-27,538414401.7028304
2023-10-28,529297246.6703456
2023-10-29,536873597.6170602
2023-10-30,547527813.7458261
2023-10-31,553130871.927851
2023-11-01,542330608.8415538
2023-11-02,561309412.9212228
2023-11-03,547151823.2997456
2023-11-04,553001514.6356707
2023-11-05,557927077.1062659
2023-11-06,554071254.6136907
2023-11-07,546182201.3223671
2023-11-08,550002127.8335015
2023-11-09,564130576.3112915
2023-11-10,562842416.4097592
2023-11-11,574047776.4503115
2023-11-12,626882967.3939023
2023-11-13,619796171.4636759
2023-11-14,603215176.2768852
2023-11-15,637008765.1161162
2023-11-16,693614202.8059747
2023-11-17,660093271.5428497
2023-11-18,643655210.2012947
2023-11-19,650432866.4746904
2023-11-20,668446575.2488413
2023-11-21,657720110.3164226
2023-11-22,631678769.7732358
2023-11-23,641429950.8861853
2023-11-24,645792125.9998304
2023-11-25,645542841.7728007
2023-11-26,649099421.8534806
2023-11-27,634335432.911185
2023-11-28,626855158.3422656
2023-11-29,648434071.1117947
2023-11-30,643518997.4366225
2023-12-01,665682664.7270468
2023-12-02,663383138.7222483
2023-12-03,667257779.5227271
2023-12-04,686841468.6291783
2023-12-05,679548440.3474149
2023-12-06,731253300.5822619
2023-12-07,747970807.9341522
2023-12-08,758457544.6894984
2023-12-09,845998652.6995249
2023-12-10,827618707.305237
2023-12-11,876857491.9574257
2023-12-12,914408230.979449
2023-12-13,859815651.6279942
2023-12-14,902198705.0050883
2023-12-15,930172289.2487077
2023-12-16,946345454.7844888
2023-12-17,935587168.4194285
2023-12-18,869434065.3900269
2023-12-19,926621385.7171882
2023-12-20,943479306.5127587
2023-12-21,984087054.2626058
2023-12-22,970059061.47032
2023-12-23,974366076.6184148
2023-12-24,1007306806.5188135
2023-12-25,988906177.3479941
2023-12-26,989503931.3160106
2023-12-27,962585502.345815
2023-12-28,929669868.264252
2023-12-29,920224725.5062114
2023-12-30,870964137.1517624
2023-12-31,893327602.9099443
2024-01-01,887968285.930456
2024-01-02,945254455.3037839
2024-01-03,915857511.2358494
2024-01-04,855920459.6921364
2024-01-05,860065493.7434082
2024-01-06,830682190.5851843
2024-01-07,832112910.1625223
2024-01-08,808905264.02837
2024-01-09,859379461.688956
2024-01-10,845362482.322585
2024-01-11,909528660.9413424
2024-01-12,905413275.8401229
2024-01-13,854564206.4967834
2024-01-14,869154136.3390446
2024-01-15,868480095.4220294
2024-01-16,865985823.7542229
2024-01-17,861474541.8872015
2024-01-18,856764304.0982989
2024-01-19,832029571.3373157
2024-01-20,811644734.7435352
2024-01-21,828547347.7955134
2024-01-22,795559498.6497823
2024-01-23,742523876.3886702
2024-01-24,796231979.9889821
2024-01-25,779998400.747675
2024-01-26,802950324.1570578
2024-01-27,816556750.1551374
2024-01-28,876522251.7640404
2024-01-29,865207816.677274
2024-01-30,889622803.7541884
2024-01-31,822827889.808888
2024-02-01,799224851.2574222
2024-02-02,838276346.4552808
2024-02-03,829272066.4913709
2024-02-04,807837688.1468385
2024-02-05,810038694.8845124
2024-02-06,785952525.5218035
2024-02-07,777550076.3301871
2024-02-08,810014189.7395521
2024-02-09,827734644.9846736
2024-02-10,854431064.2177795
2024-02-11,886182879.1454911
2024-02-12,858284380.1796734
2024-02-13,915226628.8763222
2024-02-14,919925233.3207204
2024-02-15,940039920.2378498
2024-02-16,922122728.2444205
2024-02-17,902967969.4072298
2024-02-18,918908539.9829268
2024-02-19,921778449.437811
2024-02-20,910144447.9576164
2024-02-21,879821415.8342701
2024-02-22,894427291.8130759
2024-02-23,880626947.6821821
2024-02-24,883364768.3671153
2024-02-25,892336811.9351475
2024-02-26,899726549.6681148
2024-02-27,957945217.0531783
2024-02-28,971242441.9508022
2024-02-29,1026673246.3672595
2024-03-01,1012975923.7550596
2024-03-02,1015565633.3971536
2024-03-03,1015485387.0434941
2024-03-04,1030979974.5657369
2024-03-05,1041829321.6576295
2024-03-06,1015658591.407321
2024-03-07,1042946690.1458038
2024-03-08,1062010014.0182453
2024-03-09,1057667053.2896509
2024-03-10,1069252789.8578514
