date,tvl
2023-01-16,5315178215.37634
2023-01-17,5273202813.075
2023-01-18,5289590342.073552
2023-01-19,5174668192.492619
2023-01-20,5246714804.859991
2023-01-21,5405437943.064677
2023-01-22,5401967091.409482
2023-01-23,5440162940.888596
2023-01-24,5457776985.590984
2023-01-25,5399970651.181688
2023-01-26,5471422595.265357
2023-01-27,5415859547.386455
2023-01-28,5483279670.241447
2023-01-29,5473312687.470677
2023-01-30,5584768716.082185
2023-01-31,5395497142.813954
2023-02-01,5475966725.812789
2023-02-02,5590930822.265703
2023-02-03,5600790256.567798
2023-02-04,5659476833.409271
2023-02-05,5640005010.698663
2023-02-06,5626835632.076693
2023-02-07,5582670881.571667
2023-02-08,5692437077.83392
2023-02-09,5629480176.743842
2023-02-10,5363747360.275994
2023-02-11,5356439565.790491
2023-02-12,5404154772.401943
2023-02-13,5427696996.601592
2023-02-14,5077679862.67691
2023-02-15,5128394359.512649
2023-02-16,5379499860.71519
2023-02-17,5272006087.243462
2023-02-18,5394146320.588412
2023-02-19,5420525342.313937
2023-02-20,5357545107.876948
2023-02-21,5365994925.230005
2023-02-22,5291295451.515322
2023-02-23,5290806811.823733
2023-02-24,5253396848.460676
2023-02-25,5170437177.004561
2023-02-26,5176627207.189524
2023-02-27,5269192314.200506
2023-02-28,5232570988.337634
2023-03-01,5234739543.141956
2023-03-02,5262210667.541109
2023-03-03,5213032035.480499
2023-03-04,5103600198.408162
2023-03-05,5092395847.000122
2023-03-06,5105789156.960785
2023-03-07,5095900780.171206
2023-03-08,5126427342.045705
2023-03-09,5061193213.879685
2023-03-10,4874799279.034355
2023-03-11,4844860412.026798
2023-03-12,4594963900.877983
2023-03-13,4780888629.401944
2023-03-14,4978533966.519505
2023-03-15,5031492695.905267
2023-03-16,4986381216.962003
2023-03-17,4655987666.725981
2023-03-18,4774205112.865016
2023-03-19,4704164612.036173
2023-03-20,4678509430.85678
2023-03-21,4640362560.508009
2023-03-22,4733387978.463366
2023-03-23,4818953467.688177
2023-03-24,4900493528.834354
2023-03-25,4853741084.651744
2023-03-26,4864964842.842579
2023-03-27,4907858957.782
2023-03-28,4755687342.538498
2023-03-29,4784286874.663517
2023-03-30,4849030410.76869
2023-03-31,4863574321.120572
2023-04-01,4890365067.951171
2023-04-02,4872460555.446793
2023-04-03,4864581691.708194
2023-04-04,4828109394.742529
2023-04-05,4914145389.683045
2023-04-06,4883237196.609064
2023-04-07,4861752405.681824
2023-04-08,4812723084.922084
2023-04-09,4786558233.048182
2023-04-10,4785278200.054146
2023-04-11,4825379859.745843
2023-04-12,4828795072.5916605
2023-04-13,4801558264.311033
2023-04-14,4889764684.863313
2023-04-15,4997200011.544625
2023-04-16,5009621423.655815
2023-04-17,5046986494.684776
2023-04-18,5015081477.603353
2023-04-19,5058088513.561104
2023-04-20,4875491955.043793
2023-04-21,4821395602.627749
2023-04-22,4771407077.890977
2023-04-23,4649402665.710026
2023-04-24,4650143935.758241
2023-04-25,4622794721.475183
2023-04-26,4676155069.630951
2023-04-27,4635868143.878741
2023-04-28,4752315925.674085
2023-04-29,4778039000.881012
2023-04-30,4808899966.230164
2023-05-01,4740900810.558249
2023-05-02,4545356931.612509
2023-05-03,4592070888.472084
2023-05-04,4763713604.048243
2023-05-05,4729909836.202631
2023-05-06,4800895036.976884
2023-05-07,4699827443.660308
2023-05-08,4678154072.344323
2023-05-09,4563407487.077822
2023-05-10,4575013775.843283
2023-05-11,4611073784.766826
2023-05-12,4537721131.914079
2023-05-13,4543209669.578642
2023-05-14,4569844521.7069645
2023-05-15,4576862575.678999
2023-05-16,4623225703.973322
2023-05-17,4628989957.687846
2023-05-18,4639333717.713276
2023-05-19,4598381941.472446
2023-05-20,4609784778.391799
2023-05-21,4644568997.471317
2023-05-22,4545126390.230398
