date,tvl
2023-11-29,293536154.67297965
2023-11-30,291926191.4319998
2023-12-01,299267066.21956146
2023-12-02,306722550.7645441
2023-12-03,311852085.25859547
2023-12-04,315223432.9988951
2023-12-05,311796395.93274736
2023-12-06,323033388.4169477
2023-12-07,319752717.145447
2023-12-08,329941061.64253575
2023-12-09,328709879.14701486
2023-12-10,324489887.7782594
2023-12-11,313647140.9649023
2023-12-12,367051187.531216
2023-12-13,371812576.8728843
2023-12-14,388648515.1426257
2023-12-15,399144810.2874466
2023-12-16,400713288.6146515
2023-12-17,407120166.9393352
2023-12-18,403959491.2292805
2023-12-19,420772613.95270157
2023-12-20,420715795.63595283
2023-12-21,444942009.3296868
2023-12-22,451949265.9512777
2023-12-23,449522627.993639
2023-12-24,453280887.71681774
2023-12-25,453807604.69241065
2023-12-26,453259457.4708738
2023-12-27,454582554.7206771
2023-12-28,455935811.6397093
2023-12-29,453116217.85940784
2023-12-30,441665603.898569
2023-12-31,442881740.8068593
2024-01-01,438688467.99111956
2024-01-02,445747939.6424306
2024-01-03,439651284.2254728
2024-01-04,422276922.2010215
2024-01-05,422874374.9790726
2024-01-06,420468772.0332367
2024-01-07,419929564.8958867
2024-01-08,413976662.01336104
2024-01-09,416500580.3292488
2024-01-10,427070589.2948779
2024-01-11,449238166.08664685
2024-01-12,441623240.0151431
2024-01-13,431507894.99445117
2024-01-14,431114046.6323459
2024-01-15,431371900.7504921
2024-01-16,430889079.595935
2024-01-17,424371599.39901215
2024-01-18,418804267.73380834
2024-01-19,416647939.76653147
2024-01-20,404887527.95509315
2024-01-21,403273814.11755776
2024-01-22,393438191.2560667
2024-01-23,372399307.23847705
2024-01-24,376089744.3243388
2024-01-25,382195880.20320225
2024-01-26,389794134.17747575
2024-01-27,394208715.74713457
2024-01-28,398407493.7563753
2024-01-29,398619043.4406427
2024-01-30,410966401.1550637
2024-01-31,387631608.83548266
2024-02-01,379831581.9802394
2024-02-02,387717872.76107204
2024-02-03,392839451.35125524
2024-02-04,391500944.5797588
2024-02-05,389762277.2192562
2024-02-06,389631579.68831784
2024-02-07,396492320.8515814
2024-02-08,404615358.4753604
2024-02-09,398367300.4959873
2024-02-10,394146733.31702447
2024-02-11,374800218.6104034
2024-02-12,381425423.64030063
2024-02-13,390129902.7537879
2024-02-14,397344754.3721406
2024-02-15,401905864.0293936
2024-02-16,396360161.7427935
2024-02-17,390988099.7707111
2024-02-18,391652722.14502263
2024-02-19,404349142.3493968
2024-02-20,402477559.9553822
2024-02-21,399941969.68345773
2024-02-22,404839969.4471287
2024-02-23,399465530.00167
2024-02-24,405067437.27533567
2024-02-25,406681178.39820254
2024-02-26,405322135.0575356
2024-02-27,422857256.5197763
2024-02-28,441984353.9029063
2024-02-29,466805259.289116
2024-03-01,478379180.5762443
2024-03-02,519841515.0385476
2024-03-03,525299420.064042
2024-03-04,542152622.9970878
2024-03-05,561893084.722265
2024-03-06,581770584.6540062
2024-03-07,591025609.3106382
2024-03-08,610340201.0039344
2024-03-09,612796644.378989
2024-03-10,622356776.1988893
2024-03-11,645583398.7622776
2024-03-12,675550817.1273034
2024-03-13,690065079.5033792
2024-03-14,701078392.8413246
2024-03-15,665347173.3382605
2024-03-16,679483508.8405386
2024-03-17,671442697.1102208
2024-03-18,714423862.5188656
2024-03-19,675254587.8542905
2024-03-20,688765193.7096428
2024-03-21,775283694.2966272
2024-03-22,818781251.4950947
2024-03-23,826560272.1353463
2024-03-24,860846955.5672966
2024-03-25,911503223.3340349
2024-03-26,978579200.520085
2024-03-27,1062766908.0369667
2024-03-28,1101985241.8749828
2024-03-29,1105839171.1667511
2024-03-30,1118857550.7241502
2024-03-31,1159406155.774063
2024-04-01,1163500527.3437114
2024-04-02,1145394336.1725094
2024-04-03,1208259936.2471242
2024-04-04,1244125178.8662608
2024-04-05,1234855111.268269
2024-04-06,1258722685.0932543
2024-04-07,1302428720.4365478
2024-04-08,1456516355.8267288
2024-04-09,1493523824.285852
2024-04-10,1487891126.4965556
2024-04-11,1534873722.8975883
2024-04-12,1577901390.4278362
2024-04-13,1499680003.9955392
2024-04-14,1439954938.3646314
2024-04-15,1538232039.881851
2024-04-16,1454013747.3996968
2024-04-17,1486508714.3309581
2024-04-18,1478304485.660677
2024-04-19,1537146974.0177493
2024-04-20,1547125530.543618
2024-04-21,1619112992.140942
2024-04-22,1647038621.5851357
2024-04-23,1647045930.2257798
2024-04-24,1653753686.1231081
2024-04-25,1565556529.3282528
2024-04-26,1583188622.6316772
2024-04-27,1549485631.7102304
2024-04-28,1585830629.1518862
2024-04-29,1519392851.1420064
2024-04-30,1457265992.940136
2024-05-01,1379695501.7696564
2024-05-02,1410632980.4368327
2024-05-03,1430489511.9588966
2024-05-04,1495722790.5013518
2024-05-05,1518988307.8149395
2024-05-06,1535349567.504185
2024-05-07,1565574608.8634357
2024-05-08,1556930816.8546214
2024-05-09,1528285035.4977932
2024-05-10,1563554296.354344
2024-05-11,1517311673.7017791
2024-05-12,1517642981.8678563
2024-05-13,1508565926.6320908
2024-05-14,1472130622.6974583
2024-05-15,1451528988.5392509
2024-05-16,1518158248.8969874
2024-05-17,1537081401.8140516
2024-05-18,1572112300.0355263
2024-05-19,1546302800.7853372
2024-05-20,1550047682.1572216
2024-05-21,1723145802.3113518
2024-05-22,1708740624.0161679
2024-05-23,1726520957.929084
2024-05-24,1668328621.7650595
2024-05-25,1703263263.439326
2024-05-26,1722827963.9917002
2024-05-27,1751908032.5749974
2024-05-28,1745117206.4432821
2024-05-29,1722004760.8443625
2024-05-30,1681310912.851363
2024-05-31,1713416513.785836
2024-06-01,1719515658.5789921
2024-06-02,1719074166.0201383
2024-06-03,1732055265.8425114
2024-06-04,1719740752.6756632
2024-06-05,1744579391.1257806
2024-06-06,1748541074.6138568
2024-06-07,1716642106.4921937
2024-06-08,1670102580.7577803
2024-06-09,1732363349.0193484
2024-06-10,1769980749.435644
2024-06-11,1672939605.5287373
2024-06-12,1662323147.325053
2024-06-13,1621917305.25535
2024-06-14,1620839322.4467814
2024-06-15,1620681615.0905457
2024-06-16,1640978678.3917966
2024-06-17,1616044717.0147557
2024-06-18,1549244520.4470906
2024-06-19,1602187657.3019996
2024-06-20,1609937170.9181404
2024-06-21,1567419073.8653924
2024-06-22,1571791920.563842
2024-06-23,1590149948.4365368
2024-06-24,1529903309.505523
2024-06-25,1556531421.7840943
2024-06-26,1569865365.4909923
2024-06-27,1549502059.1959574
2024-06-28,1566758642.4428575
2024-06-29,1564177491.610285
2024-06-30,1563402456.982986
2024-07-01,1586968515.4064438
2024-07-02,1578615070.4427974
2024-07-03,1514277927.91536
2024-07-04,1417225257.1344175
2024-07-05,1281671823.3524632
2024-07-06,1350333690.4332945
2024-07-07,1375303051.5417337
2024-07-08,1366960679.74554
2024-07-09,1379823317.802488
2024-07-10,1413629590.8763926
2024-07-11,1425321806.4709654
2024-07-12,1412585154.8585567
2024-07-13,1445709950.9809892
2024-07-14,1497027739.2841082
2024-07-15,1549275394.7906144
2024-07-16,1622440075.5455735
2024-07-17,1670694233.3414307
2024-07-18,1693193750.3070343
2024-07-19,1682713649.7430618
2024-07-20,1740219688.726394
2024-07-21,1737623275.2426198
2024-07-22,1769427061.255721
2024-07-23,1766584116.7529798
2024-07-24,1772748816.6412263
