date,tvl
2023-11-29,279085647.9559494
2023-11-30,268161378.09595644
2023-12-01,275820192.0214133
2023-12-02,283998114.7367778
2023-12-03,292032986.9892834
2023-12-04,303964199.38246256
2023-12-05,298559835.82379943
2023-12-06,313273901.0305397
2023-12-07,307678823.66723657
2023-12-08,312341321.8056022
2023-12-09,315056929.3921858
2023-12-10,313670090.09278643
2023-12-11,301720101.01418084
2023-12-12,301024695.79746616
2023-12-13,293697696.0362045
2023-12-14,307221990.7139822
2023-12-15,306947457.10677797
2023-12-16,303295792.4565491
2023-12-17,299661033.6285281
2023-12-18,289732179.5838836
2023-12-19,306121034.9945084
2023-12-20,301643989.8794393
2023-12-21,308811545.8037034
2023-12-22,308897009.4288305
2023-12-23,303177174.93761694
2023-12-24,311652472.2762676
2023-12-25,313304544.1324287
2023-12-26,307543157.7139108
2023-12-27,311309882.30989367
2023-12-28,313335492.93110144
2023-12-29,311009714.446199
2023-12-30,302450533.805203
2023-12-31,307603330.4730989
2024-01-01,306350690.6299215
2024-01-02,328709391.99802047
2024-01-03,327766687.59337145
2024-01-04,308820448.4035726
2024-01-05,314744924.527538
2024-01-06,311230134.78717834
2024-01-07,313894811.3234921
2024-01-08,314821900.27836114
2024-01-09,333711553.72001404
2024-01-10,322144338.665972
2024-01-11,322247463.1382815
2024-01-12,319333513.0819926
2024-01-13,294213700.9146843
2024-01-14,294856280.29182184
2024-01-15,295053314.7393298
2024-01-16,298348638.41904837
2024-01-17,298241365.2480465
2024-01-18,291902905.97165745
2024-01-19,285047095.0749436
2024-01-20,285327247.0473078
2024-01-21,289451165.15066946
2024-01-22,283429072.59911937
2024-01-23,267375150.0388093
2024-01-24,280836049.7603598
2024-01-25,281891701.4910727
2024-01-26,288698651.7874664
2024-01-27,294281953.66127145
2024-01-28,299027714.9697319
2024-01-29,297230396.18744594
2024-01-30,307010794.67140156
2024-01-31,303098321.6050797
2024-02-01,300698139.9345433
2024-02-02,306619772.7601488
2024-02-03,305041243.07539165
2024-02-04,304063731.9748514
2024-02-05,305485605.20334136
2024-02-06,302733137.0080926
2024-02-07,304117283.1990629
2024-02-08,309746750.0432355
2024-02-09,328049109.6336702
2024-02-10,329982008.936615
2024-02-11,337401949.9222363
2024-02-12,331552183.4324991
2024-02-13,348725101.9519813
2024-02-14,358479377.40722024
2024-02-15,367398277.6666312
2024-02-16,368681691.04097927
2024-02-17,354445986.5658137
2024-02-18,353468435.990684
2024-02-19,359472038.3297913
2024-02-20,358695726.3826806
2024-02-21,342410162.59187424
2024-02-22,347776051.4902598
2024-02-23,345018496.44684196
2024-02-24,341031814.99646646
2024-02-25,342595671.0193555
2024-02-26,341158563.50936365
2024-02-27,377760981.25856996
2024-02-28,394739561.6435705
2024-02-29,410779080.06760657
2024-03-01,402925922.4454954
2024-03-02,402470308.94409066
2024-03-03,400495632.77620816
2024-03-04,420254155.4705231
2024-03-05,428199387.1557303
2024-03-06,424064120.45195085
2024-03-07,429492931.7156825
2024-03-08,439370991.44390947
2024-03-09,445056960.58078074
2024-03-10,459853813.19609773
2024-03-11,472694337.1391686
2024-03-12,477024173.571798
2024-03-13,491468297.2414865
2024-03-14,484025512.2483412
2024-03-15,446073857.52985287
2024-03-16,452934822.47435
2024-03-17,442945539.57302004
2024-03-18,452989834.19698054
2024-03-19,416509386.313873
2024-03-20,412456746.1811985
2024-03-21,438643542.55528855
2024-03-22,446561677.94531447
2024-03-23,445190219.1701338
2024-03-24,446491375.6197851
2024-03-25,449315818.78591067
2024-03-26,460832639.8814058
2024-03-27,461875235.4088386
2024-03-28,463976264.3638326
2024-03-29,465512415.58928114
2024-03-30,463747860.77340037
2024-03-31,464617394.6134549
2024-04-01,461433643.954131
2024-04-02,430221133.6798941
2024-04-03,894930773.6016917
2024-04-04,961277580.4273404
2024-04-05,967912322.3730992
2024-04-06,979045038.3204404
2024-04-07,1000213817.4744332
2024-04-08,1043817592.4410268
2024-04-09,1025045028.7483351
2024-04-10,1001132447.2208483
2024-04-11,1043494059.5523212
2024-04-12,1047408918.9249295
2024-04-13,990871482.2168735
2024-04-14,943602828.3916359
2024-04-15,977142951.817939
2024-04-16,919930916.0400954
2024-04-17,925722677.36509
2024-04-18,925827947.9996651
2024-04-19,954858137.1321179
2024-04-20,940869121.0162035
2024-04-21,962536174.9098597
2024-04-22,977553069.0930551
2024-04-23,976184312.1641849
2024-04-24,987859051.4162017
2024-04-25,939267014.9326575
2024-04-26,951159469.7613571
2024-04-27,988056794.0963119
2024-04-28,1003419780.5632099
2024-04-29,982017415.6380169
2024-04-30,970156074.9094892
2024-05-01,909120944.5949322
2024-05-02,921916440.2193872
2024-05-03,936805118.1896825
2024-05-04,1020561581.2573491
2024-05-05,1010528417.3870198
2024-05-06,1017000034.8980181
2024-05-07,1017587518.3211013
2024-05-08,990872481.3034933
2024-05-09,973983490.8490405
2024-05-10,1008278059.3025719
2024-05-11,967965644.8792492
2024-05-12,978370572.184272
2024-05-13,1002065497.9839579
2024-05-14,983497409.5333989
2024-05-15,997957058.875077
2024-05-16,1057422975.4737852
2024-05-17,1057429632.2099081
2024-05-18,1074306090.1857
2024-05-19,1070704095.0999671
2024-05-20,1072820668.5247394
2024-05-21,1135176054.7881713
2024-05-22,1116831249.914689
2024-05-23,1114164267.2677636
2024-05-24,1075247759.138882
2024-05-25,1113687087.6459215
2024-05-26,1106581213.0734224
2024-05-27,1098148869.6411006
2024-05-28,1094058304.6455648
2024-05-29,1083876865.4179664
2024-05-30,1083842484.977727
2024-05-31,1088299157.0157673
2024-06-01,1077306404.6234758
2024-06-02,1077742287.6318998
2024-06-03,1105589114.7449434
2024-06-04,1102495380.9584625
2024-06-05,1127867126.2892964
2024-06-06,1128651364.4744568
2024-06-07,1134990072.9372778
2024-06-08,1102412704.3236558
2024-06-09,1099065241.431754
2024-06-10,1099145462.1004841
2024-06-11,1059290654.7807572
2024-06-12,1074473613.7919533
2024-06-13,1073459520.7757208
2024-06-14,1001808235.219152
2024-06-15,1048112707.5310514
2024-06-16,1052742185.1576968
2024-06-17,1037340510.6774467
2024-06-18,975701387.7400002
2024-06-19,1031730570.1996163
2024-06-20,1047559572.3646731
2024-06-21,1008573641.8682301
2024-06-22,1014888439.9343082
2024-06-23,1014969104.913824
2024-06-24,962210177.5579736
2024-06-25,969168767.4873621
2024-06-26,970855689.6659522
2024-06-27,967103342.7138798
2024-06-28,975335857.1257238
2024-06-29,965026964.0764029
2024-06-30,973273237.1640775
2024-07-01,990145782.1550491
2024-07-02,988175269.7462231
2024-07-03,951247334.7190977
2024-07-04,857407221.5792805
2024-07-05,767450999.1464536
2024-07-06,789634660.718522
2024-07-07,800957749.3377726
2024-07-08,620675090.3253685
2024-07-09,630319999.0672288
2024-07-10,641869150.956171
2024-07-11,641926260.6361383
2024-07-12,627123132.7271289
2024-07-13,645251900.9193763
2024-07-14,662443810.889559
2024-07-15,690969201.5566255
2024-07-16,699672279.8791463
2024-07-17,718539772.0853701
2024-07-18,713831369.7690271
2024-07-19,708125313.7985561
2024-07-20,735894803.0179322
2024-07-21,739465406.6852489
2024-07-22,745816251.2780739
2024-07-23,735631287.0000013
2024-07-24,731122824.2904433
2024-07-25,704020431.9864371
2024-07-26,740868631.8137043
2024-07-27,748367215.4095651
2024-07-28,741946456.8475828
2024-07-29,766063864.9649249
2024-07-30,732929528.7348062
