date,tvl
2023-01-16,25943705941.929474
2023-01-17,26017713849.635704
2023-01-18,26114349526.32232
2023-01-19,25542154570.416473
2023-01-20,26013504066.299435
2023-01-21,27263596897.875786
2023-01-22,27086495535.604897
2023-01-23,27081914055.55944
2023-01-24,27155991442.057964
2023-01-25,26625142648.864986
2023-01-26,27346038051.570183
2023-01-27,27206659879.84069
2023-01-28,27362316308.07689
2023-01-29,27245407969.36828
2023-01-30,27833409426.240242
2023-01-31,27023598224.137005
2023-02-01,27186266903.864544
2023-02-02,28272968239.100605
2023-02-03,27910491408.242027
2023-02-04,28135179300.22137
2023-02-05,28096302867.29811
2023-02-06,27791583673.215805
2023-02-07,27722680542.24788
2023-02-08,28334250786.03103
2023-02-09,28021227651.742615
2023-02-10,26903397219.051086
2023-02-11,26662954895.72439
2023-02-12,26992649084.335762
2023-02-13,26808952697.033905
2023-02-14,26800890273.786568
2023-02-15,27299402946.512756
2023-02-16,28934202622.546387
2023-02-17,28490381125.184807
2023-02-18,29155728958.884308
2023-02-19,29341701728.119347
2023-02-20,29145569816.676437
2023-02-21,29511580445.966583
2023-02-22,28758700121.844284
2023-02-23,28603714530.059956
2023-02-24,28654188833.135612
2023-02-25,28082714051.45816
2023-02-26,27939010777.78344
2023-02-27,28557154515.93657
2023-02-28,28590913310.496902
2023-03-01,28414101080.49959
2023-03-02,29018040211.5415
2023-03-03,28826249716.440277
2023-03-04,27885636095.743256
2023-03-05,27998697320.448135
2023-03-06,28014947480.86568
2023-03-07,27947527870.307198
2023-03-08,27932542424.359123
2023-03-09,27431171243.375076
2023-03-10,26141332460.506428
2023-03-11,26002134283.87787
2023-03-12,25505830442.382977
2023-03-13,27767267842.54003
2023-03-14,27961239073.280773
2023-03-15,28053281902.543518
2023-03-16,27197739578.064713
2023-03-17,27183617425.039986
2023-03-18,28525517363.37495
2023-03-19,28540574372.786514
2023-03-20,28553540172.87831
2023-03-21,28593450218.814796
2023-03-22,29125105380.521233
2023-03-23,28485463689.18547
2023-03-24,29080823735.270332
2023-03-25,28398534630.59758
2023-03-26,28304106837.803352
2023-03-27,28470960959.142334
2023-03-28,27926739732.687298
2023-03-29,28281385689.525497
2023-03-30,28539098380.03763
2023-03-31,28588473293.43441
2023-04-01,28834105135.223305
2023-04-02,28776681647.0131
2023-04-03,28613680071.07959
2023-04-04,28812587742.533302
2023-04-05,29743334113.265076
2023-04-06,29604308427.509666
2023-04-07,29387735140.202293
2023-04-08,29222899026.25814
2023-04-09,29242814808.292168
2023-04-10,29318485927.881172
2023-04-11,29797580477.16867
2023-04-12,29563295196.92323
2023-04-13,29671121216.54875
2023-04-14,31328489638.112663
2023-04-15,31335407771.985016
2023-04-16,31426277243.876427
2023-04-17,31152844590.154415
2023-04-18,30616711749.83839
2023-04-19,30985492017.937576
2023-04-20,29438238834.477486
2023-04-21,29176458979.85376
2023-04-22,28059534054.772377
2023-04-23,28147391825.677746
2023-04-24,28125599017.08883
2023-04-25,27823932202.77829
2023-04-26,28082694899.43865
2023-04-27,28548912780.445213
2023-04-28,28422574471.82241
2023-04-29,28095733156.550575
2023-04-30,28236641259.222973
2023-05-01,27967499434.85207
2023-05-02,27454585048.433403
2023-05-03,27823787877.752235
2023-05-04,28267759194.261833
2023-05-05,28033672429.051964
2023-05-06,29088918354.531727
2023-05-07,28301106152.685013
2023-05-08,28004329880.770313
2023-05-09,27300242575.923454
2023-05-10,27384730016.378063
2023-05-11,27066485775.9449
2023-05-12,26608801056.970726
2023-05-13,26623655095.4224
2023-05-14,26521723139.187683
2023-05-15,26473783047.326653
2023-05-16,26757023584.87165
2023-05-17,26835794559.808952
2023-05-18,26812885545.73802
2023-05-19,26594916902.062363
2023-05-20,26646684736.832367
2023-05-21,26861210808.167435
2023-05-22,26601513235.988106
2023-05-23,26803117901.915638
2023-05-24,27151582201.068947
2023-05-25,26521676416.61754
2023-05-26,26582799427.02079
2023-05-27,26808559567.78631
2023-05-28,26990818311.519882
2023-05-29,27761570165.41963
2023-05-30,27468167744.4268
2023-05-31,27515323244.887177
2023-06-01,26639234089.982044
2023-06-02,26583584856.85372
2023-06-03,27034988418.40793
2023-06-04,26940849191.77649
2023-06-05,26868283212.120056
2023-06-06,25956430130.882736
2023-06-07,26742151171.157135
2023-06-08,26116490536.00291
2023-06-09,26197308902.659996
2023-06-10,25952867432.545776
2023-06-11,24985098277.899483
2023-06-12,24994228107.799065
2023-06-13,24784774467.82917
2023-06-14,24852909205.354805
2023-06-15,23963708421.17254
2023-06-16,23934217380.80912
2023-06-17,24412592878.375214
2023-06-18,24581194128.49518
2023-06-19,24558223270.436752
2023-06-20,24685345017.166992
2023-06-21,25428706352.516273
2023-06-22,26503222512.869144
2023-06-23,26202491244.449646
2023-06-24,26333386831.53203
2023-06-25,26234943227.610992
2023-06-26,26521511810.5828
2023-06-27,26216163929.38398
2023-06-28,26309726720.218357
2023-06-29,25810753555.791992
2023-06-30,26065594751.216606
2023-07-01,26954452852.646957
2023-07-02,26846688940.46042
2023-07-03,27003044006.370667
2023-07-04,27074048496.11027
2023-07-05,26951507916.265827
2023-07-06,26581107977.705986
2023-07-07,25903157988.801834
2023-07-08,26171032110.668854
2023-07-09,26148044938.79802
2023-07-10,26094274159.23904
2023-07-11,26160811033.136562
2023-07-12,26240266482.923576
2023-07-13,26179674488.929817
2023-07-14,27172465121.40896
2023-07-15,26517179221.968018
2023-07-16,26627528231.06302
2023-07-17,26482734644.181046
2023-07-18,26334893424.87413
2023-07-19,26096045420.773415
2023-07-20,25852349613.468643
2023-07-21,25837542233.91971
2023-07-22,25847597462.243843
2023-07-23,25399360584.51449
2023-07-24,25639537382.68006
2023-07-25,25118884559.131126
2023-07-26,25116490434.713665
2023-07-27,25247816523.250366
2023-07-28,25174451304.20044
2023-07-29,25326298590.345074
2023-07-30,25389752225.029453
2023-07-31,23398439582.170174
2023-08-01,22998339319.843678
2023-08-02,22863113469.8208
2023-08-03,22605786369.493065
2023-08-04,23019322682.671345
2023-08-05,23140130789.438133
2023-08-06,23212288217.222034
2023-08-07,23296611909.192368
2023-08-08,23586881531.175484
2023-08-09,24071915249.612785
2023-08-10,24123402774.925156
2023-08-11,24436198211.355576
2023-08-12,24660692649.13233
2023-08-13,24660663867.86998
2023-08-14,24558380471.037735
2023-08-15,24704856950.808357
2023-08-16,24384911551.173355
2023-08-17,23923700091.144493
2023-08-18,22876712247.09282
2023-08-19,22656342400.286606
2023-08-20,22761310479.129776
2023-08-21,22273392900.183056
2023-08-22,22198099169.533035
2023-08-23,21846411480.543705
2023-08-24,22314403208.631783
2023-08-25,22167927800.50435
2023-08-26,22074996768.886967
2023-08-27,22050496457.04885
2023-08-28,22238181298.89949
2023-08-29,22260604442.24379
2023-08-30,22949147621.638855
2023-08-31,22663904112.451103
2023-09-01,22025840384.423378
2023-09-02,21843890351.83354
2023-09-03,21918532361.123478
2023-09-04,21964906212.074574
2023-09-05,21848423800.790398
2023-09-06,21757038532.93669
2023-09-07,21627906716.43238
2023-09-08,21842959758.709396
2023-09-09,21667617669.32843
2023-09-10,21623325635.257893
2023-09-11,21528074779.745163
2023-09-12,20727232525.934643
2023-09-13,21126928977.139313
2023-09-14,21271077346.255688
2023-09-15,21449342873.137413
2023-09-16,21680179574.491585
2023-09-17,21582656666.451813
2023-09-18,21444668909.225418
2023-09-19,21525534654.692497
2023-09-20,21614075692.768845
2023-09-21,21350547826.744537
2023-09-22,20916352093.146416
2023-09-23,21061212471.767994
2023-09-24,21015928072.16404
2023-09-25,20832333758.96499
