date,tvl
2023-11-29,652833861.8956935
2023-11-30,653914647.2452663
2023-12-01,671618802.6656092
2023-12-02,688656359.569765
2023-12-03,690829459.1425624
2023-12-04,680457842.2568704
2023-12-05,660859411.7746471
2023-12-06,692230431.6549089
2023-12-07,703928956.1405503
2023-12-08,847595373.2757779
2023-12-09,931664868.4857855
2023-12-10,891584410.9495702
2023-12-11,908539673.3694186
2023-12-12,926621605.6872275
2023-12-13,870491651.3950326
2023-12-14,933451511.8893458
2023-12-15,1007752758.1753147
2023-12-16,1067272221.0256482
2023-12-17,1046701103.7330844
2023-12-18,1002445138.0282248
2023-12-19,1097304215.5236242
2023-12-20,1121175957.5064962
2023-12-21,1223941866.320097
2023-12-22,1304115745.5135896
2023-12-23,1320051586.0070941
2023-12-24,1481034259.4283745
2023-12-25,1476183341.8167222
2023-12-26,1516006860.282319
2023-12-27,1489563324.091755
2023-12-28,1405113636.750023
2023-12-29,1459740169.1541703
2023-12-30,1406883620.150049
2023-12-31,1432542863.1575663
2024-01-01,1416823399.0046458
2024-01-02,1533030689.777169
2024-01-03,1443647748.6519637
2024-01-04,1357091527.8420782
2024-01-05,1375823840.2291589
2024-01-06,1324094249.5859752
2024-01-07,1306718822.5885057
2024-01-08,1268311202.4307785
2024-01-09,1383292456.9780228
2024-01-10,1353944823.3154275
2024-01-11,1417058808.0576108
2024-01-12,1372636115.1917918
2024-01-13,1309522204.2891014
2024-01-14,1387696165.6752918
2024-01-15,1367316148.431957
2024-01-16,1377448790.4361866
2024-01-17,1412273815.6961038
2024-01-18,1414540884.2766895
2024-01-19,1362474555.1910582
2024-01-20,1347742106.6727722
2024-01-21,1378245809.397811
2024-01-22,1316238119.860631
2024-01-23,1268508824.8602533
2024-01-24,1294309264.0089266
2024-01-25,1322636781.9104385
2024-01-26,1363146943.3464088
2024-01-27,1395933892.6377037
2024-01-28,1472030795.127935
2024-01-29,1567966507.2241657
2024-01-30,1629337438.73672
2024-01-31,1567433289.1838183
2024-02-01,1586491408.1997395
2024-02-02,1653563521.7362025
2024-02-03,1624184256.3368897
2024-02-04,1649154468.7793417
2024-02-05,1672410290.2874768
2024-02-06,1668757935.0337374
2024-02-07,1654142665.4741
2024-02-08,1738865037.9203627
2024-02-09,1791552335.5779445
2024-02-10,1846872991.8251204
2024-02-11,1878740244.4118347
2024-02-12,1812342757.4733536
2024-02-13,1955530531.1916902
2024-02-14,1949512271.7329364
2024-02-15,1982935308.844696
2024-02-16,1946763965.391854
2024-02-17,1928064323.711273
2024-02-18,1963819960.2268965
2024-02-19,1983610095.9614408
2024-02-20,2067174698.3430657
2024-02-21,1974338567.2215362
2024-02-22,2032676467.249943
2024-02-23,1998201246.4879286
2024-02-24,2001623759.2036436
2024-02-25,2008632773.850792
2024-02-26,1996515268.5788975
2024-02-27,2166075592.8164206
2024-02-28,2213813233.9048266
2024-02-29,2467088870.9261537
2024-03-01,2513206897.8218575
2024-03-02,2501223400.256313
2024-03-03,2536359354.2865334
2024-03-04,2619597748.0373373
2024-03-05,2657012910.781353
2024-03-06,2642838090.5789037
2024-03-07,2867401740.866375
2024-03-08,3097421996.8278513
2024-03-09,3164859249.9625525
2024-03-10,3230246368.207205
2024-03-11,3253361002.825995
2024-03-12,3276082104.1301856
2024-03-13,3378004392.5787063
2024-03-14,3774789396.0250845
2024-03-15,3657861261.5594983
2024-03-16,4034258872.6141562
2024-03-17,3891473277.329213
2024-03-18,4332296881.845263
2024-03-19,3760845366.850331
2024-03-20,3812619606.0587673
2024-03-21,4163281495.4536886
2024-03-22,3941163357.964412
2024-03-23,4020204063.207658
2024-03-24,4115542557.243595
2024-03-25,4476718669.730855
2024-03-26,4672483333.755958
2024-03-27,4598884749.32327
2024-03-28,4596494762.023962
2024-03-29,4633662613.959574
2024-03-30,4891965751.127166
2024-03-31,4871605971.128224
2024-04-01,4816754204.844172
2024-04-02,4582385287.627254
2024-04-03,4779008909.4451
2024-04-04,4730551138.276177
2024-04-05,4356079753.514774
2024-04-06,4444230217.714547
2024-04-07,4560841870.851696
2024-04-08,4657697926.569716
2024-04-09,4504032487.652228
2024-04-10,4368861551.469917
2024-04-11,4358326505.447574
2024-04-12,4356574277.422219
2024-04-13,3858213796.705771
2024-04-14,3593513002.581144
2024-04-15,3832286889.57492
2024-04-16,3469501452.5716777
2024-04-17,3535381657.469794
2024-04-18,3468573675.917407
2024-04-19,3705015975.7390757
2024-04-20,3677526857.410393
2024-04-21,3943693745.6909623
2024-04-22,3999439589.923284
2024-04-23,3980988635.757145
2024-04-24,4115766351.1001487
2024-04-25,3812640367.4974923
2024-04-26,3824155081.405715
2024-04-27,3643945917.1343813
2024-04-28,3883968974.328575
2024-04-29,3847043881.481089
2024-04-30,3813458173.3843746
2024-05-01,3627617281.919538
2024-05-02,3885570704.249757
2024-05-03,3934563059.2480564
2024-05-04,4184800510.1879935
2024-05-05,4146485533.131094
2024-05-06,4282410094.278329
2024-05-07,4281139204.1911244
2024-05-08,4127079927.59453
2024-05-09,4076466055.1332917
2024-05-10,4312217148.200494
2024-05-11,4178918669.2061057
2024-05-12,4220515982.9049506
2024-05-13,4146620057.6899014
2024-05-14,4146941868.22255
2024-05-15,4105873759.2354207
2024-05-16,4510184022.386267
2024-05-17,4622700104.643819
2024-05-18,4745196179.815465
2024-05-19,4695334697.656202
2024-05-20,4820341013.628212
2024-05-21,4972029167.107792
2024-05-22,4931338819.322009
2024-05-23,4861094171.931761
2024-05-24,4673546788.810119
2024-05-25,4806146481.207229
2024-05-26,4710078961.488053
2024-05-27,4756220349.502632
2024-05-28,4891676311.39091
2024-05-29,4898395360.699461
2024-05-30,4805094634.333683
2024-05-31,4843966547.719317
2024-06-01,4837278318.094567
2024-06-02,4805709150.493723
2024-06-03,4840842116.966232
2024-06-04,4825814454.840039
2024-06-05,4947488379.780873
2024-06-06,4858242442.134941
2024-06-07,4822693123.921236
2024-06-08,4622642868.684311
2024-06-09,4599169280.236598
2024-06-10,4597533926.005483
2024-06-11,4501853033.971274
2024-06-12,4448272094.991024
2024-06-13,4414268558.438026
2024-06-14,4370005870.053126
2024-06-15,4304917875.216596
2024-06-16,4329151121.553268
2024-06-17,4274407264.409034
2024-06-18,4174090382.506623
2024-06-19,4201865243.525401
2024-06-20,4222021038.350373
2024-06-21,4093910587.675969
2024-06-22,4121038962.748069
2024-06-23,4131939117.5716043
2024-06-24,3982596314.350973
2024-06-25,4197753293.0422664
2024-06-26,4197427520.8579755
2024-06-27,4248691382.818631
2024-06-28,4366367438.579365
2024-06-29,4313497073.514602
2024-06-30,4289632486.0006003
2024-07-01,4470250149.082882
2024-07-02,4445974436.230051
2024-07-03,4380395639.526165
2024-07-04,4119929674.4912186
2024-07-05,3935649727.923248
2024-07-06,4219030094.5543675
2024-07-07,4234399069.642705
2024-07-08,4172623961.0284667
2024-07-09,4253243367.000574
2024-07-10,4341009936.405486
2024-07-11,4342684413.425594
2024-07-12,4170172594.5343857
2024-07-13,4269490796.760994
2024-07-14,4412639491.785292
2024-07-15,4547956967.114603
2024-07-16,4666018998.078403
2024-07-17,4758562175.314569
2024-07-18,4697310125.09616
2024-07-19,4800790805.501735
2024-07-20,5040266944.276601
2024-07-21,5086196510.704488
2024-07-22,5206408074.809179
2024-07-23,5130297133.73071
2024-07-24,5154376509.609735
2024-07-25,4928393391.251478
2024-07-26,5181170876.876195
2024-07-27,5363488189.514197
2024-07-28,5331117142.2980995
2024-07-29,5472197076.363883
2024-07-30,5269907569.047904
2024-07-31,5310710049.91162
2024-08-01,5032012371.572266
2024-08-02,4950014829.832159
2024-08-03,4686285087.0439825
2024-08-04,4505841101.36518
2024-08-05,3699585930.3156304
2024-08-06,4298362710.960546
2024-08-07,4673118938.073191
2024-08-08,4733683080.847615
2024-08-09,4861772727.944078
2024-08-10,4790296193.04459
2024-08-11,4837509641.293495
2024-08-12,4640712732.052757
2024-08-13,4615212363.855269
2024-08-14,4702481477.228385
2024-08-15,4607196485.558079
2024-08-16,4660055853.324856
2024-08-17,4577205991.89536
2024-08-18,4675676855.8549185
2024-08-19,4619440888.054174
2024-08-20,4786775866.232363
2024-08-21,4725500508.516366
2024-08-22,4800084677.405783
2024-08-23,4819874614.43032
2024-08-24,5162918323.829297
2024-08-25,5155281932.690293
2024-08-26,5289610521.8601675
2024-08-27,5187830556.720604
2024-08-28,4968183855.211482
2024-08-29,4919125278.081109
2024-08-30,4790371775.625494
2024-08-31,4742245278.621113
2024-09-01,4585372273.644493
2024-09-02,4617375331.125607
2024-09-03,4646277040.31369
2024-09-04,4503729741.49522
2024-09-05,4593841778.767895
2024-09-06,4532064164.51418
2024-09-07,4435080425.036429
2024-09-08,4506479341.36072
2024-09-09,4491006515.717036
2024-09-10,4614184452.10127
2024-09-11,4526913076.462691
2024-09-12,4585596473.07948
2024-09-13,4648541907.682196
2024-09-14,4719509696.216625
2024-09-15,4694649383.133387
2024-09-16,4525546891.268877
2024-09-17,4576803891.555655
2024-09-18,4502283632.256766
2024-09-19,4752125184.714414
2024-09-20,5041687332.562049
2024-09-21,4948307928.951751
2024-09-22,4880347682.911938
2024-09-23,4868274534.622566
2024-09-24,4972794729.6764
2024-09-25,5037549364.418865
2024-09-26,5136101646.362328
2024-09-27,5262416972.1688
2024-09-28,5290248110.199148
2024-09-29,5264068432.468456
2024-09-30,5240865398.694791
2024-10-01,5352318328.081476
2024-10-02,5242456279.770816
2024-10-03,4883738099.28028
2024-10-04,4947777711.673892
2024-10-05,5094811336.732841
2024-10-06,5248614243.893281
2024-10-07,5347233967.860971
2024-10-08,5259328856.407108
2024-10-09,5226382423.380596
2024-10-10,5314661561.499175
2024-10-11,5415058457.848019
2024-10-12,5615610172.7505665
2024-10-13,5570428837.228877
2024-10-14,5854360378.3830595
2024-10-15,5958628712.109942
2024-10-16,5876383648.606753
2024-10-17,5713632953.191806
2024-10-18,5806016344.286041
2024-10-19,5764645604.341142
2024-10-20,5832978662.028765
2024-10-21,6083567663.041334
2024-10-22,5979747587.65462
2024-10-23,5981709019.640505
2024-10-24,6517065591.005159
2024-10-25,6221558425.101032
2024-10-26,6234076206.824138
2024-10-27,6989247616.330701
2024-10-28,6009830818.241512
2024-10-29,6119369457.508731
2024-10-30,6053993316.131784
2024-10-31,6012950765.153081
2024-11-01,5795591755.673161
2024-11-02,5803116267.256953
2024-11-03,5703776350.184441
2024-11-04,5690454460.005098
2024-11-05,5667551083.929575
