date,tvl
2023-11-29,7582603504.9719
2023-11-30,7541691781.844717
2023-12-01,7596027353.042699
2023-12-02,7584289759.308313
2023-12-03,7702491390.158438
2023-12-04,7855003780.900713
2023-12-05,7910431709.083525
2023-12-06,8162192933.979471
2023-12-07,8046377813.357351
2023-12-08,8126353767.836583
2023-12-09,8199829269.693283
2023-12-10,8192583601.855065
2023-12-11,8010826184.6749115
2023-12-12,7926542056.573257
2023-12-13,7954574460.597384
2023-12-14,8151381723.289839
2023-12-15,8278837958.960367
2023-12-16,8134618847.927872
2023-12-17,8089252896.726713
2023-12-18,7956097309.9867
2023-12-19,8189411844.236088
2023-12-20,8134749395.478066
2023-12-21,8320197719.445508
2023-12-22,8314098198.537488
2023-12-23,8260727520.901259
2023-12-24,8330089342.660539
2023-12-25,8265764332.382568
2023-12-26,8028191886.878839
2023-12-27,8062224842.73891
2023-12-28,8062608400.655194
2023-12-29,8073587526.197432
2023-12-30,7954427350.06693
2023-12-31,8051284806.124605
2024-01-01,8028157155.069363
2024-01-02,8559699397.247373
2024-01-03,8358798352.632654
2024-01-04,8062293329.223022
2024-01-05,8173204758.041748
2024-01-06,8157669491.750814
2024-01-07,8159496540.1603365
2024-01-08,8140982373.217452
2024-01-09,8335246806.607364
2024-01-10,8234097232.119156
2024-01-11,8387021586.668589
2024-01-12,8356400785.423688
2024-01-13,8110357630.740372
2024-01-14,8133430074.528733
2024-01-15,8179008819.805985
2024-01-16,8075853918.3566885
2024-01-17,8021763134.5064945
2024-01-18,7901302481.224258
2024-01-19,7802214693.872315
2024-01-20,7808077472.709762
2024-01-21,7814042443.22157
2024-01-22,7732700653.591192
2024-01-23,7519790216.694573
2024-01-24,7657612196.855303
2024-01-25,7728415883.110291
2024-01-26,7811604079.620549
2024-01-27,7777139884.713201
2024-01-28,7848331129.38513
2024-01-29,7816322391.667356
2024-01-30,7940389815.590205
2024-01-31,7859048012.375327
2024-02-01,7819842344.300877
2024-02-02,7944023084.800648
2024-02-03,7973713354.347422
2024-02-04,8021745206.897689
2024-02-05,7988130771.059543
2024-02-06,7997617464.643858
2024-02-07,8044981097.493989
2024-02-08,8252169851.610548
2024-02-09,8470728009.785709
2024-02-10,8516217232.084191
2024-02-11,8637568218.752245
2024-02-12,8625245943.308533
2024-02-13,8860181919.768394
2024-02-14,8930898475.44342
2024-02-15,9014920925.797134
2024-02-16,8653123915.23808
2024-02-17,8617230947.686981
2024-02-18,8836509145.440163
2024-02-19,8799993534.449411
2024-02-20,8744038011.775614
2024-02-21,8617440419.295795
2024-02-22,8617132120.139112
2024-02-23,8453268919.915529
2024-02-24,8389038805.087837
2024-02-25,8673117196.60352
2024-02-26,8640616646.148201
2024-02-27,9191287601.734413
2024-02-28,9465768045.547049
2024-02-29,9567592309.87837
2024-03-01,9407398509.117456
2024-03-02,9406117593.776836
2024-03-03,9420495322.249756
2024-03-04,9736628936.131311
2024-03-05,9919603731.940382
2024-03-06,9899223558.84335
2024-03-07,9917190526.945486
2024-03-08,9885982942.406849
2024-03-09,9999606819.982058
2024-03-10,10253098854.217049
2024-03-11,10375493553.249744
2024-03-12,10382067484.551773
2024-03-13,10411996711.411093
2024-03-14,10491442562.71025
2024-03-15,9860030507.498701
2024-03-16,10044227104.859035
2024-03-17,9778719328.80163
2024-03-18,9943321217.635637
2024-03-19,9311584695.150087
2024-03-20,9288850864.435722
2024-03-21,9750206274.290623
2024-03-22,9530272941.13408
2024-03-23,9524542202.433893
2024-03-24,9550966249.787722
2024-03-25,9650285478.798475
2024-03-26,10091763880.766466
2024-03-27,9963642521.420792
2024-03-28,10019541503.090229
2024-03-29,9998392575.25554
2024-03-30,10028605465.010563
2024-03-31,9960807952.324883
2024-04-01,9904406861.872946
2024-04-02,9448515581.68772
2024-04-03,9509620477.925047
2024-04-04,9433850140.843925
2024-04-05,9515570945.527336
2024-04-06,9620823160.99295
2024-04-07,9762683606.380526
2024-04-08,9901561026.034578
2024-04-09,9830193519.621613
2024-04-10,9613388432.079042
2024-04-11,9775250792.186802
2024-04-12,9655193273.344666
2024-04-13,9167829793.778843
2024-04-14,8864862575.1737
2024-04-15,9071912279.936346
2024-04-16,8658798933.862158
2024-04-17,8322523065.266991
2024-04-18,8126020401.281598
2024-04-19,8367679424.231168
2024-04-20,8214291397.19237
2024-04-21,8461389476.742852
2024-04-22,8556584148.581473
2024-04-23,8624816764.442162
2024-04-24,8702675745.895079
2024-04-25,8431149904.903083
2024-04-26,8517223979.832936
2024-04-27,8325930951.96942
2024-04-28,8395815806.165006
2024-04-29,8304929662.53812
2024-04-30,8227566783.293449
2024-05-01,7815224910.820192
2024-05-02,7906196162.3375
2024-05-03,8022878565.224723
2024-05-04,8500291528.954765
2024-05-05,8466206100.758575
2024-05-06,8508430185.735018
2024-05-07,8505615622.627523
2024-05-08,8333230090.919603
2024-05-09,8314290205.531659
2024-05-10,8478204300.555007
2024-05-11,8306299424.763005
2024-05-12,8279593063.667699
2024-05-13,8388166845.632505
2024-05-14,8279927606.53729
2024-05-15,8338128424.988314
2024-05-16,8664924378.930376
2024-05-17,8699482279.294455
2024-05-18,8772605137.307987
2024-05-19,8735400942.770124
2024-05-20,8746657667.33996
2024-05-21,9169698035.554804
2024-05-22,9022699424.120655
2024-05-23,8920369786.34437
2024-05-24,8684594822.509369
2024-05-25,8875507695.116411
2024-05-26,8872176501.923487
2024-05-27,8693887448.64207
2024-05-28,8416345746.535574
2024-05-29,8376527928.859511
2024-05-30,8348671702.590818
2024-05-31,8398391983.439838
2024-06-01,8360696386.131875
2024-06-02,8429401473.610883
2024-06-03,8506051923.934338
2024-06-04,8435438708.505641
2024-06-05,8663838519.574936
2024-06-06,8652582376.529387
2024-06-07,8656135473.131939
2024-06-08,8499442191.703701
2024-06-09,8604919448.562668
2024-06-10,8582879086.615489
2024-06-11,8408426392.299817
2024-06-12,8464627950.701795
2024-06-13,8451042219.002344
2024-06-14,8376901905.478179
2024-06-15,8262765670.84915
2024-06-16,8337248803.287675
2024-06-17,8283798397.714267
2024-06-18,8240442542.909414
2024-06-19,8261171306.827609
2024-06-20,8240541442.646378
2024-06-21,8123626202.09303
2024-06-22,8235221496.590697
2024-06-23,8202048604.655896
2024-06-24,7651056036.184914
2024-06-25,7719684369.586935
2024-06-26,7751018481.416283
2024-06-27,7659184347.861993
2024-06-28,7698059719.752543
2024-06-29,7656916629.224695
2024-06-30,7734887827.750543
2024-07-01,7974272834.966153
2024-07-02,7844492370.232314
2024-07-03,7681419435.595899
2024-07-04,7392177466.826471
2024-07-05,7194572943.910954
2024-07-06,7415646883.325927
2024-07-07,7449899208.765816
2024-07-08,7347515630.095805
2024-07-09,7502883646.691687
2024-07-10,7560499394.5138035
2024-07-11,7599437033.281749
2024-07-12,7500727021.145148
2024-07-13,7656594081.109161
2024-07-14,7785548311.131956
2024-07-15,8055919535.8324375
2024-07-16,8066118195.283151
2024-07-17,8232138441.051208
2024-07-18,8183268983.370874
2024-07-19,8278310602.42927
2024-07-20,8368029796.258191
2024-07-21,8329592058.93636
2024-07-22,8450565272.632077
2024-07-23,8268371741.068283
2024-07-24,8360185805.481051
2024-07-25,8191019631.741394
2024-07-26,8428692060.695227
2024-07-27,8535056302.573096
2024-07-28,8602784700.260294
2024-07-29,8784266168.460503
2024-07-30,8355605111.091064
2024-07-31,8250840469.056942
2024-08-01,8140415670.497293
2024-08-02,8074799378.726481
2024-08-03,7699065021.211794
2024-08-04,7798851437.057405
2024-08-05,6805314069.62103
2024-08-06,7178442261.608595
2024-08-07,7318692980.243063
2024-08-08,7417861574.529974
2024-08-09,7725506221.181682
2024-08-10,7794498074.546857
2024-08-11,7807929371.281161
2024-08-12,7523354431.112692
2024-08-13,7683564014.61195
2024-08-14,7854057167.177126
2024-08-15,7637330851.872189
2024-08-16,7664827050.349716
2024-08-17,7735559789.499837
2024-08-18,7768891460.8624935
2024-08-19,7777028084.278024
2024-08-20,8139504228.896068
2024-08-21,8207081048.699211
2024-08-22,8303670322.785263
2024-08-23,8275405603.214288
2024-08-24,8618235757.602737
2024-08-25,8720185291.610767
2024-08-26,8766332933.434534
2024-08-27,8536566149.486738
2024-08-28,8301438272.624071
2024-08-29,8298647293.658008
2024-08-30,8291934035.970499
2024-08-31,8155562537.974278
2024-09-01,8173133240.894277
2024-09-02,8109582485.731709
2024-09-03,8175356003.850776
2024-09-04,7837393888.231687
2024-09-05,7890872906.339509
2024-09-06,7769226669.880109
2024-09-07,7642584941.9104595
2024-09-08,7704077634.623066
2024-09-09,7818752356.184113
2024-09-10,7953812809.950154
2024-09-11,7892576103.546321
2024-09-12,8023846972.989814
2024-09-13,8019497641.711156
2024-09-14,8130119192.54287
2024-09-15,8134504061.682346
2024-09-16,8020237422.693882
2024-09-17,8056160976.992789
2024-09-18,8130311809.276207
2024-09-19,8046060790.117452
2024-09-20,8243805170.537754
2024-09-21,8236662212.882851
2024-09-22,8224097261.637142
2024-09-23,8389522255.829374
2024-09-24,8084277407.987926
2024-09-25,8048005319.414165
2024-09-26,7956610556.726106
2024-09-27,8015658089.226003
2024-09-28,7908567043.952539
2024-09-29,7958247572.28553
2024-09-30,7877422270.144117
2024-10-01,7894384237.431606
2024-10-02,7638522149.449655
2024-10-03,7608163465.125014
2024-10-04,8056133483.74005
2024-10-05,7967916607.895972
2024-10-06,7959308069.251238
2024-10-07,7248913528.711534
2024-10-08,7273365893.3453665
2024-10-09,7398573790.053911
2024-10-10,7301051031.107029
2024-10-11,7290790676.240706
2024-10-12,7484529724.3137865
2024-10-13,7447404125.210894
2024-10-14,7374798015.911795
2024-10-15,7351327674.52124
2024-10-16,7405680055.352552
2024-10-17,7409042918.410279
2024-10-18,6953831055.836566
2024-10-19,6927271055.910124
2024-10-20,6866826756.679057
2024-10-21,6906809365.701213
2024-10-22,6942442927.293498
2024-10-23,6955111024.952589
