date,volume
2023-11-29,998742
2023-11-30,1325112
2023-12-01,1295885
2023-12-02,751807
2023-12-03,616510
2023-12-04,1357573
2023-12-05,1834338
2023-12-06,1870759
2023-12-07,1637286
2023-12-08,2563613
2023-12-09,2478434
2023-12-10,5673802
2023-12-11,4796851
2023-12-12,5065215
2023-12-13,3370797
2023-12-14,6505660
2023-12-15,7023409
2023-12-16,5959814
2023-12-17,4138792
2023-12-18,3324989
2023-12-19,3131740
2023-12-20,2910078
2023-12-21,3098773
2023-12-22,3376698
2023-12-23,4072990
2023-12-24,3506312
2023-12-25,4943203
2023-12-26,5139595
2023-12-27,3976194
2023-12-28,2925186
2023-12-29,3228603
2023-12-30,2098227
2023-12-31,1877094
2024-01-01,1964899
2024-01-02,2427883
2024-01-03,4478835
2024-01-04,4844500
2024-01-05,5066171
2024-01-06,3593892
2024-01-07,1921144
2024-01-08,3462137
2024-01-09,2871748
2024-01-10,3197207
2024-01-11,3619760
2024-01-12,5285749
2024-01-13,5172109
2024-01-14,3970913
2024-01-15,4026469
2024-01-16,3540645
2024-01-17,3095186
2024-01-18,2626460
2024-01-19,3360429
2024-01-20,2032042
2024-01-21,1470750
2024-01-22,2830854
2024-01-23,3158579
2024-01-24,2962100
2024-01-25,4774535
2024-01-26,4001500
2024-01-27,2590603
2024-01-28,2210345
2024-01-29,1964921
2024-01-30,2199100
2024-01-31,4503056
2024-02-01,4410790
2024-02-02,3275813
2024-02-03,2811366
2024-02-04,2307287
2024-02-05,2894563
2024-02-06,3951892
2024-02-07,3855739
2024-02-08,3739077
2024-02-09,2503357
2024-02-10,4482808
2024-02-11,2522861
2024-02-12,3213701
2024-02-13,3994741
2024-02-14,2763472
2024-02-15,8853607
2024-02-16,5539234
2024-02-17,3956849
2024-02-18,3870210
2024-02-19,6834859
2024-02-20,7552676
2024-02-21,6680275
2024-02-22,5270806
2024-02-23,4794806
2024-02-24,3499841
2024-02-25,4267143
2024-02-26,6654437
2024-02-27,6122026
2024-02-28,21712653
2024-02-29,14434347
2024-03-01,9769254
2024-03-02,8500223
2024-03-03,8183463
2024-03-04,11104937
2024-03-05,26549548
2024-03-06,21776197
2024-03-07,15110961
2024-03-08,13574103
2024-03-09,8828738
2024-03-10,10352527
2024-03-11,12815076
2024-03-12,14241923
2024-03-13,12832421
2024-03-14,22081312
2024-03-15,33768095
2024-03-16,33663833
2024-03-17,44071375
2024-03-18,37592097
2024-03-19,43872425
2024-03-20,39719686
2024-03-21,36370829
2024-03-22,30176102
2024-03-23,23627835
2024-03-24,22625140
2024-03-25,25263882
2024-03-26,28264275
2024-03-27,32693488
2024-03-28,21377214
2024-03-29,16235128
2024-03-30,16872356
2024-03-31,18106724
2024-04-01,23377877
2024-04-02,21307821
2024-04-03,22009176
2024-04-04,27319298
2024-04-05,25614991
2024-04-06,23687785
2024-04-07,25894291
2024-04-08,25406606
2024-04-09,26848243
2024-04-10,29916319
2024-04-11,26558536
2024-04-12,24879248
2024-04-13,37203027
2024-04-14,35513994
2024-04-15,25268272
2024-04-16,23831633
2024-04-17,25922632
2024-04-18,22356454
2024-04-19,21994013
2024-04-20,18947247
2024-04-21,16579650
2024-04-22,24692889
2024-04-23,17185718
2024-04-24,20359768
2024-04-25,19848791
2024-04-26,19222898
2024-04-27,18575735
2024-04-28,17859378
2024-04-29,20009960
2024-04-30,22774387
2024-05-01,23105052
2024-05-02,22184036
2024-05-03,18708277
2024-05-04,16813691
2024-05-05,16889727
2024-05-06,15661529
2024-05-07,25217640
2024-05-08,18659952
2024-05-09,19709199
2024-05-10,17624888
2024-05-11,15289976
2024-05-12,12853624
2024-05-13,13574385
2024-05-14,13960280
2024-05-15,12917956
2024-05-16,19565299
2024-05-17,28131115
2024-05-18,34952424
2024-05-19,25537375
2024-05-20,45357379
2024-05-21,43006010
2024-05-22,46421758
2024-05-23,32879021
2024-05-24,55707567
2024-05-25,46602291
2024-05-26,41857335
2024-05-27,52246176
2024-05-28,64501957
2024-05-29,29306849
2024-05-30,31348935
2024-05-31,25672841
2024-06-01,28287204
2024-06-02,26007732
2024-06-03,29351566
2024-06-04,38322477
2024-06-05,41576086
2024-06-06,40518312
2024-06-07,45831282
2024-06-08,37260602
2024-06-09,38550720
2024-06-10,35347274
2024-06-11,39168770
2024-06-12,46253525
2024-06-13,36454105
2024-06-14,36379318
2024-06-15,38724251
2024-06-16,36258955
2024-06-17,39792827
2024-06-18,29009305
2024-06-19,42151817
2024-06-20,35935074
2024-06-21,33555914
2024-06-22,25076088
2024-06-23,34051701
2024-06-24,33093154
2024-06-25,33887559
2024-06-26,34969203
2024-06-27,29784456
2024-06-28,35059605
2024-06-29,33279192
2024-06-30,32364686
2024-07-01,33943962
2024-07-02,28976553
2024-07-03,27524452
2024-07-04,33406111
2024-07-05,34621214
2024-07-06,25729414
2024-07-07,26966034
2024-07-08,32356348
2024-07-09,30530965
2024-07-10,30553940
2024-07-11,32944593
2024-07-12,27670868
2024-07-13,24581651
2024-07-14,29107649
2024-07-15,29319931
2024-07-16,28656499
2024-07-17,30152953
2024-07-18,29096776
2024-07-19,29604162
2024-07-20,26716873
2024-07-21,34364072
2024-07-22,34933914
2024-07-23,51567969
2024-07-24,49845866
2024-07-25,47454137
2024-07-26,48559914
2024-07-27,42529212
2024-07-28,40332022
2024-07-29,43184297
2024-07-30,45727314
2024-07-31,44953413
2024-08-01,48980412
2024-08-02,52922076
2024-08-03,47391575
2024-08-04,44578330
2024-08-05,69812884
2024-08-06,44451269
2024-08-07,46536976
2024-08-08,42753826
2024-08-09,31307418
2024-08-10,49675263
2024-08-11,40039314
2024-08-12,47047916
2024-08-13,49477392
2024-08-14,42984358
2024-08-15,40675997
2024-08-16,42962847
2024-08-17,42071064
2024-08-18,41098396
2024-08-19,44646640
2024-08-20,43082471
2024-08-21,42540136
2024-08-22,46512851
2024-08-23,44533230
2024-08-24,41195935
2024-08-25,45028842
2024-08-26,48587169
2024-08-27,46050945
2024-08-28,53504195
2024-08-29,44680145
2024-08-30,49252405
2024-08-31,34904293
2024-09-01,38271852
2024-09-02,41940305
2024-09-03,31382456
2024-09-04,37076832
2024-09-05,26921278
2024-09-06,34920318
2024-09-07,32463955
2024-09-08,32578712
2024-09-09,35242190
2024-09-10,33582106
2024-09-11,35019657
2024-09-12,35266573
2024-09-13,31893352
2024-09-14,33070978
2024-09-15,22894511
2024-09-16,23375199
2024-09-17,30145176
2024-09-18,28796425
2024-09-19,35130092
2024-09-20,40608268
2024-09-21,42740531
2024-09-22,38540836
2024-09-23,39544826
2024-09-24,44635363
2024-09-25,47736116
2024-09-26,42833879
2024-09-27,41261991
2024-09-28,44551294
2024-09-29,41076590
2024-09-30,49239117
2024-10-01,48184910
2024-10-02,49734159
2024-10-03,62028936
2024-10-04,62908493
2024-10-05,53962126
2024-10-06,48015116
2024-10-07,47868881
2024-10-08,50248431
2024-10-09,43793175
2024-10-10,36113354
2024-10-11,46536175
2024-10-12,59474971
2024-10-13,67413818
2024-10-14,69315549
2024-10-15,81110500
2024-10-16,52165222
2024-10-17,45592492
2024-10-18,32293201
2024-10-19,21608825
2024-10-20,24993031
2024-10-21,30292154
2024-10-22,38204946
2024-10-23,32101503
2024-10-24,33583763
2024-10-25,36062795
2024-10-26,28831068
2024-10-27,26515788
2024-10-28,30728526
2024-10-29,32235002
2024-10-30,28290619
2024-10-31,26175214
2024-11-01,29040202
2024-11-02,21134286
2024-11-03,25151360
2024-11-04,32584247
2024-11-05,30226576
2024-11-06,30352981
2024-11-07,28781254
2024-11-08,22084496
2024-11-09,23068737
2024-11-10,41405871
2024-11-11,62405266
2024-11-12,86941505
2024-11-13,72466424
2024-11-14,54259148
2024-11-15,85682450
2024-11-16,39698057
2024-11-17,40875761
2024-11-18,39804458
2024-11-19,45191300
2024-11-20,52645173
2024-11-21,57061354
2024-11-22,44863654
2024-11-23,36839940
2024-11-24,32249574
2024-11-25,32264276
2024-11-26,31219722
2024-11-27,30899198
