date,volume
2023-11-29,355448943
2023-11-30,277535345
2023-12-01,363267992
2023-12-02,378369839
2023-12-03,338292471
2023-12-04,727521108
2023-12-05,679501731
2023-12-06,838607550
2023-12-07,783460214
2023-12-08,462544612
2023-12-09,555347846
2023-12-10,418397988
2023-12-11,1022766755
2023-12-12,725592900
2023-12-13,778205270
2023-12-14,721212499
2023-12-15,338140771
2023-12-16,297201227
2023-12-17,313676341
2023-12-18,519419734
2023-12-19,463023385
2023-12-20,595094124
2023-12-21,594298465
2023-12-22,1001002743
2023-12-23,545217680
2023-12-24,615763227
2023-12-25,434478892
2023-12-26,568273774
2023-12-27,813619825
2023-12-28,975246656
2023-12-29,780612342
2023-12-30,424083200
2023-12-31,465834799
2024-01-01,481565739
2024-01-02,916594187
2024-01-03,1883174535
2024-01-04,1743236465
2024-01-05,845136451
2024-01-06,435132511
2024-01-07,616295928
2024-01-08,1016402892
2024-01-09,1149460507
2024-01-10,1654559405
2024-01-11,1033731183
2024-01-12,1210212842
2024-01-13,515592121
2024-01-14,405920161
2024-01-15,448303594
2024-01-16,511409127
2024-01-17,521979953
2024-01-18,602875250
2024-01-19,597461258
2024-01-20,264172199
2024-01-21,300455363
2024-01-22,716568901
2024-01-23,692091635
2024-01-24,467853661
2024-01-25,402717107
2024-01-26,406185148
2024-01-27,162994976
2024-01-28,212218283
2024-01-29,257114132
2024-01-30,342781045
2024-01-31,384500506
2024-02-01,190545894
2024-02-02,335878282
2024-02-03,216425016
2024-02-04,126783347
2024-02-05,189269830
2024-02-06,353954779
2024-02-07,255310742
2024-02-08,241007728
2024-02-09,246210039
2024-02-10,129655493
2024-02-11,289205354
2024-02-12,329398748
2024-02-13,278714759
2024-02-14,245846125
2024-02-15,319058717
2024-02-16,225684109
2024-02-17,131417860
2024-02-18,194242040
2024-02-19,283998273
2024-02-20,419761018
2024-02-21,326867656
2024-02-22,283591780
2024-02-23,257398636
2024-02-24,233291181
2024-02-25,236201311
2024-02-26,358373015
2024-02-27,725172469
2024-02-28,1379822319
2024-02-29,1177103953
2024-03-01,652678889
2024-03-02,485729400
2024-03-03,749968184
2024-03-04,938727898
2024-03-05,2243239872
2024-03-06,2050303883
2024-03-07,1309585005
2024-03-08,969248249
2024-03-09,364905076
2024-03-10,562624606
2024-03-11,1081184171
2024-03-12,1002033771
2024-03-13,831891962
2024-03-14,1144936959
2024-03-15,1385051419
2024-03-16,816030681
2024-03-17,673701304
2024-03-18,733280356
2024-03-19,1187729176
2024-03-20,1472477483
2024-03-21,995770236
2024-03-22,920690471
2024-03-23,482473175
2024-03-24,473205793
2024-03-25,715453014
2024-03-26,625751472
2024-03-27,747449882
2024-03-28,614548690
2024-03-29,473075847
2024-03-30,342726004
2024-03-31,416304770
2024-04-01,668943099
2024-04-02,869770245
2024-04-03,633048485
2024-04-04,653903889
2024-04-05,632040887
2024-04-06,372482534
2024-04-07,393553074
2024-04-08,863331729
2024-04-09,843293540
2024-04-10,783454323
2024-04-11,627260962
2024-04-12,956028048
2024-04-13,1047865064
2024-04-14,905008169
2024-04-15,858057446
2024-04-16,791873398
2024-04-17,727348404
2024-04-18,630598181
2024-04-19,759138041
2024-04-20,432943619
2024-04-21,396389400
2024-04-22,533198770
2024-04-23,474524584
2024-04-24,631537039
2024-04-25,639633182
2024-04-26,545573172
2024-04-27,520009969
2024-04-28,481864741
2024-04-29,607897156
2024-04-30,717333959
2024-05-01,802059134
2024-05-02,501981198
2024-05-03,472865589
2024-05-04,314158615
2024-05-05,337010789
2024-05-06,479639871
2024-05-07,407344552
2024-05-08,506214461
2024-05-09,381289138
2024-05-10,433676152
2024-05-11,254021023
2024-05-12,200409737
2024-05-13,403630592
2024-05-14,369837162
2024-05-15,516711769
2024-05-16,432575895
2024-05-17,495517620
2024-05-18,353586015
2024-05-19,310752414
2024-05-20,1007183235
2024-05-21,1174019253
2024-05-22,934733575
2024-05-23,1722571405
2024-05-24,868794058
2024-05-25,386185580
2024-05-26,510253621
2024-05-27,690539141
2024-05-28,573435870
2024-05-29,585912876
2024-05-30,596187578
2024-05-31,541560455
2024-06-01,340235724
2024-06-02,357964693
2024-06-03,434063867
2024-06-04,433099365
2024-06-05,495350023
2024-06-06,399088560
2024-06-07,561436361
2024-06-08,224873164
2024-06-09,164823133
2024-06-10,300644962
2024-06-11,642805943
2024-06-12,650323958
2024-06-13,481248172
2024-06-14,505551750
2024-06-15,317233076
2024-06-16,1492530337
2024-06-17,664647796
2024-06-18,801380854
2024-06-19,530738851
2024-06-20,575685739
2024-06-21,984085827
2024-06-22,324180958
2024-06-23,289248699
2024-06-24,873019355
2024-06-25,528616705
2024-06-26,498669593
2024-06-27,559390286
2024-06-28,595626339
2024-06-29,241830741
2024-06-30,317496447
2024-07-01,526753308
2024-07-02,419695288
2024-07-03,620926213
2024-07-04,745792920
2024-07-05,1141826488
2024-07-06,413993586
2024-07-07,403791816
2024-07-08,939852299
2024-07-09,708118082
2024-07-10,944042736
2024-07-11,1587807650
2024-07-12,1667123999
2024-07-13,508290809
2024-07-14,997339491
2024-07-15,834592115
2024-07-16,894672867
2024-07-17,801186685
2024-07-18,678563862
2024-07-19,766707579
2024-07-20,444660863
2024-07-21,621430136
2024-07-22,744428030
2024-07-23,1311054777
2024-07-24,516534470
2024-07-25,895084465
2024-07-26,569454481
2024-07-27,596144942
2024-07-28,356216453
2024-07-29,730857924
2024-07-30,727634637
2024-07-31,812440166
