date,volume
2023-01-16,49296575
2023-01-17,68986717
2023-01-18,61366976
2023-01-19,36048738
2023-01-20,55202808
2023-01-21,60993466
2023-01-22,75227745
2023-01-23,67684737
2023-01-24,63586499
2023-01-25,48452766
2023-01-26,77097676
2023-01-27,81469972
2023-01-28,115958406
2023-01-29,64001216
2023-01-30,137073459
2023-01-31,69585483
2023-02-01,103910644
2023-02-02,159470409
2023-02-03,123425237
2023-02-04,51610968
2023-02-05,58317702
2023-02-06,92826887
2023-02-07,79040261
2023-02-08,61884115
2023-02-09,108676017
2023-02-10,43453669
2023-02-11,30974763
2023-02-12,39988845
2023-02-13,98107348
2023-02-14,89069578
2023-02-15,80417781
2023-02-16,118342276
2023-02-17,71847332
2023-02-18,63318009
2023-02-19,80021017
2023-02-20,106931358
2023-02-21,127547870
2023-02-22,162812718
2023-02-23,91598988
2023-02-24,83133777
2023-02-25,56167551
2023-02-26,31889070
2023-02-27,46091349
2023-02-28,55283798
2023-03-01,47635146
2023-03-02,35874650
2023-03-03,65616368
2023-03-04,40719257
2023-03-05,36311303
2023-03-06,65035559
2023-03-07,102833784
2023-03-08,79298100
2023-03-09,63610234
2023-03-10,93612338
2023-03-11,311724429
2023-03-12,105629330
2023-03-13,110415904
2023-03-14,129416331
2023-03-15,79525138
2023-03-16,63563422
2023-03-17,65806761
2023-03-18,111999456
2023-03-19,94751336
2023-03-20,76814014
2023-03-21,86843177
2023-03-22,98735913
2023-03-23,63935242
2023-03-24,52401854
2023-03-25,27983521
2023-03-26,36280973
2023-03-27,72395264
2023-03-28,77862964
2023-03-29,62797263
2023-03-30,92266950
2023-03-31,93352761
2023-04-01,40678442
2023-04-02,42450076
2023-04-03,76069844
2023-04-04,44295472
2023-04-05,66208110
2023-04-06,62250486
2023-04-07,42881641
2023-04-08,33352179
2023-04-09,36377036
2023-04-10,52503794
2023-04-11,65723402
2023-04-12,116230054
2023-04-13,110274480
2023-04-14,86224842
2023-04-15,45953685
2023-04-16,65289784
2023-04-17,90976311
2023-04-18,75035727
2023-04-19,94075009
2023-04-20,85181846
2023-04-21,58851211
2023-04-22,25274813
2023-04-23,27700215
2023-04-24,38221637
2023-04-25,33203350
2023-04-26,42619446
2023-04-27,59204982
2023-04-28,43035657
2023-04-29,28886402
2023-04-30,25613944
2023-05-01,29854463
2023-05-02,16614827
2023-05-03,31680114
2023-05-04,21737472
2023-05-05,29382893
2023-05-06,30732498
2023-05-07,12454314
2023-05-08,41912725
2023-05-09,27644142
2023-05-10,58838898
2023-05-11,39369117
2023-05-12,46489577
2023-05-13,21645314
2023-05-14,25609885
2023-05-15,32614199
2023-05-16,29547549
2023-05-17,38646226
2023-05-18,31474916
2023-05-19,22304367
2023-05-20,18155474
2023-05-21,18595837
2023-05-22,29911869
2023-05-23,9791204
2023-05-24,31681856
2023-05-25,26300630
2023-05-26,22145692
2023-05-27,18570248
2023-05-28,36443309
2023-05-29,25684923
2023-05-30,41326526
2023-05-31,43308205
2023-06-01,33743365
2023-06-02,27429161
2023-06-03,20955543
2023-06-04,34371836
2023-06-05,67930505
2023-06-06,47332780
2023-06-07,46807208
2023-06-08,35263752
2023-06-09,30565642
2023-06-10,78648331
2023-06-11,25074075
2023-06-12,33880427
2023-06-13,40038924
2023-06-14,48619890
2023-06-15,63065063
2023-06-16,36023853
2023-06-17,24805104
2023-06-18,23811827
2023-06-19,36641153
2023-06-20,54433622
2023-06-21,79319196
2023-06-22,54054988
2023-06-23,52503594
2023-06-24,32500986
2023-06-25,39767243
2023-06-26,49681020
2023-06-27,53767860
2023-06-28,55086234
2023-06-29,52668744
2023-06-30,77617709
2023-07-01,43708033
2023-07-02,39586273
2023-07-03,53737877
2023-07-04,42626252
2023-07-05,50655346
2023-07-06,51165182
2023-07-07,32793387
2023-07-08,56686593
2023-07-09,56972078
2023-07-10,54774024
2023-07-11,64561750
2023-07-12,45302791
2023-07-13,68782670
2023-07-14,118245202
2023-07-15,47722424
2023-07-16,35785608
2023-07-17,44991460
2023-07-18,31430869
2023-07-19,35252755
2023-07-20,38466797
2023-07-21,25152990
2023-07-22,48737980
2023-07-23,26210672
2023-07-24,51136734
2023-07-25,90452571
2023-07-26,53800257
2023-07-27,27275366
2023-07-28,20853395
2023-07-29,14394890
2023-07-30,63278746
2023-07-31,37820853
2023-08-01,37729359
2023-08-02,54009201
2023-08-03,28157025
2023-08-04,27739320
2023-08-05,15664632
2023-08-06,21735128
2023-08-07,32261225
2023-08-08,31078615
2023-08-09,25091376
2023-08-10,20171476
2023-08-11,18179973
2023-08-12,10847313
2023-08-13,15898854
2023-08-14,22389066
2023-08-15,21454285
2023-08-16,23946439
2023-08-17,52562901
2023-08-18,35755336
2023-08-19,18462491
2023-08-20,12805827
2023-08-21,19819842
2023-08-22,26603374
2023-08-23,21921773
2023-08-24,17986397
2023-08-25,17343942
2023-08-26,8715885
2023-08-27,9789795
2023-08-28,21153621
2023-08-29,47938478
2023-08-30,21100024
2023-08-31,38586122
2023-09-01,22936007
2023-09-02,15052048
2023-09-03,11291416
2023-09-04,16913325
2023-09-05,14972976
2023-09-06,30694550
2023-09-07,38476723
2023-09-08,13829170
2023-09-09,7087991
2023-09-10,25563176
2023-09-11,35368265
