date,volume
2023-11-29,276204847
2023-11-30,266435954
2023-12-01,277069722
2023-12-02,286177199
2023-12-03,305530617
2023-12-04,506423830
2023-12-05,464759864
2023-12-06,444376317
2023-12-07,350197783
2023-12-08,438949894
2023-12-09,460627071
2023-12-10,358626508
2023-12-11,755402168
2023-12-12,621466978
2023-12-13,498425468
2023-12-14,434726017
2023-12-15,412401075
2023-12-16,326450681
2023-12-17,317271733
2023-12-18,409894323
2023-12-19,431974161
2023-12-20,374038376
2023-12-21,539874420
2023-12-22,543504030
2023-12-23,372615928
2023-12-24,412745161
2023-12-25,397840837
2023-12-26,786123891
2023-12-27,732655873
2023-12-28,867291500
2023-12-29,648212413
2023-12-30,436657763
2023-12-31,427585380
2024-01-01,409825802
2024-01-02,603722280
2024-01-03,966270930
2024-01-04,590377641
2024-01-05,581987359
2024-01-06,474669086
2024-01-07,489272388
2024-01-08,805283986
2024-01-09,966937696
2024-01-10,1100087883
2024-01-11,1199031218
2024-01-12,1049317020
2024-01-13,415795158
2024-01-14,383435563
2024-01-15,601819314
2024-01-16,472094507
2024-01-17,443569274
2024-01-18,476720028
2024-01-19,465575239
2024-01-20,274473297
2024-01-21,290431976
2024-01-22,494891270
2024-01-23,531083619
2024-01-24,419252107
2024-01-25,409261983
2024-01-26,469380553
2024-01-27,270562091
2024-01-28,342970404
2024-01-29,379112820
2024-01-30,499502870
2024-01-31,433569723
2024-02-01,397466681
2024-02-02,326051609
2024-02-03,257006875
2024-02-04,323164634
2024-02-05,375350282
2024-02-06,338289272
2024-02-07,378040749
2024-02-08,466341283
2024-02-09,571327348
2024-02-10,391509891
2024-02-11,350774541
2024-02-12,474708693
2024-02-13,467177089
2024-02-14,518530958
2024-02-15,668501472
2024-02-16,690857292
2024-02-17,537497131
2024-02-18,472893650
2024-02-19,588240063
2024-02-20,716128086
2024-02-21,681179073
2024-02-22,765798802
2024-02-23,742720547
2024-02-24,632136644
2024-02-25,927127716
2024-02-26,1021210133
2024-02-27,862802462
2024-02-28,1392882855
2024-02-29,1006704112
2024-03-01,831996001
2024-03-02,781024177
2024-03-03,846819606
2024-03-04,1073603645
2024-03-05,1554786764
2024-03-06,1323625427
2024-03-07,1310505567
2024-03-08,2105750610
2024-03-09,1418858286
2024-03-10,2428965645
2024-03-11,1494309053
2024-03-12,1988252747
2024-03-13,2020629555
2024-03-14,1877156119
2024-03-15,2213117423
2024-03-16,1741292579
2024-03-17,1426810351
2024-03-18,1325026159
2024-03-19,2084234538
2024-03-20,1691628899
2024-03-21,1328574678
2024-03-22,1438219385
2024-03-23,496900795
2024-03-24,853635288
2024-03-25,2202467776
2024-03-26,1850214734
2024-03-27,1466755985
2024-03-28,1387402817
2024-03-29,1896668874
2024-03-30,907337120
2024-03-31,1865032001
2024-04-01,1586467414
2024-04-02,1746719654
2024-04-03,1002092539
2024-04-04,1165433154
2024-04-05,1245712934
2024-04-06,932604111
2024-04-07,904770244
2024-04-08,1491317618
2024-04-09,854883643
2024-04-10,1233826652
2024-04-11,969669364
2024-04-12,1455943237
2024-04-13,1630657585
2024-04-14,1317699471
2024-04-15,1126804917
2024-04-16,1139542069
2024-04-17,958819025
2024-04-18,812521706
2024-04-19,501695129
2024-04-20,804795822
2024-04-21,698048284
2024-04-22,771292368
2024-04-23,650684287
2024-04-24,1041006922
2024-04-25,788293201
2024-04-26,655441081
2024-04-27,670732735
2024-04-28,424094716
