date,volume
2023-01-07,82887
2023-01-08,113249
2023-01-09,93545
2023-01-10,163486
2023-01-11,140673
2023-01-12,357912
2023-01-13,158053
2023-01-14,230822
2023-01-15,126329
2023-01-16,136065
2023-01-17,104403
2023-01-18,168848
2023-01-19,127478
2023-01-20,82752
2023-01-21,200438
2023-01-22,131547
2023-01-23,165106
2023-01-24,171659
2023-01-25,137499
2023-01-26,131981
2023-01-27,91459
2023-01-28,113716
2023-01-29,176750
2023-01-30,429400
2023-01-31,388490
2023-02-01,274158
2023-02-02,578129
2023-02-03,487922
2023-02-04,168572
2023-02-05,80274
2023-02-06,172825
2023-02-07,211338
2023-02-08,261673
2023-02-09,292760
2023-02-10,74562
2023-02-11,91330
2023-02-12,118366
2023-02-13,226124
2023-02-14,86708
2023-02-15,500244
2023-02-16,157885
2023-02-17,192892
2023-02-18,63122
2023-02-19,209816
2023-02-20,171932
2023-02-21,159199
2023-02-22,250713
2023-02-23,121341
2023-02-24,261108
2023-02-25,227741
2023-02-26,206614
2023-02-27,185445
2023-02-28,406465
2023-03-01,717957
2023-03-02,243597
2023-03-03,210918
2023-03-04,78491
2023-03-05,94167
2023-03-06,216923
2023-03-07,200379
2023-03-08,104851
2023-03-09,138802
2023-03-10,152170
2023-03-11,126078
2023-03-12,213816
2023-03-13,237247
2023-03-14,149005
2023-03-15,355957
2023-03-16,468914
2023-03-17,149360
2023-03-18,325424
2023-03-19,701568
2023-03-20,745231
2023-03-21,830351
2023-03-22,966454
2023-03-23,249086
2023-03-24,190471
2023-03-25,100905
2023-03-26,86599
2023-03-27,197990
2023-03-28,180452
2023-03-29,772703
2023-03-30,992149
2023-03-31,416997
2023-04-01,242469
2023-04-02,128583
2023-04-03,135379
2023-04-04,102675
2023-04-05,107137
2023-04-06,135577
2023-04-07,103829
2023-04-08,229712
2023-04-09,105519
2023-04-10,176492
2023-04-11,393051
2023-04-12,182798
2023-04-13,183425
2023-04-14,675663
2023-04-15,213833
2023-04-16,429919
2023-04-17,976875
2023-04-18,767150
2023-04-19,546915
2023-04-20,161762
2023-04-21,153995
