date,volume
2023-11-29,264345026
2023-11-30,221610552
2023-12-01,201655050
2023-12-02,245948220
2023-12-03,236523311
2023-12-04,406717520
2023-12-05,339078637
2023-12-06,483851496
2023-12-07,813300709
2023-12-08,924084584
2023-12-09,775468733
2023-12-10,500863632
2023-12-11,801860638
2023-12-12,767928030
2023-12-13,575968787
2023-12-14,843310197
2023-12-15,1464775729
2023-12-16,868742374
2023-12-17,770340008
2023-12-18,969036351
2023-12-19,932766627
2023-12-20,1209793835
2023-12-21,1554290484
2023-12-22,2606616942
2023-12-23,1216868051
2023-12-24,1396664527
2023-12-25,1354661834
2023-12-26,1447154533
2023-12-27,1172979614
2023-12-28,1143425873
2023-12-29,979314479
2023-12-30,589221654
2023-12-31,544507837
2024-01-01,545716875
2024-01-02,776853560
2024-01-03,919489122
2024-01-04,683588615
2024-01-05,1146577769
2024-01-06,583290569
2024-01-07,459518461
2024-01-08,705075126
2024-01-09,807740347
2024-01-10,833698896
2024-01-11,887106805
2024-01-12,689975067
2024-01-13,581207801
2024-01-14,706805314
2024-01-15,615031547
2024-01-16,577110774
2024-01-17,823332486
2024-01-18,898336531
2024-01-19,740736869
2024-01-20,570604466
2024-01-21,536232987
2024-01-22,762736444
2024-01-23,747971455
2024-01-24,527834415
2024-01-25,554127791
2024-01-26,654223837
2024-01-27,495479554
2024-01-28,704749650
2024-01-29,795754736
2024-01-30,853171943
2024-01-31,1460536919
2024-02-01,1148774734
2024-02-02,877821993
2024-02-03,549844664
2024-02-04,566066547
2024-02-05,608163598
2024-02-06,501825561
2024-02-07,731719515
2024-02-08,696957028
2024-02-09,750564789
2024-02-10,560549825
2024-02-11,517026982
2024-02-12,795044811
2024-02-13,779388417
2024-02-14,780734843
2024-02-15,833777369
2024-02-16,717075801
2024-02-17,536210190
2024-02-18,590328991
2024-02-19,656141259
2024-02-20,765426977
2024-02-21,711345116
2024-02-22,620382843
2024-02-23,655228579
2024-02-24,512643526
2024-02-25,472480596
2024-02-26,866512586
2024-02-27,1133580931
2024-02-28,1663745290
2024-02-29,1988733197
2024-03-01,1875146739
2024-03-02,1639328652
2024-03-03,2078845615
2024-03-04,2487265566
2024-03-05,2852874137
2024-03-06,2317603426
2024-03-07,2257532608
2024-03-08,1852184207
2024-03-09,1308219818
2024-03-10,1413059173
2024-03-11,1515463690
2024-03-12,1458460052
2024-03-13,1678238499
2024-03-14,2350320490
2024-03-15,3796802038
2024-03-16,3487434317
2024-03-17,3168521250
2024-03-18,3299822021
2024-03-19,3377546627
2024-03-20,2448311729
2024-03-21,1685492617
2024-03-22,1356602637
2024-03-23,877414936
2024-03-24,851621252
2024-03-25,1429299567
2024-03-26,1226002192
2024-03-27,1011129366
2024-03-28,1275088421
2024-03-29,1258215553
2024-03-30,1225015508
2024-03-31,939771481
2024-04-01,1225726279
2024-04-02,1407492796
2024-04-03,1666907025
2024-04-04,1464949482
2024-04-05,1267719544
2024-04-06,841967318
2024-04-07,830722372
2024-04-08,1196654075
2024-04-09,962869460
2024-04-10,994237961
2024-04-11,962756769
2024-04-12,1405816783
2024-04-13,1579416282
2024-04-14,1410227314
2024-04-15,1194410255
2024-04-16,1198474052
2024-04-17,1090070323
2024-04-18,1047444104
2024-04-19,1283194961
2024-04-20,1111457853
2024-04-21,1442922001
2024-04-22,1435694052
2024-04-23,1202431395
2024-04-24,1663720630
2024-04-25,1019178328
2024-04-26,886577703
2024-04-27,879988738
2024-04-28,812269103
2024-04-29,848851665
2024-04-30,967208957
2024-05-01,1293069201
2024-05-02,1391523371
2024-05-03,1302611332
2024-05-04,1015408140
2024-05-05,901913424
2024-05-06,1051409982
2024-05-07,1156748520
2024-05-08,1326340763
2024-05-09,1075743511
2024-05-10,943540854
2024-05-11,560396042
2024-05-12,637106318
2024-05-13,951524930
2024-05-14,1240381620
2024-05-15,1216299793
2024-05-16,1222814063
2024-05-17,1072697092
2024-05-18,1085083853
2024-05-19,901931853
2024-05-20,1048990977
2024-05-21,1437208238
2024-05-22,1226805190
2024-05-23,1423276737
2024-05-24,1107265296
2024-05-25,828341755
2024-05-26,834290391
2024-05-27,1116596874
2024-05-28,1485811492
2024-05-29,1371411406
2024-05-30,1312280672
2024-05-31,696637099
2024-06-01,575459775
2024-06-02,751119397
2024-06-03,1110707336
2024-06-04,1036271467
2024-06-05,1119007575
2024-06-06,1183404703
2024-06-07,2887883911
2024-06-08,1735276706
2024-06-09,1113623582
2024-06-10,1270252389
2024-06-11,1700882938
2024-06-12,1722085634
2024-06-13,1732217779
2024-06-14,1497939796
2024-06-15,874940239
2024-06-16,1024146572
2024-06-17,1555686603
2024-06-18,2285131436
2024-06-19,1375970740
