date,volume
2023-11-29,19614781
2023-11-30,8116362
2023-12-01,4834108
2023-12-02,23807570
2023-12-03,5459231
2023-12-04,16618755
2023-12-05,41251489
2023-12-06,13114744
2023-12-07,31051707
2023-12-08,10022014
2023-12-09,9296080
2023-12-10,9810722
2023-12-11,29574871
2023-12-12,18530266
2023-12-13,28379485
2023-12-14,27469645
2023-12-15,30882192
2023-12-16,15258822
2023-12-17,33102947
2023-12-18,17136984
2023-12-19,25475584
2023-12-20,25092024
2023-12-21,27018597
2023-12-22,31104858
2023-12-23,29723777
2023-12-24,51837232
2023-12-25,55698453
2023-12-26,36200855
2023-12-27,21517663
2023-12-28,20479652
2023-12-29,35082446
2023-12-30,15960495
2023-12-31,16012608
2024-01-01,14786847
2024-01-02,27716369
2024-01-03,35635064
2024-01-04,26282436
2024-01-05,30185547
2024-01-06,35573838
2024-01-07,21050174
2024-01-08,29511500
2024-01-09,32136415
2024-01-10,34569294
2024-01-11,60381673
2024-01-12,67755242
2024-01-13,75944834
2024-01-14,47548754
2024-01-15,59862841
2024-01-16,36158488
2024-01-17,35273505
2024-01-18,45989384
2024-01-19,43600272
2024-01-20,22634830
2024-01-21,53424215
2024-01-22,53786627
2024-01-23,79778456
2024-01-24,55765406
2024-01-25,46233853
2024-01-26,70232951
2024-01-27,82376291
2024-01-28,65231267
2024-01-29,63308423
2024-01-30,52605952
2024-01-31,66978113
2024-02-01,63869073
2024-02-02,46307470
2024-02-03,31369578
2024-02-04,39039995
2024-02-05,88793881
2024-02-06,63255882
2024-02-07,114695103
2024-02-08,72450721
2024-02-09,140325211
2024-02-10,106343336
2024-02-11,87167874
2024-02-12,96962735
2024-02-13,95670095
2024-02-14,61654158
2024-02-15,88020979
2024-02-16,48671449
2024-02-17,30341082
2024-02-18,59255109
2024-02-19,43402113
2024-02-20,58879570
2024-02-21,72137462
2024-02-22,48830518
2024-02-23,46011003
2024-02-24,35492910
2024-02-25,25027557
2024-02-26,50640359
2024-02-27,47798232
2024-02-28,104866147
2024-02-29,80549467
2024-03-01,53259631
2024-03-02,57709718
2024-03-03,55821985
2024-03-04,62420180
2024-03-05,103960501
2024-03-06,64795266
2024-03-07,79926907
2024-03-08,94028531
2024-03-09,90415538
2024-03-10,83227376
2024-03-11,93368876
2024-03-12,66743293
2024-03-13,66964204
2024-03-14,142304728
2024-03-15,129081311
2024-03-16,194860811
2024-03-17,107384181
2024-03-18,146447747
