date,volume
2023-11-29,4444137
2023-11-30,4410401
2023-12-01,3446260
2023-12-02,2461381
2023-12-03,11075536
2023-12-04,8800928
2023-12-05,7162281
2023-12-06,48781324
2023-12-07,11516637
2023-12-08,20782324
2023-12-09,6656946
2023-12-10,22158308
2023-12-11,20573959
2023-12-12,9286382
2023-12-13,7541070
2023-12-14,9073436
2023-12-15,7393914
2023-12-16,16423050
2023-12-17,12040608
2023-12-18,27190257
2023-12-19,13279723
2023-12-20,13513257
2023-12-21,12355279
2023-12-22,13908211
2023-12-23,18691058
2023-12-24,24827055
2023-12-25,21934702
2023-12-26,27628054
2023-12-27,16502165
2023-12-28,34695371
2023-12-29,24368383
2023-12-30,13306624
2023-12-31,16613608
2024-01-01,14675241
2024-01-02,23613152
2024-01-03,42181934
2024-01-04,22741029
2024-01-05,20612285
2024-01-06,14368261
2024-01-07,12746517
2024-01-08,23315959
2024-01-09,21488331
2024-01-10,24090991
2024-01-11,26123172
2024-01-12,34089143
2024-01-13,62739954
2024-01-14,40031402
2024-01-15,32325809
2024-01-16,27844451
2024-01-17,14165063
2024-01-18,24874852
2024-01-19,26282653
2024-01-20,9727907
2024-01-21,9467191
2024-01-22,20007396
2024-01-23,25324939
2024-01-24,11508199
2024-01-25,16480554
2024-01-26,18725659
2024-01-27,13207301
2024-01-28,10858624
2024-01-29,19948488
2024-01-30,9972430
2024-01-31,19448498
2024-02-01,15713447
2024-02-02,13080348
2024-02-03,5364495
2024-02-04,9086196
2024-02-05,13141773
2024-02-06,7592546
2024-02-07,8351823
2024-02-08,34833939
2024-02-09,20230461
2024-02-10,8639857
2024-02-11,7505298
2024-02-12,16800479
2024-02-13,22434418
2024-02-14,15970519
2024-02-15,27944111
2024-02-16,23069904
2024-02-17,44727007
2024-02-18,14502393
2024-02-19,17541014
2024-02-20,36529182
2024-02-21,53772548
2024-02-22,25312469
2024-02-23,20565940
2024-02-24,13716140
2024-02-25,10572234
2024-02-26,18591175
2024-02-27,32535843
2024-02-28,38807252
2024-02-29,49903255
2024-03-01,21450705
2024-03-02,35946857
2024-03-03,33541311
2024-03-04,77724452
2024-03-05,98394688
2024-03-06,87027856
2024-03-07,26794746
2024-03-08,32786291
2024-03-09,27133862
2024-03-10,28294827
2024-03-11,45162286
2024-03-12,6360689
2024-03-13,28454690
2024-03-14,44274272
2024-03-15,55948137
2024-03-16,29823464
2024-03-17,25965303
2024-03-18,39213538
2024-03-19,81935257
2024-03-20,54897874
2024-03-21,33559953
2024-03-22,27930613
2024-03-23,29784368
2024-03-24,29361200
2024-03-25,38011406
2024-03-26,23340096
2024-03-27,25782609
2024-03-28,14132975
2024-03-29,18123133
2024-03-30,15918103
2024-03-31,12408100
2024-04-01,30820096
2024-04-02,42078972
2024-04-03,37548878
2024-04-04,25617017
2024-04-05,28279835
2024-04-06,12302461
2024-04-07,9649178
2024-04-08,21611612
2024-04-09,26058136
2024-04-10,48216684
2024-04-11,35120671
2024-04-12,86752139
2024-04-13,70779065
2024-04-14,58560878
2024-04-15,69590396
2024-04-16,49397444
2024-04-17,35968969
2024-04-18,37885695
2024-04-19,55011163
2024-04-20,24396368
2024-04-21,17869980
2024-04-22,29372248
2024-04-23,28504633
2024-04-24,35083519
2024-04-25,32720234
2024-04-26,39808179
2024-04-27,26958979
2024-04-28,15570666
2024-04-29,26956645
2024-04-30,51480243
2024-05-01,47021762
2024-05-02,36141064
2024-05-03,16982554
2024-05-04,8543279
2024-05-05,11196401
2024-05-06,32569427
2024-05-07,24076458
2024-05-08,37631180
2024-05-09,29647120
2024-05-10,50917682
2024-05-11,12968886
2024-05-12,8152401
2024-05-13,18219353
2024-05-14,12731655
2024-05-15,11699116
2024-05-16,21755249
2024-05-17,12022983
2024-05-18,11337179
2024-05-19,14043178
2024-05-20,20039361
2024-05-21,23581988
2024-05-22,29531638
2024-05-23,42095382
2024-05-24,24270416
2024-05-25,29670736
2024-05-26,15591834
2024-05-27,25745162
2024-05-28,23798981
2024-05-29,16032796
2024-05-30,16294001
2024-05-31,19220047
2024-06-01,13438123
2024-06-02,15013251
