formatted_record,timeStamp,dateTime,hash,transaction_type,base_token_volume,other_token_volume,average_price,token_symbol,price_unit
1727622431 W BUY 225.99785863916776 WETH of 600000.0 USDT at avg price 2654.892412 (at 2024-09-29 15:07:11),1727622431,2024-09-29 15:07:11,0xcdd50283839ea3d3183bf5196b7ef12717c45890ba182549e15c17230949afc4,BUY,600000.0,225.99785863916776,2654.89241187002,WETH,USDT/WETH
1727622431 W BUY 629.4040363100822 WETH of 1671000.0 USDT at avg price 2654.892412 (at 2024-09-29 15:07:11),1727622431,2024-09-29 15:07:11,0xc481855c6cd2d82cac1da53834a02bf51b8e8eadce68f445ae8e9f2b9603bfc3,BUY,1671000.0,629.4040363100822,2654.89241187002,WETH,USDT/WETH
1727622431 W BUY 74.57929335092537 WETH of 198000.0 USDT at avg price 2654.892412 (at 2024-09-29 15:07:11),1727622431,2024-09-29 15:07:11,0xcba3453948db3d31864f8bbf2a975f75bcb419618ab6fa15acea01439b52f529,BUY,198000.0,74.57929335092537,2654.89241187002,WETH,USDT/WETH
1727622443 W BUY 200.0005025508445 WETH of 531000.0 USDT at avg price 2654.993329 (at 2024-09-29 15:07:23),1727622443,2024-09-29 15:07:23,0x07ebb9da44241175af68f383bcf401f77a43af8b8083030e8892146c6292fbc4,BUY,531000.0,200.0005025508445,2654.993328654303,WETH,USDT/WETH
1727622611 W BUY 47.42831654525341 WETH of 126000.0 USDT at avg price 2656.640783 (at 2024-09-29 15:10:11),1727622611,2024-09-29 15:10:11,0xbc0295f708bc839ba95446654d230b837939c06bb6331e542dbe681db5faa9ea,BUY,126000.0,47.42831654525341,2656.640782933502,WETH,USDT/WETH
1727622611 W BUY 225.8491264059686 WETH of 600000.0 USDT at avg price 2656.640783 (at 2024-09-29 15:10:11),1727622611,2024-09-29 15:10:11,0xc71181c1b789672fb0a24be271ec4d226f95f60c4acf8370361b8cdb94c7cb8d,BUY,600000.0,225.8491264059686,2656.6407829335026,WETH,USDT/WETH
1727622611 W BUY 112.9245632029843 WETH of 300000.0 USDT at avg price 2656.640783 (at 2024-09-29 15:10:11),1727622611,2024-09-29 15:10:11,0x391de3855a81c8a201c4b8ff76784172a94aa4b7f8bdce59fdbe795877e6f7b3,BUY,300000.0,112.9245632029843,2656.6407829335026,WETH,USDT/WETH
1727622611 W BUY 213.0655607108356 WETH of 566038.658023 USDT at avg price 2656.640783 (at 2024-09-29 15:10:11),1727622611,2024-09-29 15:10:11,0x1e2f01f76db306c5366d3d49a6f1a71778affdfea3b818ad74b4d630fc03f82a,BUY,566038.658023,213.0655607108356,2656.6407829335026,WETH,USDT/WETH
1727622623 W BUY 317.96963525401145 WETH of 844776.805186 USDT at avg price 2656.784521 (at 2024-09-29 15:10:23),1727622623,2024-09-29 15:10:23,0x8c3b87a31474300c9f1980ef81985ee5f8cf5fe527a772b66c5205ca2b8c54c6,BUY,844776.805186,317.96963525401145,2656.7845212991683,WETH,USDT/WETH
1727622623 W BUY 33.875536114607435 WETH of 90000.0 USDT at avg price 2656.784521 (at 2024-09-29 15:10:23),1727622623,2024-09-29 15:10:23,0xa5ed034449e364d700a9f6a82e65cc198f3972a2e52e1fa43d8cd301fe767cc8,BUY,90000.0,33.875536114607435,2656.7845212991683,WETH,USDT/WETH
1727622623 W BUY 31.796963525175304 WETH of 84477.680518 USDT at avg price 2656.784521 (at 2024-09-29 15:10:23),1727622623,2024-09-29 15:10:23,0x2c3663d6b35b88687f877de422b33cc698e40e60638a67b668e87d00188c5dfb,BUY,84477.680518,31.796963525175304,2656.784521299169,WETH,USDT/WETH
1727622623 W BUY 132.48734802244203 WETH of 351990.335494 USDT at avg price 2656.784521 (at 2024-09-29 15:10:23),1727622623,2024-09-29 15:10:23,0x813c01339c9a7de5fdafc9b7e68872a37afbb7eb435b6bb836ccc7aa3bf121a8,BUY,351990.335494,132.48734802244203,2656.7845212991683,WETH,USDT/WETH
1727622635 W BUY 13.819007966403811 WETH of 36716.0 USDT at avg price 2656.920098 (at 2024-09-29 15:10:35),1727622635,2024-09-29 15:10:35,0xab9f3da24e776144572b038310870531ff9e44b75692d79bf1615eb5b1743a02,BUY,36716.0,13.819007966403811,2656.9200979739203,WETH,USDT/WETH
1727623691 W BUY 1128.3998965068963 WETH of 3000000.0 USDT at avg price 2658.631935 (at 2024-09-29 15:28:11),1727623691,2024-09-29 15:28:11,0x597ce8e4f555886d4b39b42133291f5405144bbf0183aabed5d4919c56da598f,BUY,3000000.0,1128.3998965068963,2658.6319347306544,WETH,USDT/WETH
1727623739 W BUY 110.47831582886502 WETH of 293875.704842 USDT at avg price 2660.030637 (at 2024-09-29 15:28:59),1727623739,2024-09-29 15:28:59,0x69dff7e50d19f1e82dc2976d13618fcbcc1e78880752178a01bda4619c6aab39,BUY,293875.704842,110.47831582886502,2660.030637118186,WETH,USDT/WETH
1727623739 W BUY 12.056439078740992 WETH of 32070.497324 USDT at avg price 2660.030637 (at 2024-09-29 15:28:59),1727623739,2024-09-29 15:28:59,0x9ea0ba40e82e877ca8431034063ad8e247d8eb8dabccdfdbbad97c1b1758bd4a,BUY,32070.497324,12.056439078740992,2660.0306371181864,WETH,USDT/WETH
1727623739 W BUY 70.77517107771394 WETH of 188264.123414 USDT at avg price 2660.030637 (at 2024-09-29 15:28:59),1727623739,2024-09-29 15:28:59,0xd9c13059714f4ff1dde4cadb6b9cf774288e3b20bf252fb3dce55545e63b0f54,BUY,188264.123414,70.77517107771394,2660.030637118186,WETH,USDT/WETH
