timestamp,price
2024-02-15,10.1675
2024-02-16,9.8084
2024-02-17,9.6956
2024-02-18,9.6939
2024-02-19,10.1241
2024-02-20,9.6361
2024-02-21,9.2355
2024-02-22,9.2295
2024-02-23,9.1183
2024-02-24,9.473
2024-02-25,9.6598
2024-02-26,10.1463
2024-02-27,9.9488
2024-02-28,12.3813
2024-02-29,11.7156
2024-03-01,11.8582
2024-03-02,12.1498
2024-03-03,11.6105
2024-03-04,12.0956
2024-03-05,13.6638
2024-03-06,13.6889
2024-03-07,13.2435
2024-03-08,13.2248
2024-03-09,13.1593
2024-03-10,12.7461
2024-03-11,13.4805
2024-03-12,13.3782
2024-03-13,13.1561
2024-03-14,14.3036
2024-03-15,15.1236
2024-03-16,13.3125
2024-03-17,14.0283
2024-03-18,14.4259
2024-03-19,15.44
2024-03-20,15.5916
2024-03-21,15.032
2024-03-22,16.2588
2024-03-23,16.1504
2024-03-24,16.3422
2024-03-25,17.3448
2024-03-26,18.0711
2024-03-27,17.6965
2024-03-28,17.3832
2024-03-29,17.2127
2024-03-30,16.6177
2024-03-31,17.0832
2024-04-01,16.6932
2024-04-02,14.7035
2024-04-03,14.1435
2024-04-04,14.1525
2024-04-05,13.1459
2024-04-06,13.214
2024-04-07,13.6344
2024-04-08,14.2685
2024-04-09,12.7306
2024-04-10,12.2245
2024-04-11,11.851
2024-04-12,9.7739
2024-04-13,8.7746
2024-04-14,9.5851
2024-04-15,9.1287
2024-04-16,9.2508
2024-04-17,9.1435
2024-04-18,9.4944
2024-04-19,9.4127
2024-04-20,10.2441
2024-04-21,10.0065
2024-04-22,10.1803
2024-04-23,9.7718
2024-04-24,9.1532
2024-04-25,9.031
2024-04-26,8.8527
2024-04-27,9.0031
2024-04-28,8.9904
2024-04-29,9.109
2024-04-30,8.7008
2024-05-01,8.932
2024-05-02,8.8495
2024-05-03,9.0643
2024-05-04,9.1178
2024-05-05,9.2394
2024-05-06,8.9951
2024-05-07,8.7738
2024-05-08,8.582
2024-05-09,8.8111
2024-05-10,8.456
2024-05-11,8.3904
2024-05-12,8.3483
2024-05-13,8.183
2024-05-14,7.7957
2024-05-15,8.4809
2024-05-16,8.3742
2024-05-17,8.5747
2024-05-18,8.5798
2024-05-19,8.1102
2024-05-20,9.1092
2024-05-21,9.3182
2024-05-22,9.0004
2024-05-23,8.9287
2024-05-24,8.9557
2024-05-25,9.0911
2024-05-26,9.0489
2024-05-27,9.657
2024-05-28,9.3624
2024-05-29,9.089
2024-05-30,9.183
2024-05-31,9.1422
2024-06-01,9.0711
2024-06-02,8.9208
2024-06-03,8.9206
2024-06-04,9.1558
2024-06-05,9.308
2024-06-06,9.0963
2024-06-07,8.5917
2024-06-08,8.1299
2024-06-09,8.5931
2024-06-10,8.2709
2024-06-11,7.9643
2024-06-12,8.2428
2024-06-13,7.8899
2024-06-14,7.6881
2024-06-15,7.8794
2024-06-16,7.9002
2024-06-17,7.4421
2024-06-18,6.8252
2024-06-19,6.9055
2024-06-20,6.9094
2024-06-21,6.9394
2024-06-22,6.8577
2024-06-23,6.7446
2024-06-24,6.9496
2024-06-25,6.9478
2024-06-26,6.8456
2024-06-27,7.0321
2024-06-28,6.8535
2024-06-29,6.9047
2024-06-30,7.0751
2024-07-01,7.0548
2024-07-02,6.9582
2024-07-03,6.5989
2024-07-04,5.9699
2024-07-05,5.5497
2024-07-06,5.9772
2024-07-07,5.5844
2024-07-08,5.8361
2024-07-09,6.0241
2024-07-10,6.1458
2024-07-11,6.0312
2024-07-12,6.1066
2024-07-13,6.345
2024-07-14,6.6321
2024-07-15,6.9893
2024-07-16,7.0689
2024-07-17,7.0617
2024-07-18,6.9978
2024-07-19,7.4531
2024-07-20,7.3613
2024-07-21,7.4855
2024-07-22,7.2153
2024-07-23,7.1437
2024-07-24,6.8114
2024-07-25,6.6188
2024-07-26,6.9789
2024-07-27,7.1412
2024-07-28,6.8476
2024-07-29,6.7585
2024-07-30,6.5949
2024-07-31,6.4114
2024-08-01,6.4095
2024-08-02,6.0089
2024-08-03,5.5775
2024-08-04,5.3401
2024-08-05,4.9835
2024-08-06,5.1328
2024-08-07,5.0827
2024-08-08,5.7639
2024-08-09,5.746
2024-08-10,6.2736
2024-08-11,5.7263
2024-08-12,6.4372
2024-08-13,6.795
2024-08-14,6.6847
2024-08-15,6.2299
2024-08-16,5.9155
2024-08-17,5.8216
2024-08-18,5.7832
2024-08-19,6.0465
2024-08-20,6.0565
2024-08-21,6.3568
2024-08-22,6.5056
