instrument,time,open,high,low,close,volume,quote_volume
BTC-USDT,2024-12-19 20:00:00,97199.72,97312.0,95666.0,96369.05,4480.651302820001,432180659.66187215
BTC-USDT,2024-12-19 21:00:00,96409.54,98149.98,95828.98,97327.06,2666.45622143,259463850.51046455
BTC-USDT,2024-12-19 22:00:00,97417.66,98500.0,97193.41,98381.2,2034.2886319899999,198860195.31543908
BTC-USDT,2024-12-19 23:00:00,98391.21,98400.01,97455.3,97462.36,1513.6696090300002,148128650.4771095
BTC-USDT,2024-12-20 00:00:00,97461.86,97814.09,96637.76,97272.74,2568.29460664,249714947.80535325
BTC-USDT,2024-12-20 01:00:00,97248.22,97542.68,96159.84,96315.77,2526.56552615,244553633.77263987
BTC-USDT,2024-12-20 02:00:00,96319.99,97731.91,95964.09,97628.56,2643.52281629,256175583.0926849
BTC-USDT,2024-12-20 03:00:00,97632.59,97792.17,96969.7,97089.86,1046.74271675,101917605.32196635
BTC-USDT,2024-12-20 04:00:00,97106.02,97838.98,96833.41,97292.69,1287.93126857,125548194.1929373
BTC-USDT,2024-12-20 05:00:00,97304.07,97491.95,96672.47,96777.25,1344.1559518200002,130499607.0968639
BTC-USDT,2024-12-20 06:00:00,96734.32,97303.99,96374.03,97248.54,1676.9976398200001,162352034.33727747
BTC-USDT,2024-12-20 07:00:00,97281.37,98255.2,97248.54,97830.33,2621.9069378,256729124.83641958
BTC-USDT,2024-12-20 08:00:00,97832.53,97874.14,95300.0,95486.48,3456.7926257000004,332799477.5874576
BTC-USDT,2024-12-20 09:00:00,95473.74,95738.79,94679.96,94828.08,4544.443301910001,432614321.836642
BTC-USDT,2024-12-20 10:00:00,94811.85,95114.71,94000.0,94372.06,4804.64771637,454377953.1473875
BTC-USDT,2024-12-20 11:00:00,94359.53,94749.92,92603.59,92687.67,6341.31437585,592694513.242066
BTC-USDT,2024-12-20 12:00:00,92723.98,94244.0,92232.54,93933.49,5464.53075624,509487574.7634755
BTC-USDT,2024-12-20 13:00:00,93941.75,95803.57,93581.32,95200.96,4235.36148624,401792809.3684248
BTC-USDT,2024-12-20 14:00:00,95204.0,96235.29,94745.87,95585.0,3276.5969681300003,312867998.1593814
BTC-USDT,2024-12-20 15:00:00,95627.99,97572.0,95585.0,97013.57,3524.1149396,341035613.978204
BTC-USDT,2024-12-20 16:00:00,96991.62,97701.89,96293.05,96738.82,2922.4796495699998,283804208.0339504
BTC-USDT,2024-12-20 17:00:00,96727.99,97378.0,96427.0,97218.04,1755.14082573,170180539.6414669
BTC-USDT,2024-12-20 18:00:00,97206.59,97308.39,96602.69,96990.77,1243.64821298,120552405.7900821
BTC-USDT,2024-12-20 19:00:00,96993.58,97748.0,96840.0,97098.08,1355.8502732499999,132016342.83713278
BTC-USDT,2024-12-20 20:00:00,97116.0,97235.96,96410.6,96457.43,1398.0606827899999,135429529.5713355
BTC-USDT,2024-12-20 21:00:00,96451.88,96650.72,95393.84,96611.54,1645.1718244499998,158095247.67832467
BTC-USDT,2024-12-20 22:00:00,96623.29,97519.38,96451.03,97477.49,995.7255504799999,96635059.60522054
BTC-USDT,2024-12-20 23:00:00,97463.93,97822.68,97389.0,97805.26,841.9007212500001,82187011.0056083
BTC-USDT,2024-12-21 00:00:00,97805.44,97823.88,97216.32,97526.74,951.91820366,92766436.87971158
BTC-USDT,2024-12-21 01:00:00,97525.77,97673.36,97198.76,97373.79,956.38290234,93197482.66459882
BTC-USDT,2024-12-21 02:00:00,97357.23,97610.54,97184.61,97398.6,512.20688365,49888786.90320628
BTC-USDT,2024-12-21 03:00:00,97396.0,97487.47,97244.0,97418.59,492.94951239,47983350.84344204
BTC-USDT,2024-12-21 04:00:00,97487.46,97643.0,97378.5,97613.86,438.45739662,42754045.84048513
BTC-USDT,2024-12-21 05:00:00,97588.0,98703.86,97541.06,98703.86,1174.78243339,115190154.70741764
BTC-USDT,2024-12-21 06:00:00,98691.98,98847.43,98318.6,98718.64,1777.94488178,175287733.9587757
BTC-USDT,2024-12-21 07:00:00,98726.76,99557.72,98485.1,99056.82,2160.5722295799997,214034218.17051864
BTC-USDT,2024-12-21 08:00:00,99040.0,99188.73,98438.01,98657.86,1033.8555141099998,102090880.30766019
BTC-USDT,2024-12-21 09:00:00,98650.0,98694.45,98296.01,98560.63,672.19252974,66185662.38196569
BTC-USDT,2024-12-21 10:00:00,98565.82,98686.2,98043.12,98150.3,912.0104586799999,89712882.62077722
BTC-USDT,2024-12-21 11:00:00,98131.22,98424.77,97800.0,98244.08,839.94905962,82413719.85098842
BTC-USDT,2024-12-21 12:00:00,98262.08,98283.95,97105.26,97150.82,1765.88734549,172466327.31043616
BTC-USDT,2024-12-21 13:00:00,97131.99,97500.48,96398.39,97425.42,2552.36563341,247652363.63030338
BTC-USDT,2024-12-21 14:00:00,97344.54,97755.35,97066.63,97066.63,971.00574529,94625923.74359989
BTC-USDT,2024-12-21 15:00:00,97083.11,97719.86,97066.63,97515.27,657.50737453,64075084.79129264
BTC-USDT,2024-12-21 16:00:00,97527.97,97718.8,96951.41,97257.32,1010.89079727,98413376.04649891
BTC-USDT,2024-12-21 17:00:00,97292.0,97695.8,97024.32,97641.69,808.28308206,78723027.03994958
BTC-USDT,2024-12-21 18:00:00,97595.28,97723.18,97287.87,97414.38,379.50336785,36996915.29353738
BTC-USDT,2024-12-21 19:00:00,97400.01,97436.69,96819.36,97249.21,744.50123359,72239750.12840256
BTC-USDT,2024-12-21 20:00:00,97269.03,98057.82,97224.83,97484.79,887.7524204900001,86716967.12255278
BTC-USDT,2024-12-21 21:00:00,97456.91,97577.99,96539.91,96882.93,706.78322323,68608301.08599189
BTC-USDT,2024-12-21 22:00:00,96892.0,97399.99,96624.0,97140.4,881.78310719,85567720.33348124
BTC-USDT,2024-12-21 23:00:00,97147.46,97313.26,96900.0,97274.81,376.88119276,36593522.01226937
BTC-USDT,2024-12-22 00:00:00,97291.99,97448.08,97043.03,97213.26,424.6378451,41287524.763489485
BTC-USDT,2024-12-22 01:00:00,97253.01,97432.69,96720.0,97066.07,449.21183064999997,43623641.2348699
BTC-USDT,2024-12-22 02:00:00,97060.01,97236.18,96613.18,96715.67,374.90030144,36312230.286709376
BTC-USDT,2024-12-22 03:00:00,96719.99,97320.0,96549.37,96986.33,609.05236985,59040214.354951166
BTC-USDT,2024-12-22 04:00:00,96994.37,97071.97,96072.0,96073.7,716.57833853,69137511.79725283
BTC-USDT,2024-12-22 05:00:00,96076.01,96409.64,95890.28,96179.57,1125.3624961100002,108206143.347982
BTC-USDT,2024-12-22 06:00:00,96156.19,96749.99,96112.0,96723.69,595.39272856,57445260.348145075
BTC-USDT,2024-12-22 07:00:00,96739.99,96847.99,96080.0,96195.58,558.35379886,53817487.860365085
BTC-USDT,2024-12-22 08:00:00,96210.24,96689.55,96195.58,96580.38,506.48188743000003,48870016.21126592
BTC-USDT,2024-12-22 09:00:00,96534.5,97272.87,96328.77,96941.1,790.34138592,76591222.40242109
BTC-USDT,2024-12-22 10:00:00,96940.27,97351.57,96840.93,97009.69,537.9756618499999,52248688.47416017
BTC-USDT,2024-12-22 11:00:00,97009.03,97335.0,96988.0,97099.83,392.44664251,38138117.30968975
BTC-USDT,2024-12-22 12:00:00,97101.28,97300.0,96836.36,97007.93,445.74205491,43269551.00206131
