market,instrument,base_asset,quote_asset,time,open,high,low,close,total_trades,total_trades_buy,total_trades_sell,volume,quote_volume,volume_buy,quote_volume_buy,volume_sell,quote_volume_sell
binance,BTC-USDT,BTC,USDT,2024-11-26 23:00:00,91811.14,92068.0,91588.0,91965.16,204202,108771,95431,1313.3595,120633041.555245,675.11566,62012329.2615108,638.24384,58620712.2938944
binance,BTC-USDT,BTC,USDT,2024-11-27 00:00:00,91965.16,92428.58,91792.14,91939.33,260031,131963,128068,1258.85709,115959026.310879,634.40826,58440634.7223627,624.44883,57518391.5886149
binance,BTC-USDT,BTC,USDT,2024-11-27 01:00:00,91939.33,92813.92,91824.34,92753.86,278180,146367,131813,1552.30509,143435588.11823,841.04227,77724363.0548068,711.26282,65711225.0637093
binance,BTC-USDT,BTC,USDT,2024-11-27 02:00:00,92753.86,93037.38,92304.8,92943.34,250574,135758,114816,1337.36368,124053707.530857,610.2371,56608711.4742288,727.12658,67444996.0569956
binance,BTC-USDT,BTC,USDT,2024-11-27 03:00:00,92943.34,92946.1,92521.73,92588.0,208049,89043,119006,1407.05432,130511550.894475,613.16012,56872381.7386759,793.8942,73639169.1559743
binance,BTC-USDT,BTC,USDT,2024-11-27 04:00:00,92588.0,93211.2,92500.0,92568.0,203290,99201,104089,1553.5552,144232716.559622,693.77581,64436143.4186031,859.77939,79796573.1417772
binance,BTC-USDT,BTC,USDT,2024-11-27 05:00:00,92568.0,92815.23,92361.66,92768.01,148553,61950,86603,886.15723,82082925.3910052,394.87625,36579427.0891373,491.28098,45503498.3018679
binance,BTC-USDT,BTC,USDT,2024-11-27 06:00:00,92768.01,93393.19,92768.01,93068.16,180847,90613,90234,1418.27916,132098373.267804,676.82219,63036917.5887455,741.45697,69061455.6787243
binance,BTC-USDT,BTC,USDT,2024-11-27 07:00:00,93068.16,93648.0,93024.0,93597.16,157950,85125,72825,982.28053,91749832.1601172,497.50167,46472117.0579505,484.77886,45277715.1021667
binance,BTC-USDT,BTC,USDT,2024-11-27 08:00:00,93597.16,93609.93,93236.01,93433.21,141301,70808,70493,1196.09475,111731088.881231,695.58768,64973707.1212217,500.50707,46757381.7601364
binance,BTC-USDT,BTC,USDT,2024-11-27 09:00:00,93433.21,93492.98,93109.12,93403.5,188700,99263,89437,849.82941,79272694.9194432,447.10144,41708179.4795732,402.72797,37564515.43987
binance,BTC-USDT,BTC,USDT,2024-11-27 10:00:00,93403.5,93885.6,93353.82,93821.35,210265,110727,99538,1020.37533,95563881.432224,517.50101,48471221.6191937,502.87432,47092659.8130303
binance,BTC-USDT,BTC,USDT,2024-11-27 11:00:00,93821.35,93823.34,93316.87,93367.99,207140,97179,109961,927.7124,86764494.5936378,436.82555,40854913.7605237,490.88685,45909580.8331141
binance,BTC-USDT,BTC,USDT,2024-11-27 12:00:00,93367.99,93500.0,92847.84,93499.99,250007,127546,122461,1362.34844,126917747.525343,651.01723,60657306.662959,711.33121,66260440.8624805
binance,BTC-USDT,BTC,USDT,2024-11-27 13:00:00,93499.99,94264.0,93416.0,94264.0,309505,172489,137016,1732.88941,162511581.834509,924.56467,86728019.0247797,808.32474,75783562.8102101
binance,BTC-USDT,BTC,USDT,2024-11-27 14:00:00,94264.0,94885.0,94106.74,94833.41,459927,249886,210041,2687.6878,253984892.38823,1403.46287,132642634.219985,1284.22493,121342258.168363
binance,BTC-USDT,BTC,USDT,2024-11-27 15:00:00,94833.41,95850.0,94316.0,95556.01,610184,320202,289982,4085.67328,388698360.743755,2271.65683,216176280.414654,1814.01645,172522080.328523
binance,BTC-USDT,BTC,USDT,2024-11-27 16:00:00,95556.01,96333.1,95184.79,95689.19,611204,322060,289144,3735.98049,357926238.251304,1731.48414,165935069.371309,2004.49635,191991168.88198
binance,BTC-USDT,BTC,USDT,2024-11-27 17:00:00,95689.19,96300.0,95300.9,96247.24,372712,192667,180045,2172.15499,208248992.039409,953.20994,91393025.4387805,1218.94505,116855966.602754
binance,BTC-USDT,BTC,USDT,2024-11-27 18:00:00,96247.24,96539.33,96004.0,96119.51,369767,177529,192238,2183.10482,210121580.619844,875.23602,84244616.8420284,1307.8688,125876963.781481
binance,BTC-USDT,BTC,USDT,2024-11-27 19:00:00,96119.51,96631.68,95893.13,96627.99,313939,162683,151256,1434.64526,138143960.954496,667.18481,64248465.3022059,767.46045,73895495.6523815
binance,BTC-USDT,BTC,USDT,2024-11-27 20:00:00,96627.99,97208.21,96312.01,96482.75,399359,212945,186414,2769.17906,268094054.99451,1514.97264,146680474.862079,1254.20642,121413580.13074
binance,BTC-USDT,BTC,USDT,2024-11-27 21:00:00,96482.75,96595.0,96052.39,96267.86,203525,97860,105665,1587.26456,152850974.533486,742.24604,71470727.1820332,845.01852,81380247.3521276
binance,BTC-USDT,BTC,USDT,2024-11-27 22:00:00,96267.86,96520.0,96035.0,96047.47,132920,66569,66351,1228.85624,118289739.815385,584.44841,56262750.3198319,644.40783,62026989.4958622
binance,BTC-USDT,BTC,USDT,2024-11-27 23:00:00,96047.47,96183.01,95731.72,95863.11,180761,81527,99234,1783.7788,171114507.844737,938.2595,90002549.5259095,845.5193,81111958.3182016
binance,BTC-USDT,BTC,USDT,2024-11-28 00:00:00,95863.11,96564.0,95722.22,96552.01,226507,116653,109854,1430.3734,137398308.100387,715.70911,68759218.3448316,714.66429,68639089.7561769
binance,BTC-USDT,BTC,USDT,2024-11-28 01:00:00,96552.01,96552.52,96084.0,96273.95,186255,103549,82706,1230.16331,118386550.150166,572.16242,55062146.8263736,658.00089,63324403.3238319
binance,BTC-USDT,BTC,USDT,2024-11-28 02:00:00,96273.95,96439.69,95624.01,95699.79,173166,80006,93160,1574.70118,151409573.317599,680.94048,65491191.9023031,893.7607,85918381.4153871
binance,BTC-USDT,BTC,USDT,2024-11-28 03:00:00,95699.79,95789.33,94822.54,95471.43,291902,134208,157694,2040.46488,194445083.445062,974.34458,92839423.1430894,1066.1203,101605660.302986
binance,BTC-USDT,BTC,USDT,2024-11-28 04:00:00,95471.43,95840.65,95338.08,95742.72,162099,84702,77397,1348.18004,128937748.884131,729.10314,69736575.5760111,619.0769,59201173.3079892
binance,BTC-USDT,BTC,USDT,2024-11-28 05:00:00,95742.72,95922.39,95350.22,95443.43,125169,58007,67162,1214.96792,116167936.413133,630.71325,60313112.8523813,584.25467,55854823.5609486
binance,BTC-USDT,BTC,USDT,2024-11-28 06:00:00,95443.43,95692.0,95063.15,95479.07,151439,78041,73398,1427.2001,136126475.071693,739.98426,70582827.0498743,687.21584,65543648.0219472
binance,BTC-USDT,BTC,USDT,2024-11-28 07:00:00,95479.07,95757.08,95218.01,95299.66,148230,69828,78402,1024.65086,97923634.8591209,499.17615,47715211.0841871,525.47471,50208423.7749338
binance,BTC-USDT,BTC,USDT,2024-11-28 08:00:00,95299.66,95615.45,95090.0,95456.01,151378,74737,76641,929.59955,88648176.6442267,485.42737,46297284.2345471,444.17218,42350892.4096796
binance,BTC-USDT,BTC,USDT,2024-11-28 09:00:00,95456.01,95507.62,94940.1,94976.0,132683,55448,77235,872.54696,83074450.0409801,342.81245,32640358.8866325,529.73451,50434091.1543476
binance,BTC-USDT,BTC,USDT,2024-11-28 10:00:00,94976.0,95149.61,94640.0,94958.74,227374,108009,119365,1675.94679,159045616.855381,766.09251,72694803.9641266,909.85428,86350812.8910659
binance,BTC-USDT,BTC,USDT,2024-11-28 11:00:00,94958.74,95780.0,94760.84,95452.01,261315,118267,143048,1273.9326,121321808.829475,668.61978,63686055.4551734,605.31282,57635753.3742607
binance,BTC-USDT,BTC,USDT,2024-11-28 12:00:00,95452.01,95688.68,95204.0,95484.01,225820,88005,137815,928.57105,88617954.1716086,433.96751,41425606.9694843,494.60354,47192347.2021243
binance,BTC-USDT,BTC,USDT,2024-11-28 13:00:00,95484.01,95777.76,95025.13,95711.25,325394,171061,154333,1160.45403,110660795.026559,619.52247,59090962.1159084,540.93156,51569832.9104526
binance,BTC-USDT,BTC,USDT,2024-11-28 14:00:00,95711.25,96221.8,95359.18,95376.04,460994,254020,206974,1807.71904,173066156.699713,906.75287,86830772.0959298,900.96617,86235384.6048208
binance,BTC-USDT,BTC,USDT,2024-11-28 15:00:00,95376.04,95508.94,94900.0,95007.14,402777,196408,206369,1651.5439,157228525.720561,809.67956,77086083.6814364,841.86434,80142442.0391701
binance,BTC-USDT,BTC,USDT,2024-11-28 16:00:00,95007.14,95308.0,94817.0,94972.0,284580,144624,139956,1029.9759,97946779.0079531,483.82186,46009581.1979628,546.15404,51937197.8099903
binance,BTC-USDT,BTC,USDT,2024-11-28 17:00:00,94972.0,95240.0,94821.77,94864.31,208544,118329,90215,1122.5994,106705912.613584,762.41778,72471651.6567483,360.18162,34234260.9567554
binance,BTC-USDT,BTC,USDT,2024-11-28 18:00:00,94864.31,95329.58,94854.16,95290.21,149334,82225,67109,811.99521,77247076.8026934,512.21319,48726899.313051,299.78202,28520177.4896424
binance,BTC-USDT,BTC,USDT,2024-11-28 19:00:00,95290.21,95435.68,95024.0,95119.48,129754,68108,61646,714.2557,67978063.5175357,330.42063,31456962.8773452,383.83507,36521100.6401905
binance,BTC-USDT,BTC,USDT,2024-11-28 20:00:00,95119.48,95131.53,94698.0,94820.01,120740,58449,62291,810.83116,76905821.2263703,487.13996,46198253.5774408,323.6912,30707567.6489295
binance,BTC-USDT,BTC,USDT,2024-11-28 21:00:00,94820.01,95164.0,94809.52,95099.99,129308,77846,51462,1023.53283,97259481.3273052,578.77879,55008092.9510122,444.75404,42251388.376293
binance,BTC-USDT,BTC,USDT,2024-11-28 22:00:00,95099.99,95651.82,95008.22,95651.79,144467,97914,46553,907.44782,86495778.8175194,624.23578,59488780.6159732,283.21204,27006998.2015462
binance,BTC-USDT,BTC,USDT,2024-11-28 23:00:00,95651.79,96023.48,95530.24,95643.98,168932,92470,76462,802.88994,76863883.7145599,451.65731,43239984.7033712,351.23263,33623899.0111887
binance,BTC-USDT,BTC,USDT,2024-11-29 00:00:00,95643.98,95825.4,95364.99,95476.01,164468,79856,84612,643.65307,61534054.196564,321.37433,30726635.202132,322.27874,30807418.994432
