market,instrument,base_asset,status
binance,MANA-USDT,MANAUSDT,ACTIVE
binance,VOXEL-USDT,VOXELUSDT,ACTIVE
binance,AUDIO-BTC,AUDIOBTC,ACTIVE
binance,JST-BTC,JSTBTC,ACTIVE
binance,MBL-USDT,MBLUSDT,ACTIVE
binance,BEL-TRY,BELTRY,ACTIVE
binance,APT-BTC,APTBTC,ACTIVE
binance,PAXG-BTC,PAXGBTC,ACTIVE
binance,ETH-BTC,ETHBTC,ACTIVE
binance,QKC-USDT,QKCUSDT,ACTIVE
binance,MOVR-TRY,MOVRTRY,ACTIVE
binance,BLUR-USDT,BLURUSDT,ACTIVE
binance,LSK-BTC,LSKBTC,ACTIVE
binance,VIC-TRY,VICTRY,ACTIVE
binance,FIL-FDUSD,FILFDUSD,ACTIVE
binance,ANKR-TRY,ANKRTRY,ACTIVE
binance,UMA-USDT,UMAUSDT,ACTIVE
binance,SEI-BNB,SEIBNB,ACTIVE
binance,XLM-USDT,XLMUSDT,ACTIVE
binance,OXT-BTC,OXTBTC,ACTIVE
binance,XVS-TRY,XVSTRY,ACTIVE
binance,SEI-USDT,SEIUSDT,ACTIVE
binance,NEO-BTC,NEOBTC,ACTIVE
binance,BCH-TRY,BCHTRY,ACTIVE
binance,SFP-BTC,SFPBTC,ACTIVE
binance,XRP-TRY,XRPTRY,ACTIVE
binance,ADA-ETH,ADAETH,ACTIVE
binance,CFX-TRY,CFXTRY,ACTIVE
binance,LOKA-USDT,LOKAUSDT,ACTIVE
binance,EDU-USDT,EDUUSDT,ACTIVE
binance,LEVER-USDT,LEVERUSDT,ACTIVE
binance,SHIB-EUR,SHIBEUR,ACTIVE
binance,BEAM-USDT,BEAMXUSDT,ACTIVE
binance,AR-BTC,ARBTC,ACTIVE
binance,AVAX-FDUSD,AVAXFDUSD,ACTIVE
binance,AST-USDT,ASTUSDT,ACTIVE
binance,FDUSD-TRY,FDUSDTRY,ACTIVE
binance,XLM-BTC,XLMBTC,ACTIVE
binance,XEC-USDT,XECUSDT,ACTIVE
binance,BSW-USDT,BSWUSDT,ACTIVE
binance,BADGER-USDT,BADGERUSDT,ACTIVE
binance,DUSK-USDT,DUSKUSDT,ACTIVE
binance,ACM-USDT,ACMUSDT,ACTIVE
binance,ARB-BTC,ARBBTC,ACTIVE
binance,GMT-USDT,GMTUSDT,ACTIVE
binance,NFP-USDT,NFPUSDT,ACTIVE
binance,POLYX-BTC,POLYXBTC,ACTIVE
binance,ADX-ETH,ADXETH,ACTIVE
binance,VIB-USDT,VIBUSDT,ACTIVE
binance,ARB-TRY,ARBTRY,ACTIVE
binance,GALA-BNB,GALABNB,ACTIVE
binance,DOGE-TUSD,DOGETUSD,ACTIVE
binance,SOL-TUSD,SOLTUSD,ACTIVE
binance,YGG-USDT,YGGUSDT,ACTIVE
binance,TIA-BTC,TIABTC,ACTIVE
binance,PROM-USDT,PROMUSDT,ACTIVE
binance,CELR-USDT,CELRUSDT,ACTIVE
binance,KAVA-USDT,KAVAUSDT,ACTIVE
binance,DYDX-FDUSD,DYDXFDUSD,ACTIVE
binance,ALPHA-BTC,ALPHABTC,ACTIVE
binance,DOT-USDC,DOTUSDC,ACTIVE
binance,DYDX-USDT,DYDXUSDT,ACTIVE
binance,SC-USDT,SCUSDT,ACTIVE
binance,PYR-USDT,PYRUSDT,ACTIVE
binance,ARDR-BTC,ARDRBTC,ACTIVE
binance,GALA-BRL,GALABRL,ACTIVE
binance,ARB-EUR,ARBEUR,ACTIVE
binance,RPL-USDT,RPLUSDT,ACTIVE
binance,LUNC-USDT,LUNCUSDT,ACTIVE
binance,WBTC-USDT,WBTCUSDT,ACTIVE
binance,LINK-TRY,LINKTRY,ACTIVE
binance,SEI-TRY,SEITRY,ACTIVE
binance,ONT-TRY,ONTTRY,ACTIVE
binance,YFI-USDT,YFIUSDT,ACTIVE
binance,CAKE-TRY,CAKETRY,ACTIVE
binance,DGB-USDT,DGBUSDT,ACTIVE
binance,LRC-ETH,LRCETH,ACTIVE
binance,USDP-USDT,USDPUSDT,ACTIVE
binance,ETH-FDUSD,ETHFDUSD,ACTIVE
binance,ACA-BTC,ACABTC,ACTIVE
binance,GAS-TRY,GASTRY,ACTIVE
binance,ETH-EUR,ETHEUR,ACTIVE
binance,HOT-USDT,HOTUSDT,ACTIVE
binance,OP-FDUSD,OPFDUSD,ACTIVE
binance,CVX-USDT,CVXUSDT,ACTIVE
binance,GRT-ETH,GRTETH,ACTIVE
binance,STEEM-BTC,STEEMBTC,ACTIVE
binance,XLM-TRY,XLMTRY,ACTIVE
binance,SSV-BTC,SSVBTC,ACTIVE
binance,BONK-USDT,BONKUSDT,ACTIVE
binance,ORDI-BTC,ORDIBTC,ACTIVE
binance,ACE-USDT,ACEUSDT,ACTIVE
binance,LPT-USDT,LPTUSDT,ACTIVE
binance,USTC-USDT,USTCUSDT,ACTIVE
binance,AMB-USDT,AMBUSDT,ACTIVE
binance,IOST-USDT,IOSTUSDT,ACTIVE
binance,ICP-BTC,ICPBTC,ACTIVE
binance,SUI-EUR,SUIEUR,ACTIVE
binance,ETH-TUSD,ETHTUSD,ACTIVE
binance,IOTX-ETH,IOTXETH,ACTIVE
binance,WBETH-ETH,WBETHETH,ACTIVE
binance,EOS-TRY,EOSTRY,ACTIVE
binance,ONT-BTC,ONTBTC,ACTIVE
binance,STG-USDT,STGUSDT,ACTIVE
binance,ACH-USDT,ACHUSDT,ACTIVE
binance,ONGAS-USDT,ONGUSDT,ACTIVE
binance,MAV-BTC,MAVBTC,ACTIVE
binance,FIDA-TRY,FIDATRY,ACTIVE
binance,GMX-USDT,GMXUSDT,ACTIVE
binance,BTC-TRY,BTCTRY,ACTIVE
binance,GAS-BTC,GASBTC,ACTIVE
