date,fee
2024-07-10,937150
2024-07-11,698714
2024-07-12,714187
2024-07-13,1162217
2024-07-14,794380
2024-07-15,863116
2024-07-16,794965
2024-07-17,901195
2024-07-18,642751
2024-07-19,816376
2024-07-20,670809
2024-07-21,705725
2024-07-22,892350
2024-07-23,745918
2024-07-24,665626
2024-07-25,704610
2024-07-26,711969
2024-07-27,688576
2024-07-28,554206
2024-07-29,727203
2024-07-30,647807
2024-07-31,682279
2024-08-01,613968
2024-08-02,552436
2024-08-03,488141
2024-08-04,421300
2024-08-05,516562
2024-08-06,448104
2024-08-07,430978
2024-08-08,567948
2024-08-09,528646
2024-08-10,393461
2024-08-11,387624
2024-08-12,497691
2024-08-13,485268
2024-08-14,466804
2024-08-15,497392
2024-08-16,518213
2024-08-17,431928
2024-08-18,434345
2024-08-19,542845
2024-08-20,570207
2024-08-21,521682
2024-08-22,6061956
2024-08-23,620868
2024-08-24,476271
2024-08-25,458385
2024-08-26,530157
2024-08-27,463153
2024-08-28,457703
2024-08-29,486405
2024-08-30,470496
2024-08-31,378397
2024-09-01,366052
2024-09-02,454974
2024-09-03,485803
2024-09-04,449699
2024-09-05,607137
2024-09-06,408872
2024-09-07,349644
2024-09-08,347377
2024-09-09,394934
2024-09-10,409196
2024-09-11,378440
2024-09-12,482791
2024-09-13,455858
2024-09-14,406386
2024-09-15,358375
2024-09-16,395230
2024-09-17,485333
2024-09-18,436163
2024-09-19,630198
2024-09-20,604515
2024-09-21,373589
2024-09-22,334981
2024-09-23,496400
2024-09-24,445035
2024-09-25,417944
2024-09-26,570559
2024-09-27,721523
2024-09-28,654144
2024-09-29,493733
2024-09-30,468099
2024-10-01,481530
2024-10-02,413123
2024-10-03,462284
2024-10-04,457174
2024-10-05,743642
2024-10-06,620999
2024-10-07,950357
2024-10-08,899805
2024-10-09,913683
2024-10-10,1531387
2024-10-11,2861721
2024-10-12,2808071
2024-10-13,1535243
2024-10-14,1711479
2024-10-15,1728178
2024-10-16,4193865
2024-10-17,3392642
2024-10-18,1692987
2024-10-19,1054038
2024-10-20,936287
2024-10-21,1218061
2024-10-22,1737022
2024-10-23,1582617
2024-10-24,3359311
2024-10-25,2303957
2024-10-26,689836
2024-10-27,559100
2024-10-28,522082
2024-10-29,838830
2024-10-30,695999
2024-10-31,4616690
2024-11-01,591443
2024-11-02,485974
2024-11-03,363243
2024-11-04,445264
2024-11-05,442417
2024-11-06,634306
2024-11-07,524020
2024-11-08,601390
2024-11-09,1045989
2024-11-10,836530
2024-11-11,1452408
2024-11-12,1727100
2024-11-13,2079290
2024-11-14,2170786
2024-11-15,3740141
2024-11-16,1612776
2024-11-17,871047
2024-11-18,1583370
2024-11-19,2344793
2024-11-20,2061828
2024-11-21,2108738
2024-11-22,1925584
2024-11-23,1309821
2024-11-24,900521
2024-11-25,1087744
2024-11-26,1587911
2024-11-27,954256
2024-11-28,1342414
2024-11-29,1272166
2024-11-30,962879
2024-12-01,2078094
2024-12-02,1752168
2024-12-03,1475448
2024-12-04,1167086
2024-12-05,1399996
2024-12-06,1399996
