date,fee
2022-11-18,281146
2022-11-19,223856
2022-11-20,532189
2022-11-21,1436751
2022-11-22,849663
2022-11-23,603531
2022-11-24,495156
2022-11-25,400102
2022-11-26,291988
2022-11-27,176909
2022-11-28,1162604
2022-11-29,698909
2022-11-30,896381
2022-12-01,388810
2022-12-02,332316
2022-12-03,420324
2022-12-04,243551
2022-12-05,458812
2022-12-06,239798
2022-12-07,415094
2022-12-08,582240
2022-12-09,434316
2022-12-10,356818
2022-12-11,284538
2022-12-12,450639
2022-12-13,1311053
2022-12-14,604463
2022-12-15,389192
2022-12-16,868797
2022-12-17,294034
2022-12-18,326852
2022-12-19,417926
2022-12-20,443294
2022-12-21,341436
2022-12-22,356411
2022-12-23,547079
2022-12-24,98249
2022-12-25,166759
2022-12-26,130637
2022-12-27,233956
2022-12-28,298390
2022-12-29,169842
2022-12-30,280003
2022-12-31,131306
2023-01-01,128436
2023-01-02,233292
2023-01-03,161343
2023-01-04,497396
2023-01-05,259781
2023-01-06,347556
2023-01-07,107781
2023-01-08,306349
2023-01-09,2353183
2023-01-10,434241
2023-01-11,639900
2023-01-12,1161220
2023-01-13,894120
2023-01-14,1183504
2023-01-15,355621
2023-01-16,491674
2023-01-17,512618
2023-01-18,945046
2023-01-19,431258
2023-01-20,653092
2023-01-21,603783
2023-01-22,539613
2023-01-23,593863
2023-01-24,778968
2023-01-25,826762
2023-01-26,752461
2023-01-27,1046210
2023-01-28,407786
2023-01-29,998240
2023-01-30,829355
2023-01-31,807459
2023-02-01,974772
2023-02-02,1301821
2023-02-03,818426
2023-02-04,785387
2023-02-05,874466
2023-02-06,884220
2023-02-07,1405707
2023-02-08,1209944
2023-02-09,1891222
2023-02-10,4874372
2023-02-11,728351
2023-02-12,808932
2023-02-13,1295881
2023-02-14,1582814
2023-02-15,1426260
2023-02-16,1881457
2023-02-17,1880794
2023-02-18,1191223
2023-02-19,1403261
2023-02-20,1676091
2023-02-21,1902136
2023-02-22,1808970
2023-02-23,1718182
2023-02-24,2130002
2023-02-25,910459
2023-02-26,877940
2023-02-27,1196617
2023-02-28,1080487
2023-03-01,1139440
2023-03-02,992502
2023-03-03,1192331
2023-03-04,616987
2023-03-05,566528
2023-03-06,765346
2023-03-07,826063
2023-03-08,804704
2023-03-09,1748296
2023-03-10,3328823
2023-03-11,2588261
2023-03-12,1793952
2023-03-13,2642689
2023-03-14,1663271
2023-03-15,1420711
2023-03-16,2397907
2023-03-17,1628008
2023-03-18,1398153
2023-03-19,1368318
2023-03-20,1350094
2023-03-21,1603291
2023-03-22,1776675
2023-03-23,5664068
2023-03-24,3350592
2023-03-25,1636536
2023-03-26,1704562
2023-03-27,1998523
2023-03-28,1538241
2023-03-29,1527205
2023-03-30,2503194
2023-03-31,1456404
2023-04-01,1003313
2023-04-02,1555835
2023-04-03,2158607
2023-04-04,1652429
2023-04-05,1809798
2023-04-06,1377393
2023-04-07,911044
2023-04-08,706945
2023-04-09,938835
2023-04-10,1400006
2023-04-11,1401502
2023-04-12,1595049
2023-04-13,1576072
2023-04-14,2444579
2023-04-15,1229890
2023-04-16,1176405
2023-04-17,1491365
2023-04-18,2141526
2023-04-19,3754428
2023-04-20,2764524
2023-04-21,1701178
2023-04-22,1242223
2023-04-23,1071053
2023-04-24,1299500
2023-04-25,1203998
2023-04-26,1994079
2023-04-27,2810935
2023-04-28,875661
2023-04-29,680029
2023-04-30,1249896
2023-05-01,1509483
2023-05-02,1142845
2023-05-03,1527868
2023-05-04,1020578
2023-05-05,1829864
2023-05-06,1794902
2023-05-07,1196625
2023-05-08,1696295
2023-05-09,1481642
2023-05-10,1796631
2023-05-11,1854440
2023-05-12,1340796
2023-05-13,706267
2023-05-14,735625
2023-05-15,987718
2023-05-16,1066795
2023-05-17,854499
2023-05-18,747328
2023-05-19,596252
2023-05-20,462648
2023-05-21,551620
2023-05-22,1023417
2023-05-23,1004413
2023-05-24,1032012
2023-05-25,1468993
2023-05-26,791774
2023-05-27,544237
2023-05-28,2855961
2023-05-29,1295174
2023-05-30,872320
2023-05-31,830839
2023-06-01,858231
2023-06-02,802482
2023-06-03,620033
2023-06-04,555719
2023-06-05,1686506
2023-06-06,1198515
2023-06-07,916355
2023-06-08,744119
2023-06-09,618901
2023-06-10,1612077
2023-06-11,684957
2023-06-12,854454
2023-06-13,804479
2023-06-14,4127223
2023-06-15,862695
2023-06-16,757458
2023-06-17,614204
2023-06-18,551141
2023-06-19,2348589
2023-06-20,1276058
2023-06-21,1773899
2023-06-22,1211716
2023-06-23,1228705
2023-06-24,735254
2023-06-25,827626
2023-06-26,1267778
2023-06-27,1048659
2023-06-28,1273441
2023-06-29,817201
2023-06-30,1790701
2023-07-01,521682
2023-07-02,754869
2023-07-03,885121
2023-07-04,663036
2023-07-05,964915
2023-07-06,1147073
2023-07-07,880933
2023-07-08,744265
2023-07-09,537545
2023-07-10,841620
2023-07-11,2039061
2023-07-12,2933722
2023-07-13,1862560
2023-07-14,1484497
2023-07-15,557039
2023-07-16,545978
2023-07-17,902556
2023-07-18,785370
2023-07-19,637297
2023-07-20,803433
2023-07-21,658381
2023-07-22,497260
2023-07-23,471543
2023-07-24,916989
2023-07-25,501690
2023-07-26,621594
2023-07-27,544440
2023-07-28,523293
2023-07-29,313003
2023-07-30,477201
2023-07-31,582960
2023-08-01,856192
2023-08-02,655253
2023-08-03,613067
2023-08-04,588864
2023-08-05,301048
2023-08-06,354095
2023-08-07,728464
2023-08-08,673311
2023-08-09,563379
2023-08-10,515876
2023-08-11,499616
2023-08-12,279051
2023-08-13,354397
2023-08-14,463529
2023-08-15,653302
2023-08-16,1000673
2023-08-17,2496979
2023-08-18,809398
2023-08-19,468746
2023-08-20,312631
2023-08-21,447387
2023-08-22,695438
2023-08-23,608357
2023-08-24,434521
2023-08-25,598397
2023-08-26,280748
2023-08-27,271045
2023-08-28,429278
2023-08-29,1161780
2023-08-30,430001
2023-08-31,722606
2023-09-01,652881
2023-09-02,238501
2023-09-03,253244
2023-09-04,314082
2023-09-05,485987
2023-09-06,464328
2023-09-07,394129
2023-09-08,328037
2023-09-09,205708
2023-09-10,406072
2023-09-11,798643
2023-09-12,503475
2023-09-13,419207
2023-09-14,431958
2023-09-15,311811
2023-09-16,259641
2023-09-17,244055
2023-09-18,461785
2023-09-19,492519
2023-09-20,575513
2023-09-21,950004
2023-09-22,359227
2023-09-23,272961
2023-09-24,237546
2023-09-25,365732
2023-09-26,357242
2023-09-27,423068
2023-09-28,598975
2023-09-29,437156
2023-09-30,369709
2023-10-01,599842
2023-10-02,837840
2023-10-03,437707
2023-10-04,496969
2023-10-05,454890
2023-10-06,448217
2023-10-07,250130
2023-10-08,296185
2023-10-09,517722
2023-10-10,561809
2023-10-11,522830
2023-10-12,437406
2023-10-13,344223
2023-10-14,195308
2023-10-15,222861
2023-10-16,914803
2023-10-17,382549
2023-10-18,493816
2023-10-19,369279
2023-10-20,752832
2023-10-21,460995
2023-10-22,1352442
2023-10-23,1757033
2023-10-24,1924413
2023-10-25,853393
2023-10-26,1145631
2023-10-27,714829
2023-10-28,382467
2023-10-29,449815
2023-10-30,677783
2023-10-31,859752
2023-11-01,1213567
2023-11-02,974911
2023-11-03,787264
2023-11-04,624201
2023-11-05,1352015
2023-11-06,945987
2023-11-07,1136403
2023-11-08,1004029
2023-11-09,2860216
2023-11-10,1204634
2023-11-11,1069780
2023-11-12,1005187
2023-11-13,1320446
2023-11-14,1437013
2023-11-15,1140195
2023-11-16,1661488
2023-11-17,1306826
2023-11-18,650084
2023-11-19,591007
2023-11-20,1030550
2023-11-21,1395057
2023-11-22,1093593
2023-11-23,810219
2023-11-24,864676
2023-11-25,782393
2023-11-26,842591
2023-11-27,1127532
2023-11-28,805775
2023-11-29,872849
2023-11-30,766346
2023-12-01,982626
2023-12-02,910959
2023-12-03,922661
2023-12-04,1918625
2023-12-05,1874966
2023-12-06,1404651
2023-12-07,1770185
2023-12-08,1353105
2023-12-09,1263591
2023-12-10,888160
2023-12-11,2611113
2023-12-12,1586607
2023-12-13,1563002
2023-12-14,1392867
2023-12-15,2731132
2023-12-16,1701793
2023-12-17,893487
2023-12-18,1652310
2023-12-19,1289537
2023-12-20,1416264
2023-12-21,1613077
2023-12-22,2057606
2023-12-23,1256216
2023-12-24,1709509
2023-12-25,936856
2023-12-26,1371412
2023-12-27,1773134
2023-12-28,2017280
2023-12-29,1479337
2023-12-30,926766
2023-12-31,1086642
2024-01-01,1234246
2024-01-02,2114319
2024-01-03,4029176
2024-01-04,2059838
2024-01-05,1966523
2024-01-06,1059106
2024-01-07,2182599
2024-01-08,2619258
2024-01-09,2250308
2024-01-10,3155578
2024-01-11,2599824
2024-01-12,2764015
2024-01-13,1148341
2024-01-14,1116984
2024-01-15,1330295
2024-01-16,1496968
2024-01-17,1405137
2024-01-18,1576516
2024-01-19,1695068
2024-01-20,889171
2024-01-21,702922
2024-01-22,1658549
2024-01-23,2077259
2024-01-24,1199898
2024-01-25,1061201
2024-01-26,1142377
2024-01-27,605810
2024-01-28,857883
2024-01-29,884944
2024-01-30,1231635
2024-01-31,1237980
2024-02-01,1106303
2024-02-02,959851
2024-02-03,710009
2024-02-04,714113
2024-02-05,850157
2024-02-06,1108134
2024-02-07,1126331
2024-02-08,1451839
2024-02-09,1728068
2024-02-10,828998
2024-02-11,1042077
2024-02-12,1567869
2024-02-13,1765219
2024-02-14,1292304
2024-02-15,1585796
2024-02-16,1743563
2024-02-17,1047433
2024-02-18,1527933
2024-02-19,1789241
2024-02-20,1910458
2024-02-21,1829144
2024-02-22,1643577
2024-02-23,1693324
2024-02-24,1249111
2024-02-25,1879272
2024-02-26,2118150
2024-02-27,2747838
2024-02-28,4318211
2024-02-29,3631085
2024-03-01,2012515
2024-03-02,1827151
2024-03-03,2195850
2024-03-04,3377893
2024-03-05,6437937
2024-03-06,3893354
2024-03-07,2945550
2024-03-08,2736232
2024-03-09,1404360
2024-03-10,2123604
2024-03-11,3036039
2024-03-12,2519044
2024-03-13,2654311
2024-03-14,2734803
2024-03-15,3394950
2024-03-16,1916812
2024-03-17,2085859
2024-03-18,1937574
2024-03-19,2760718
2024-03-20,2661361
2024-03-21,1989188
2024-03-22,1886591
2024-03-23,1204568
2024-03-24,1073566
2024-03-25,1922027
2024-03-26,2250446
2024-03-27,2154609
2024-03-28,1828854
2024-03-29,1337787
2024-03-30,1130286
2024-03-31,1337767
2024-04-01,1906101
2024-04-02,2461015
2024-04-03,1607130
2024-04-04,1423181
2024-04-05,1376423
2024-04-06,1050728
2024-04-07,1085369
2024-04-08,1964515
2024-04-09,1931977
2024-04-10,1757861
2024-04-11,1449686
2024-04-12,3158492
2024-04-13,3317290
2024-04-14,1863655
2024-04-15,1626380
2024-04-16,1427237
2024-04-17,1447369
2024-04-18,1264596
2024-04-19,1550282
2024-04-20,1259743
2024-04-21,911379
2024-04-22,1095876
2024-04-23,1027541
2024-04-24,1459210
2024-04-25,1285290
2024-04-26,1058044
2024-04-27,982806
2024-04-28,933011
2024-04-29,1235301
2024-04-30,1714817
2024-05-01,1787449
2024-05-02,1042911
2024-05-03,1107222
2024-05-04,731799
2024-05-05,755978
2024-05-06,962024
2024-05-07,828379
2024-05-08,1252507
2024-05-09,846266
2024-05-10,1071858
2024-05-11,594573
2024-05-12,564626
2024-05-13,901946
2024-05-14,862299
2024-05-15,1128303
2024-05-16,954842
2024-05-17,1032709
2024-05-18,773838
2024-05-19,801182
2024-05-20,1928738
2024-05-21,2125624
2024-05-22,1800523
2024-05-23,2653352
2024-05-24,1583975
2024-05-25,866782
2024-05-26,1115694
2024-05-27,1391979
2024-05-28,1459180
2024-05-29,1195823
2024-05-30,1205419
2024-05-31,1272113
2024-06-01,799060
2024-06-02,901252
2024-06-03,1145319
2024-06-04,1900415
2024-06-05,1221053
2024-06-06,1025143
2024-06-07,1355587
2024-06-08,998765
2024-06-09,651854
2024-06-10,912420
2024-06-11,1357460
2024-06-12,1463020
2024-06-13,1268119
2024-06-14,1266914
2024-06-15,1007791
2024-06-16,753359
2024-06-17,1088039
2024-06-18,1679995
2024-06-19,1226520
2024-06-20,1460957
2024-06-21,4802222
2024-06-22,1007577
2024-06-23,870371
2024-06-24,1644625
2024-06-25,1066443
2024-06-26,825829
2024-06-27,820319
2024-06-28,893480
2024-06-29,515262
2024-06-30,773679
2024-07-01,911221
2024-07-02,859837
2024-07-03,1395636
2024-07-04,1659569
2024-07-05,2147644
2024-07-06,1123723
2024-07-07,970856
2024-07-08,1525019
2024-07-09,1131835
2024-07-10,1093445
2024-07-11,1083384
2024-07-12,996830
2024-07-13,598973
2024-07-14,986487
2024-07-15,1256301
2024-07-16,1453493
2024-07-17,1121493
2024-07-18,1031717
2024-07-19,1728149
2024-07-20,881542
2024-07-21,1101705
2024-07-22,1372840
2024-07-23,1698440
2024-07-24,1216336
2024-07-25,1357353
2024-07-26,1083810
2024-07-27,1129526
2024-07-28,702694
2024-07-29,1246143
2024-07-30,1078554
2024-07-31,1190092
2024-08-01,1951713
2024-08-02,2027055
2024-08-03,1666979
2024-08-04,1064994
2024-08-05,3289334
2024-08-06,4188093
2024-08-07,1465535
2024-08-08,1347270
2024-08-09,857207
2024-08-10,659282
2024-08-11,764246
2024-08-12,1016559
2024-08-13,1078122
2024-08-14,802964
2024-08-15,984756
2024-08-16,862393
2024-08-17,421005
2024-08-18,742972
2024-08-19,673249
2024-08-20,619654
2024-08-21,775697
2024-08-22,564243
2024-08-23,648399
2024-08-24,705250
2024-08-25,491582
2024-08-26,669520
2024-08-27,753472
2024-08-28,1301655
2024-08-29,1317663
2024-08-30,703530
2024-08-31,422047
2024-09-01,602004
2024-09-02,922167
2024-09-03,806157
2024-09-04,726187
2024-09-05,619731
2024-09-06,922730
2024-09-07,502412
2024-09-08,755931
2024-09-09,582771
2024-09-10,434436
2024-09-11,608926
2024-09-12,481731
2024-09-13,464033
2024-09-14,383234
2024-09-15,368933
2024-09-16,501567
2024-09-17,584971
2024-09-18,522161
2024-09-19,879715
2024-09-20,707254
2024-09-21,557566
2024-09-22,641406
2024-09-23,715972
2024-09-24,715892
2024-09-25,597121
2024-09-26,690877
2024-09-27,767152
2024-09-28,594225
2024-09-29,456038
2024-09-30,672841
2024-10-01,969996
2024-10-02,819118
2024-10-03,698690
2024-10-04,545197
2024-10-05,383055
2024-10-06,372294
2024-10-07,898761
2024-10-08,668063
2024-10-09,748780
2024-10-10,657754
2024-10-11,577274
2024-10-12,415958
2024-10-13,423499
2024-10-14,840982
2024-10-15,1062371
2024-10-16,1017235
2024-10-17,1009836
2024-10-18,850336
2024-10-19,423766
2024-10-20,803673
2024-10-21,862407
2024-10-22,1537060
2024-10-23,737895
2024-10-24,744413
2024-10-25,717048
2024-10-26,570658
2024-10-27,469875
2024-10-28,791024
2024-10-29,844683
2024-10-30,817624
2024-10-31,592883
2024-11-01,855658
2024-11-02,523029
2024-11-03,769588
2024-11-04,662416
2024-11-05,914482
2024-11-06,1417781
2024-11-07,1125630
2024-11-08,942022
2024-11-09,1904064
2024-11-10,2103426
2024-11-11,2608766
2024-11-12,3720587
2024-11-13,2067981
2024-11-14,1724704
2024-11-15,1283407
2024-11-16,811181
2024-11-17,1164237
2024-11-18,1329005
2024-11-19,1265200
2024-11-20,1885792
2024-11-21,2469372
2024-11-22,2055374
2024-11-23,1410698
2024-11-24,1177747
2024-11-25,1800292
2024-11-26,1582778
2024-11-27,1453069
2024-11-28,1012237
2024-11-29,1016485
2024-11-30,1115990
2024-12-01,1192580
2024-12-02,2047376
2024-12-03,1745332
2024-12-04,2076107
2024-12-05,2327061
2024-12-06,2126670
2024-12-07,1143070
2024-12-08,1228243
2024-12-09,2621558
2024-12-10,2240749
2024-12-11,1358885
2024-12-12,1687525
2024-12-13,1164787
2024-12-14,1053177
2024-12-15,936708
2024-12-16,1028303
