date,fee
2024-07-09,117143
2024-07-10,106550
2024-07-11,114084
2024-07-12,134996
2024-07-13,122918
2024-07-14,120314
2024-07-15,164102
2024-07-16,213178
2024-07-17,183765
2024-07-18,140247
2024-07-19,178881
2024-07-20,129122
2024-07-21,300015
2024-07-22,233082
2024-07-23,217219
2024-07-24,214771
2024-07-25,189355
2024-07-26,211861
2024-07-27,184112
2024-07-28,120417
2024-07-29,190486
2024-07-30,141942
2024-07-31,179251
2024-08-01,167878
2024-08-02,212931
2024-08-03,199446
2024-08-04,210328
2024-08-05,662801
2024-08-06,198023
2024-08-07,156782
2024-08-08,154632
2024-08-09,150616
2024-08-10,118044
2024-08-11,127520
2024-08-12,165204
2024-08-13,136868
2024-08-14,147667
2024-08-15,157810
2024-08-16,129393
2024-08-17,94673
2024-08-18,113624
2024-08-19,165580
2024-08-20,163655
2024-08-21,183927
2024-08-22,206055
2024-08-23,234046
2024-08-24,229272
2024-08-25,194209
2024-08-26,181535
2024-08-27,182390
2024-08-28,185779
2024-08-29,162995
2024-08-30,208951
2024-08-31,102505
2024-09-01,153834
2024-09-02,138619
2024-09-03,142038
2024-09-04,162766
2024-09-05,134596
2024-09-06,196673
2024-09-07,118224
2024-09-08,133122
2024-09-09,146442
2024-09-10,141968
2024-09-11,147371
2024-09-12,131923
2024-09-13,144619
2024-09-14,116663
2024-09-15,137087
2024-09-16,154211
2024-09-17,149437
2024-09-18,191263
2024-09-19,153243
2024-09-20,196073
2024-09-21,164830
2024-09-22,130911
2024-09-23,147507
2024-09-24,185058
2024-09-25,179569
2024-09-26,197993
2024-09-27,193706
2024-09-28,146001
2024-09-29,160867
2024-09-30,328639
2024-10-01,391661
2024-10-02,271702
2024-10-03,274043
2024-10-04,224467
2024-10-05,155769
2024-10-06,204898
2024-10-07,297786
2024-10-08,283780
2024-10-09,262674
2024-10-10,235263
2024-10-11,253669
2024-10-12,275742
2024-10-13,256776
2024-10-14,290660
2024-10-15,387197
2024-10-16,252405
2024-10-17,229283
2024-10-18,220560
2024-10-19,208689
2024-10-20,247101
2024-10-21,283975
2024-10-22,281114
2024-10-23,272989
2024-10-24,245697
2024-10-25,329102
2024-10-26,209590
2024-10-27,165232
2024-10-28,273596
2024-10-29,283465
2024-10-30,315672
2024-10-31,225822
2024-11-01,268706
2024-11-02,168257
2024-11-03,278991
2024-11-04,293300
2024-11-05,236624
2024-11-06,391732
2024-11-07,287726
2024-11-08,403891
2024-11-09,358925
2024-11-10,591587
2024-11-11,749027
2024-11-12,933386
2024-11-13,723002
2024-11-14,432616
2024-11-15,427915
2024-11-16,539291
2024-11-17,707528
2024-11-18,633705
2024-11-19,512601
2024-11-20,506688
2024-11-21,552220
2024-11-22,835833
2024-11-23,889395
2024-11-24,642579
2024-11-25,1091517
2024-11-26,779811
2024-11-27,606656
2024-11-28,428437
2024-11-29,425857
2024-11-30,519296
2024-12-01,454194
2024-12-02,1393260
2024-12-03,1115563
2024-12-04,959441
2024-12-05,929329
