date,fee
2023-12-19,30914
2023-12-20,36512
2023-12-21,39123
2023-12-22,33490
2023-12-23,46267
2023-12-24,28756
2023-12-25,22717
2023-12-26,18564
2023-12-27,43843
2023-12-28,23332
2023-12-29,24749
2023-12-30,25138
2023-12-31,76498
2024-01-01,98131
2024-01-02,143362
2024-01-03,151075
2024-01-04,72845
2024-01-05,57066
2024-01-06,53828
2024-01-07,68371
2024-01-08,44020
2024-01-09,56691
2024-01-10,71456
2024-01-11,76381
2024-01-12,104386
2024-01-13,132065
2024-01-14,132959
2024-01-15,131539
2024-01-16,211086
2024-01-17,187125
2024-01-18,59413
2024-01-19,66690
2024-01-20,57928
2024-01-21,33509
2024-01-22,42880
2024-01-23,76808
2024-01-24,102910
2024-01-25,69288
2024-01-26,64035
2024-01-27,87729
2024-01-28,72095
2024-01-29,102304
2024-01-30,146756
2024-01-31,240785
2024-02-01,80087
2024-02-02,67690
2024-02-03,46098
2024-02-04,38591
2024-02-05,50709
2024-02-06,76229
2024-02-07,46007
2024-02-08,67811
2024-02-09,52972
2024-02-10,98349
2024-02-11,72367
2024-02-12,156565
2024-02-13,293851
2024-02-14,294485
2024-02-15,91604
2024-02-16,109160
2024-02-17,68117
2024-02-18,100770
2024-02-19,68970
2024-02-20,94160
2024-02-21,95571
2024-02-22,89108
2024-02-23,69755
2024-02-24,97298
2024-02-25,49601
2024-02-26,82253
2024-02-27,86500
2024-02-28,97775
2024-02-29,128907
2024-03-01,114135
2024-03-02,90575
2024-03-03,105308
2024-03-04,91680
2024-03-05,131348
2024-03-06,172120
2024-03-07,98451
2024-03-08,116749
2024-03-09,108844
2024-03-10,110536
2024-03-11,102139
2024-03-12,115086
2024-03-13,159389
2024-03-14,127753
2024-03-15,156679
2024-03-16,185671
2024-03-17,285561
2024-03-18,176360
2024-03-19,237220
2024-03-20,259997
2024-03-21,195652
2024-03-22,236321
2024-03-23,180054
2024-03-24,92321
2024-03-25,109857
2024-03-26,198118
2024-03-27,317493
2024-03-28,326905
2024-03-29,187480
2024-03-30,205099
2024-03-31,137564
2024-04-01,117447
2024-04-02,340951
2024-04-03,213518
2024-04-04,173169
2024-04-05,159034
2024-04-06,179101
2024-04-07,129681
2024-04-08,135662
2024-04-09,136929
2024-04-10,169102
2024-04-11,165481
2024-04-12,173614
2024-04-13,221140
2024-04-14,203766
2024-04-15,165373
2024-04-16,205154
2024-04-17,149385
2024-04-18,157297
2024-04-19,156967
2024-04-20,164714
2024-04-21,117690
2024-04-22,167219
2024-04-23,156993
2024-04-24,146741
2024-04-25,149292
2024-04-26,144876
2024-04-27,124393
2024-04-28,125625
2024-04-29,116055
2024-04-30,192952
2024-05-01,174602
2024-05-02,137239
2024-05-03,113808
2024-05-04,134716
2024-05-05,102206
2024-05-06,112648
2024-05-07,140012
2024-05-08,162126
2024-05-09,140550
2024-05-10,127091
2024-05-11,135645
2024-05-12,104536
2024-05-13,106956
2024-05-14,125187
2024-05-15,115384
2024-05-16,123946
2024-05-17,118159
2024-05-18,127145
2024-05-19,108917
2024-05-20,122541
2024-05-21,218233
2024-05-22,183543
2024-05-23,207458
2024-05-24,202759
2024-05-25,154087
2024-05-26,137275
2024-05-27,153907
2024-05-28,236200
2024-05-29,296501
2024-05-30,207381
2024-05-31,231864
2024-06-01,174745
2024-06-02,181495
2024-06-03,187249
2024-06-04,214435
2024-06-05,183072
2024-06-06,194738
2024-06-07,199103
2024-06-08,253486
2024-06-09,271650
2024-06-10,195983
2024-06-11,286898
2024-06-12,197900
2024-06-13,198631
2024-06-14,160391
2024-06-15,163149
2024-06-16,134940
2024-06-17,155741
2024-06-18,177631
2024-06-19,196909
2024-06-20,142527
2024-06-21,147699
2024-06-22,140606
2024-06-23,108596
2024-06-24,123775
2024-06-25,152621
2024-06-26,115318
2024-06-27,119634
2024-06-28,119026
2024-06-29,107402
2024-06-30,94792
2024-07-01,123162
2024-07-02,110623
2024-07-03,105790
2024-07-04,198913
2024-07-05,128155
2024-07-06,158163
2024-07-07,86699
2024-07-08,99984
2024-07-09,112571
2024-07-10,99064
2024-07-11,93917
2024-07-12,99322
2024-07-13,85267
2024-07-14,71727
2024-07-15,95583
2024-07-16,104284
2024-07-17,117036
2024-07-18,98342
2024-07-19,87518
2024-07-20,79228
2024-07-21,80861
2024-07-22,81993
2024-07-23,92963
2024-07-24,78361
2024-07-25,70325
2024-07-26,77011
2024-07-27,64740
2024-07-28,64539
2024-07-29,60354
2024-07-30,74557
2024-07-31,84586
2024-08-01,84740
2024-08-02,84162
2024-08-03,78504
2024-08-04,119291
2024-08-05,155681
2024-08-06,84145
2024-08-07,96736
2024-08-08,104713
2024-08-09,135854
2024-08-10,118592
2024-08-11,111574
2024-08-12,202736
2024-08-13,140497
2024-08-14,110077
2024-08-15,105399
2024-08-16,98248
2024-08-17,79138
2024-08-18,84763
2024-08-19,102564
2024-08-20,91333
2024-08-21,78190
2024-08-22,74722
2024-08-23,109941
2024-08-24,104659
2024-08-25,98382
2024-08-26,90450
2024-08-27,94991
2024-08-28,88039
2024-08-29,60617
2024-08-30,56326
2024-08-31,44807
2024-09-01,56182
2024-09-02,62757
2024-09-03,68199
2024-09-04,73912
2024-09-05,67556
2024-09-06,95455
2024-09-07,77818
2024-09-08,92878
2024-09-09,74542
2024-09-10,77164
2024-09-11,88953
2024-09-12,133764
2024-09-13,95751
2024-09-14,92855
2024-09-15,108437
2024-09-16,127541
2024-09-17,133818
2024-09-18,-787402
2024-09-19,184981
2024-09-20,201541
2024-09-21,133987
2024-09-22,180259
2024-09-23,202160
2024-09-24,237762
2024-09-25,191842
2024-09-26,181483
2024-09-27,173714
2024-09-28,116245
2024-09-29,214124
2024-09-30,216132
2024-10-01,346975
2024-10-02,335144
2024-10-03,386066
2024-10-04,283990
2024-10-05,166947
2024-10-06,216656
2024-10-07,350893
2024-10-08,309544
2024-10-09,308239
2024-10-10,309242
2024-10-11,285135
2024-10-12,300238
2024-10-13,321456
2024-10-14,339892
2024-10-15,361682
2024-10-16,439480
2024-10-17,312476
2024-10-18,276149
2024-10-19,231052
2024-10-20,315147
2024-10-21,331680
2024-10-22,336793
2024-10-23,266417
2024-10-24,246079
2024-10-25,210522
2024-10-26,206754
2024-10-27,180574
2024-10-28,256779
2024-10-29,313588
2024-10-30,255751
2024-10-31,253756
2024-11-01,294024
2024-11-02,190336
2024-11-03,228090
2024-11-04,252232
2024-11-05,264753
2024-11-06,378315
2024-11-07,402337
2024-11-08,395988
2024-11-09,425732
2024-11-10,748740
2024-11-11,618294
2024-11-12,588008
2024-11-13,746360
2024-11-14,623929
2024-11-15,564013
2024-11-16,513293
2024-11-17,535781
2024-11-18,440654
2024-11-19,399493
2024-11-20,529452
2024-11-21,402818
2024-11-22,382229
2024-11-23,374410
2024-11-24,409373
2024-11-25,400408
2024-11-26,529079
2024-11-27,414892
2024-11-28,329161
2024-11-29,281513
2024-11-30,266304
2024-12-01,302548
2024-12-02,379885
2024-12-03,607346
2024-12-04,112701
2024-12-05,744005
2024-12-06,540820
2024-12-07,493011
2024-12-08,460402
2024-12-09,417959
