date,fee
2022-11-11,586143
2022-11-12,348052
2022-11-13,288278
2022-11-14,432929
2022-11-15,349951
2022-11-16,290494
2022-11-17,233002
2022-11-18,183470
2022-11-19,148652
2022-11-20,245801
2022-11-21,339904
2022-11-22,342199
2022-11-23,255159
2022-11-24,196778
2022-11-25,166227
2022-11-26,172977
2022-11-27,137484
2022-11-28,198749
2022-11-29,168642
2022-11-30,309892
2022-12-01,252918
2022-12-02,190607
2022-12-03,141035
2022-12-04,136828
2022-12-05,186688
2022-12-06,159457
2022-12-07,186791
2022-12-08,178607
2022-12-09,161074
2022-12-10,99273
2022-12-11,122699
2022-12-12,188696
2022-12-13,283597
2022-12-14,210178
2022-12-15,253405
2022-12-16,279627
2022-12-17,147334
2022-12-18,113016
2022-12-19,183576
2022-12-20,165497
2022-12-21,126585
2022-12-22,153446
2022-12-23,113439
2022-12-24,83106
2022-12-25,85706
2022-12-26,103668
2022-12-27,115378
2022-12-28,122062
2022-12-29,126351
2022-12-30,130345
2022-12-31,110686
2023-01-01,82578
2023-01-02,114555
2023-01-03,116435
2023-01-04,169480
2023-01-05,96207
2023-01-06,116125
2023-01-07,76505
2023-01-08,105880
2023-01-09,188194
2023-01-10,125352
2023-01-11,158424
2023-01-12,272195
2023-01-13,185481
2023-01-14,407392
2023-01-15,210457
2023-01-16,303016
2023-01-17,188904
2023-01-18,275511
2023-01-19,171603
2023-01-20,230838
2023-01-21,251140
2023-01-22,213728
2023-01-23,198189
2023-01-24,233770
2023-01-25,277063
2023-01-26,314424
2023-01-27,332288
2023-01-28,219901
2023-01-29,230363
2023-01-30,268162
2023-01-31,192227
2023-02-01,301020
2023-02-02,354240
2023-02-03,262878
2023-02-04,221321
2023-02-05,226531
2023-02-06,236718
2023-02-07,287153
2023-02-08,350481
2023-02-09,538255
2023-02-10,397987
2023-02-11,247519
2023-02-12,229471
2023-02-13,313800
2023-02-14,365881
2023-02-15,311962
2023-02-16,544806
2023-02-17,586925
2023-02-18,285440
2023-02-19,344544
2023-02-20,321971
2023-02-21,268241
2023-02-22,422146
2023-02-23,408165
2023-02-24,376579
2023-02-25,267069
2023-02-26,255033
2023-02-27,290233
2023-02-28,335723
2023-03-01,374279
2023-03-02,261478
2023-03-03,364507
2023-03-04,191948
2023-03-05,179404
2023-03-06,209823
2023-03-07,308634
2023-03-08,279565
2023-03-09,370959
2023-03-10,517610
2023-03-11,955393
2023-03-12,394579
2023-03-13,509654
2023-03-14,537938
2023-03-15,436922
2023-03-16,269949
2023-03-17,390507
2023-03-18,348832
2023-03-19,300492
2023-03-20,347950
2023-03-21,376595
2023-03-22,405636
2023-03-23,268615
2023-03-24,328470
2023-03-25,189751
2023-03-26,223980
2023-03-27,319444
2023-03-28,363622
2023-03-29,308772
2023-03-30,286290
2023-03-31,239468
2023-04-01,157681
2023-04-02,175025
2023-04-03,263314
2023-04-04,232896
2023-04-05,248743
2023-04-06,205663
2023-04-07,181051
2023-04-08,162935
2023-04-09,168764
2023-04-10,222441
