date,price
2024-08-09,156.28
2024-08-10,154.03
2024-08-11,141.52
2024-08-12,146.32
2024-08-13,146.62
2024-08-14,143.73
2024-08-15,142.58
2024-08-16,139.04
2024-08-17,141.9
2024-08-18,142.4
2024-08-19,144.23
2024-08-20,142.29
2024-08-21,142.8
2024-08-22,143.26
2024-08-23,153.28
2024-08-24,160.64
2024-08-25,158.93
2024-08-26,157.11
2024-08-27,146.81
2024-08-28,143.93
2024-08-29,140.02
2024-08-30,137.99
2024-08-31,135.35
2024-09-01,128.45
2024-09-02,134.89
2024-09-03,127.54
2024-09-04,133.61
2024-09-05,129.4
2024-09-06,125
2024-09-07,127.71
2024-09-08,130.15
2024-09-09,135.04
2024-09-10,135.62
2024-09-11,132.4
2024-09-12,136.05
2024-09-13,138.98
2024-09-14,137.15
2024-09-15,131.36
2024-09-16,131.46
2024-09-17,131.52
2024-09-18,134.33
2024-09-19,142.88
2024-09-20,146.7
2024-09-21,149.48
2024-09-22,144.67
2024-09-23,144.8
2024-09-24,152.75
2024-09-25,147.96
2024-09-26,155.53
2024-09-27,157.67
2024-09-28,156.78
2024-09-29,158.47
2024-09-30,152.51
2024-10-01,145.16
2024-10-02,140.19
2024-10-03,136.77
2024-10-04,143.21
2024-10-05,142.61
2024-10-06,146.47
2024-10-07,143.96
2024-10-08,143.49
2024-10-09,139.33
2024-10-10,139.02
2024-10-11,145.55
2024-10-12,146.41
2024-10-13,147.73
2024-10-14,157.58
2024-10-15,154.75
2024-10-16,154.26
2024-10-17,150.51
2024-10-18,154.93
2024-10-19,159.85
2024-10-20,167.48
2024-10-21,166.19
2024-10-22,167.63
2024-10-23,170.87
2024-10-24,177.18
2024-10-25,164.84
2024-10-26,170.88
2024-10-27,176.6
2024-10-28,178.28
2024-10-29,179.44
2024-10-30,174.88
2024-10-31,168.68
2024-11-01,166.11
2024-11-02,166.13
2024-11-03,162.5
2024-11-04,157.94
2024-11-05,166.62
2024-11-06,186.55
2024-11-07,196.39
2024-11-08,199.87
2024-11-09,199.96
2024-11-10,210.1
2024-11-11,222.2
2024-11-12,211.68
2024-11-13,215.13
2024-11-14,209.59
2024-11-15,218.57
2024-11-16,215.79
2024-11-17,237.46
2024-11-18,239.82
2024-11-19,237.62
2024-11-20,235.51
2024-11-21,256.48
2024-11-22,256.98
2024-11-23,254.91
2024-11-24,252.79
2024-11-25,234.22
2024-11-26,230.72
2024-11-27,242.01
2024-11-28,237.59
2024-11-29,243.33
2024-11-30,237.65
2024-12-01,236.95
2024-12-02,225.86
2024-12-03,234.05
2024-12-04,229.27
2024-12-05,235.94
2024-12-06,238.61
