date,price
2024-07-13,0.13936
2024-07-14,0.13757
2024-07-15,0.13736
2024-07-16,0.1339
2024-07-17,0.13352
2024-07-18,0.13451
2024-07-19,0.13466
2024-07-20,0.13467
2024-07-21,0.13424
2024-07-22,0.13229
2024-07-23,0.13412
2024-07-24,0.13428
2024-07-25,0.13556
2024-07-26,0.13746
2024-07-27,0.13718
2024-07-28,0.13856
2024-07-29,0.13747
2024-07-30,0.13301
2024-07-31,0.12868
2024-08-01,0.1283
2024-08-02,0.12363
2024-08-03,0.12543
2024-08-04,0.12628
2024-08-05,0.12152
2024-08-06,0.12343
2024-08-07,0.12471
2024-08-08,0.12709
2024-08-09,0.12832
2024-08-10,0.129
2024-08-11,0.12759
2024-08-12,0.12645
2024-08-13,0.12874
2024-08-14,0.13046
2024-08-15,0.13018
2024-08-16,0.13413
2024-08-17,0.1348
2024-08-18,0.13511
2024-08-19,0.14323
2024-08-20,0.16151
2024-08-21,0.15391
2024-08-22,0.15547
2024-08-23,0.15836
2024-08-24,0.15885
2024-08-25,0.16635
2024-08-26,0.16149
2024-08-27,0.15797
2024-08-28,0.15828
2024-08-29,0.15995
2024-08-30,0.16005
2024-08-31,0.15763
2024-09-01,0.15561
2024-09-02,0.15423
2024-09-03,0.1502
2024-09-04,0.15
2024-09-05,0.14978
2024-09-06,0.14798
2024-09-07,0.15165
2024-09-08,0.15319
2024-09-09,0.15459
2024-09-10,0.15301
2024-09-11,0.15339
2024-09-12,0.15192
2024-09-13,0.14888
2024-09-14,0.14751
2024-09-15,0.1489
2024-09-16,0.14893
2024-09-17,0.15001
2024-09-18,0.14953
2024-09-19,0.15154
2024-09-20,0.15203
2024-09-21,0.15198
2024-09-22,0.15178
2024-09-23,0.15235
2024-09-24,0.15123
2024-09-25,0.14998
2024-09-26,0.1531
2024-09-27,0.1551
2024-09-28,0.15508
2024-09-29,0.15637
2024-09-30,0.15591
2024-10-01,0.15352
2024-10-02,0.15452
2024-10-03,0.15771
2024-10-04,0.15645
2024-10-05,0.1535
2024-10-06,0.15432
2024-10-07,0.15583
2024-10-08,0.16001
2024-10-09,0.16055
2024-10-10,0.15879
2024-10-11,0.15978
2024-10-12,0.1625
2024-10-13,0.1626
2024-10-14,0.16054
2024-10-15,0.15884
2024-10-16,0.16007
2024-10-17,0.15943
2024-10-18,0.15843
2024-10-19,0.15671
2024-10-20,0.15676
2024-10-21,0.15835
2024-10-22,0.1603
2024-10-23,0.16038
2024-10-24,0.1646
2024-10-25,0.16254
2024-10-26,0.16513
2024-10-27,0.16396
2024-10-28,0.16419
2024-10-29,0.1664
2024-10-30,0.16924
2024-10-31,0.16854
2024-11-01,0.16743
2024-11-02,0.16613
2024-11-03,0.16511
2024-11-04,0.1629
2024-11-05,0.16001
2024-11-06,0.16251
2024-11-07,0.16013
2024-11-08,0.16098
2024-11-09,0.16211
2024-11-10,0.16404
2024-11-11,0.16795
2024-11-12,0.18742
2024-11-13,0.17703
2024-11-14,0.17647
2024-11-15,0.19124
2024-11-16,0.20017
2024-11-17,0.19954
2024-11-18,0.2021
2024-11-19,0.19953
2024-11-20,0.19462
2024-11-21,0.19868
2024-11-22,0.20481
2024-11-23,0.21201
2024-11-24,0.20861
2024-11-25,0.19592
2024-11-26,0.19443
2024-11-27,0.20105
2024-11-28,0.20329
2024-11-29,0.20442
2024-11-30,0.2048
2024-12-01,0.20725
2024-12-02,0.22113
2024-12-03,0.43345
2024-12-04,0.33061
2024-12-05,0.32245
2024-12-06,0.32563
2024-12-07,0.31885
2024-12-08,0.31849
2024-12-09,0.29811
