date,price
2022-12-23,245.91
2022-12-24,244.54
2022-12-25,243.26
2022-12-26,244.24
2022-12-27,246.42
2022-12-28,244.5
2022-12-29,246.3
2022-12-30,245.72
2022-12-31,245.99
2023-01-01,244.34
2023-01-02,245.29
2023-01-03,246.01
2023-01-04,258.52
2023-01-05,256.59
2023-01-06,259.71
2023-01-07,261.06
2023-01-08,275
2023-01-09,272.58
2023-01-10,276.9
2023-01-11,284.79
2023-01-12,287.53
2023-01-13,293.7
2023-01-14,305.25
2023-01-15,302.08
2023-01-16,299.19
2023-01-17,299.26
2023-01-18,286.69
2023-01-19,294.44
2023-01-20,305.16
2023-01-21,298.87
2023-01-22,302.99
2023-01-23,305.11
2023-01-24,300.31
2023-01-25,306.84
2023-01-26,304.73
2023-01-27,308.06
2023-01-28,306.1
2023-01-29,317.17
2023-01-30,307.18
2023-01-31,312.08
2023-02-01,317.26
2023-02-02,323.6
2023-02-03,332.29
2023-02-04,330.26
2023-02-05,327.64
2023-02-06,324.33
2023-02-07,333
2023-02-08,328.17
2023-02-09,305.8
2023-02-10,305.56
2023-02-11,310.42
2023-02-12,312.43
2023-02-13,294.28
2023-02-14,296.05
2023-02-15,317.57
2023-02-16,304.07
2023-02-17,313.02
2023-02-18,316.26
2023-02-19,311.3
2023-02-20,315.39
2023-02-21,311.55
2023-02-22,312.56
2023-02-23,308.28
2023-02-24,302.18
2023-02-25,302.28
2023-02-26,308.74
2023-02-27,304.55
2023-02-28,301.33
2023-03-01,302.72
2023-03-02,299.95
2023-03-03,290.33
2023-03-04,289.58
2023-03-05,288.92
2023-03-06,287.68
2023-03-07,289.36
2023-03-08,286.99
2023-03-09,277
2023-03-10,277.26
2023-03-11,275.94
2023-03-12,288.12
2023-03-13,307.8
2023-03-14,308.44
2023-03-15,306.32
2023-03-16,328.87
2023-03-17,338.75
2023-03-18,330.72
2023-03-19,335.8
2023-03-20,332.17
2023-03-21,334.48
2023-03-22,321.57
2023-03-23,329.01
2023-03-24,322.1
2023-03-25,322.09
2023-03-26,328.76
2023-03-27,310.29
2023-03-28,313.4
2023-03-29,313.87
2023-03-30,316.25
2023-03-31,316.57
2023-04-01,314.77
2023-04-02,313.55
2023-04-03,308.66
2023-04-04,310.75
2023-04-05,313.92
2023-04-06,312.07
2023-04-07,310.23
2023-04-08,310.47
2023-04-09,312.74
2023-04-10,318.52
2023-04-11,322.39
2023-04-12,319.81
2023-04-13,324.67
2023-04-14,328.9
2023-04-15,333.04
2023-04-16,347.72
2023-04-17,339.83
2023-04-18,342.93
2023-04-19,322.36
2023-04-20,318.05
2023-04-21,321.25
2023-04-22,331.69
2023-04-23,330.66
2023-04-24,330.58
2023-04-25,338.19
2023-04-26,330.25
2023-04-27,330.46
2023-04-28,323.69
2023-04-29,322.05
2023-04-30,336.46
2023-05-01,328.18
2023-05-02,321.89
2023-05-03,325.78
2023-05-04,323.87
2023-05-05,326.47
2023-05-06,321.91
2023-05-07,321.04
2023-05-08,313.75
2023-05-09,312.16
2023-05-10,314.44
2023-05-11,307.42
2023-05-12,308.55
2023-05-13,310.76
2023-05-14,311.99
2023-05-15,313.35
2023-05-16,311.23
2023-05-17,314.24
2023-05-18,309.19
2023-05-19,308.84
2023-05-20,310.7
2023-05-21,306.38
2023-05-22,309.08
2023-05-23,313.42
2023-05-24,305.84
2023-05-25,304.7
2023-05-26,306.88
2023-05-27,307.51
2023-05-28,314.24
2023-05-29,311.74
2023-05-30,311.33
2023-05-31,306.75
2023-06-01,305.09
2023-06-02,307.3
2023-06-03,306.53
2023-06-04,305.15
2023-06-05,276.91
2023-06-06,281.12
2023-06-07,259.21
2023-06-08,261.89
2023-06-09,260.69
2023-06-10,238.72
2023-06-11,235.17
2023-06-12,231.22
2023-06-13,244.2
2023-06-14,237.79
2023-06-15,236.35
2023-06-16,239.29
2023-06-17,244.43
2023-06-18,244.15
2023-06-19,243.1
2023-06-20,247.85
2023-06-21,248.78
2023-06-22,240.79
2023-06-23,244.44
2023-06-24,236.24
2023-06-25,238.86
2023-06-26,236
2023-06-27,237.41
2023-06-28,230.54
2023-06-29,233.13
2023-06-30,240.44
2023-07-01,247.86
2023-07-02,246.56
2023-07-03,246.52
2023-07-04,242.47
2023-07-05,238.88
2023-07-06,231.8
2023-07-07,235.5
2023-07-08,236.26
2023-07-09,233.99
2023-07-10,246.06
2023-07-11,248.4
2023-07-12,243.66
2023-07-13,256.27
2023-07-14,247.73
2023-07-15,251
2023-07-16,241.75
2023-07-17,244.35
2023-07-18,240.42
2023-07-19,240.94
2023-07-20,242.89
2023-07-21,243.74
2023-07-22,241.1
2023-07-23,242.41
2023-07-24,238.94
2023-07-25,237.73
2023-07-26,238.97
2023-07-27,240.71
2023-07-28,241.81
2023-07-29,242.46
2023-07-30,242.61
2023-07-31,240.99
2023-08-01,247.74
2023-08-02,240.51
2023-08-03,240.9
2023-08-04,241.68
2023-08-05,243.22
2023-08-06,243.13
2023-08-07,242.02
2023-08-08,245.15
2023-08-09,243.89
2023-08-10,241.38
2023-08-11,239.87
2023-08-12,240.28
2023-08-13,239.99
2023-08-14,240.42
2023-08-15,236.67
2023-08-16,232.14
2023-08-17,217.73
2023-08-18,216.03
2023-08-19,216.92
2023-08-20,216.51
2023-08-21,210.47
2023-08-22,210.94
2023-08-23,216.52
2023-08-24,219.11
2023-08-25,218.44
2023-08-26,216.41
2023-08-27,218.38
2023-08-28,218.77
2023-08-29,226.87
2023-08-30,223.82
