date,price
2024-08-09,60842
2024-08-10,60919.5
2024-08-11,58727.7
2024-08-12,59348.6
2024-08-13,60591.9
2024-08-14,58685.2
2024-08-15,57528
2024-08-16,58892.2
2024-08-17,59499
2024-08-18,58435.8
2024-08-19,59433
2024-08-20,59007.9
2024-08-21,61158.7
2024-08-22,60380
2024-08-23,64050
2024-08-24,64160.9
2024-08-25,64222
2024-08-26,62840.1
2024-08-27,59405.3
2024-08-28,59040.2
2024-08-29,59350.1
2024-08-30,59127.3
2024-08-31,58977.2
2024-09-01,57290.8
2024-09-02,59146.9
2024-09-03,57486.1
2024-09-04,57974
2024-09-05,56180
2024-09-06,53956.4
2024-09-07,54161.9
2024-09-08,54879.7
2024-09-09,57035.2
2024-09-10,57644.6
2024-09-11,57342.8
2024-09-12,58127.9
2024-09-13,60495.9
2024-09-14,59992.8
2024-09-15,59130
2024-09-16,58210.5
2024-09-17,60318.4
2024-09-18,61767.8
2024-09-19,62967.6
2024-09-20,63208.1
2024-09-21,63349.9
2024-09-22,63589.1
2024-09-23,63345.2
2024-09-24,64278.1
2024-09-25,63160.1
2024-09-26,65166.1
2024-09-27,65779.3
2024-09-28,65857.2
2024-09-29,65604.2
2024-09-30,63330.5
2024-10-01,60814.3
2024-10-02,60650.1
2024-10-03,60758
2024-10-04,62093.8
2024-10-05,62066.1
2024-10-06,62825.5
2024-10-07,62221.3
2024-10-08,62156.8
2024-10-09,60646.9
2024-10-10,60317.3
2024-10-11,62539.3
2024-10-12,63210.3
2024-10-13,62877.9
2024-10-14,66097.9
2024-10-15,67083
2024-10-16,67621.8
2024-10-17,67439.3
2024-10-18,68437.2
2024-10-19,68377.1
2024-10-20,69050.1
2024-10-21,67378.7
2024-10-22,67426.2
2024-10-23,66662.1
2024-10-24,68202.6
2024-10-25,66695
2024-10-26,67100
2024-10-27,68028.2
2024-10-28,69971.9
2024-10-29,72751.3
2024-10-30,72343.2
2024-10-31,70304.3
2024-11-01,69496.8
2024-11-02,69382.9
2024-11-03,68776.9
2024-11-04,67858.8
2024-11-05,69381.9
2024-11-06,75598.2
2024-11-07,75856
2024-11-08,76501.6
2024-11-09,76688
2024-11-10,80379.4
2024-11-11,88700.1
2024-11-12,87948.8
2024-11-13,90383.8
2024-11-14,87349.4
2024-11-15,91050
2024-11-16,90575.4
2024-11-17,89860
2024-11-18,90472.9
2024-11-19,92302.1
2024-11-20,94299
2024-11-21,98338.5
2024-11-22,98899.5
2024-11-23,97692.1
2024-11-24,97909
2024-11-25,93034.1
2024-11-26,91976.1
2024-11-27,95868
2024-11-28,95659.2
2024-11-29,97465.9
2024-11-30,96430
2024-12-01,97197.4
2024-12-02,95833.2
2024-12-03,95860.2
2024-12-04,98628.2
2024-12-05,96931.8
2024-12-06,97911.7
