date,price
2024-08-09,0.5772
2024-08-10,0.5773
2024-08-11,0.5523
2024-08-12,0.5891
2024-08-13,0.5787
2024-08-14,0.5617
2024-08-15,0.536
2024-08-16,0.5336
2024-08-17,0.5402
2024-08-18,0.5367
2024-08-19,0.5405
2024-08-20,0.5354
2024-08-21,0.5529
2024-08-22,0.5618
2024-08-23,0.6028
2024-08-24,0.6217
2024-08-25,0.5976
2024-08-26,0.5711
2024-08-27,0.5252
2024-08-28,0.5218
2024-08-29,0.5129
2024-08-30,0.5138
2024-08-31,0.514
2024-09-01,0.4899
2024-09-02,0.5165
2024-09-03,0.4943
2024-09-04,0.4971
2024-09-05,0.4972
2024-09-06,0.4808
2024-09-07,0.5012
2024-09-08,0.5087
2024-09-09,0.524
2024-09-10,0.5336
2024-09-11,0.5144
2024-09-12,0.5249
2024-09-13,0.537
2024-09-14,0.5308
2024-09-15,0.511
2024-09-16,0.5104
2024-09-17,0.5221
2024-09-18,0.529
2024-09-19,0.5575
2024-09-20,0.5774
2024-09-21,0.6157
2024-09-22,0.5997
2024-09-23,0.5988
2024-09-24,0.6141
2024-09-25,0.5987
2024-09-26,0.6199
2024-09-27,0.6678
2024-09-28,0.6473
2024-09-29,0.6455
2024-09-30,0.6042
2024-10-01,0.5505
2024-10-02,0.5317
2024-10-03,0.5337
2024-10-04,0.5652
2024-10-05,0.5502
2024-10-06,0.5596
2024-10-07,0.5492
2024-10-08,0.5405
2024-10-09,0.5215
2024-10-10,0.5256
2024-10-11,0.5342
2024-10-12,0.5378
2024-10-13,0.5295
2024-10-14,0.5649
2024-10-15,0.568
2024-10-16,0.5573
2024-10-17,0.5469
2024-10-18,0.5637
2024-10-19,0.5661
2024-10-20,0.6129
2024-10-21,0.588
2024-10-22,0.58
2024-10-23,0.5596
2024-10-24,0.5611
2024-10-25,0.5069
2024-10-26,0.5143
2024-10-27,0.5197
2024-10-28,0.5226
2024-10-29,0.5475
2024-10-30,0.5572
2024-10-31,0.5269
2024-11-01,0.5196
2024-11-02,0.5044
2024-11-03,0.4821
2024-11-04,0.4732
2024-11-05,0.4905
2024-11-06,0.5487
2024-11-07,0.5807
2024-11-08,0.5916
2024-11-09,0.6197
2024-11-10,0.629
2024-11-11,0.6716
2024-11-12,0.63
2024-11-13,0.6121
2024-11-14,0.5801
2024-11-15,0.6067
2024-11-16,0.7251
2024-11-17,0.674
2024-11-18,0.7388
2024-11-19,0.6921
2024-11-20,0.6718
2024-11-21,0.7788
2024-11-22,0.8093
2024-11-23,0.8553
2024-11-24,0.8627
2024-11-25,0.9054
2024-11-26,0.8702
2024-11-27,0.968
2024-11-28,0.9135
2024-11-29,0.9302
2024-11-30,0.9712
2024-12-01,0.9695
2024-12-02,1.027
2024-12-03,1.0452
2024-12-04,1.136
2024-12-05,1.1014
2024-12-06,1.1584
