date,price
2024-08-08,22.738
2024-08-09,21.744
2024-08-10,21.581
2024-08-11,20.403
2024-08-12,21.259
2024-08-13,21.38
2024-08-14,20.954
2024-08-15,20.126
2024-08-16,20.367
2024-08-17,20.704
2024-08-18,20.817
2024-08-19,21.207
2024-08-20,22.261
2024-08-21,23.53
2024-08-22,25.207
2024-08-23,26.501
2024-08-24,27.115
2024-08-25,26.913
2024-08-26,25.939
2024-08-27,24.088
2024-08-28,23.447
2024-08-29,22.894
2024-08-30,23.284
2024-08-31,22.803
2024-09-01,21.408
2024-09-02,22.358
2024-09-03,21.38
2024-09-04,21.904
2024-09-05,21.368
2024-09-06,21.154
2024-09-07,21.79
2024-09-08,23.24
2024-09-09,23.838
2024-09-10,24.346
2024-09-11,23.279
2024-09-12,24.018
2024-09-13,24.908
2024-09-14,25.328
2024-09-15,23.785
2024-09-16,23.511
2024-09-17,23.776
2024-09-18,24.708
2024-09-19,26.664
2024-09-20,27.669
2024-09-21,27.783
2024-09-22,27.294
2024-09-23,27.392
2024-09-24,28.476
2024-09-25,27.284
2024-09-26,29.151
2024-09-27,30.435
2024-09-28,29.289
2024-09-29,29.039
2024-09-30,27.712
2024-10-01,25.818
2024-10-02,25.334
2024-10-03,24.65
2024-10-04,26.266
2024-10-05,25.662
2024-10-06,26.936
2024-10-07,26.557
2024-10-08,26.347
2024-10-09,25.774
2024-10-10,25.858
2024-10-11,27.46
2024-10-12,28.631
2024-10-13,29.061
2024-10-14,29.061
2024-10-15,28.214
2024-10-16,28.024
2024-10-17,27.299
2024-10-18,28.093
2024-10-19,28.106
2024-10-20,28.971
2024-10-21,27.753
2024-10-22,27.643
2024-10-23,26.758
2024-10-24,26.837
2024-10-25,24.926
2024-10-26,25.399
2024-10-27,25.76
2024-10-28,26.263
2024-10-29,26.876
2024-10-30,26.17
2024-10-31,25.014
2024-11-01,24.787
2024-11-02,24.117
2024-11-03,23.536
2024-11-04,22.728
2024-11-05,23.99
2024-11-06,27.018
2024-11-07,27.386
2024-11-08,28.784
2024-11-09,30.378
2024-11-10,31.894
2024-11-11,35.719
2024-11-12,33.952
2024-11-13,33.114
2024-11-14,31.201
2024-11-15,33.123
2024-11-16,35.147
2024-11-17,34.72
2024-11-18,35.48
2024-11-19,34.216
2024-11-20,33.589
2024-11-21,35.852
2024-11-22,43.19
2024-11-23,41.441
2024-11-24,42.056
2024-11-25,41.316
2024-11-26,42.716
2024-11-27,43.783
2024-11-28,42.777
2024-11-29,44.872
2024-11-30,44.81
2024-12-01,45.109
2024-12-02,52.261
2024-12-03,50.901
2024-12-04,52.785
2024-12-05,52.041
