date,price
2024-08-09,0.8558
2024-08-10,0.9194
2024-08-11,0.8738
2024-08-12,1.0148
2024-08-13,0.9554
2024-08-14,0.9339
2024-08-15,0.845
2024-08-16,0.8117
2024-08-17,0.8281
2024-08-18,0.8242
2024-08-19,0.9012
2024-08-20,0.8708
2024-08-21,0.8494
2024-08-22,0.8522
2024-08-23,1.0156
2024-08-24,1.0184
2024-08-25,0.9988
2024-08-26,0.9263
2024-08-27,0.8475
2024-08-28,0.8096
2024-08-29,0.8032
2024-08-30,0.8318
2024-08-31,0.7961
2024-09-01,0.7606
2024-09-02,0.7869
2024-09-03,0.7855
2024-09-04,0.8089
2024-09-05,0.7971
2024-09-06,0.8375
2024-09-07,0.8911
2024-09-08,0.9392
2024-09-09,0.9581
2024-09-10,0.9178
2024-09-11,0.9305
2024-09-12,1.0392
2024-09-13,1.0278
2024-09-14,1.0446
2024-09-15,1.0787
2024-09-16,1.0419
2024-09-17,1.1691
2024-09-18,1.314
2024-09-19,1.3792
2024-09-20,1.4696
2024-09-21,1.4817
2024-09-22,1.5845
2024-09-23,1.5352
2024-09-24,1.7423
2024-09-25,1.6985
2024-09-26,1.6408
2024-09-27,1.6574
2024-09-28,1.6868
2024-09-29,1.7588
2024-09-30,1.7741
2024-10-01,1.7573
2024-10-02,1.855
2024-10-03,1.6625
2024-10-04,1.7727
2024-10-05,1.7543
2024-10-06,1.8407
2024-10-07,2.018
2024-10-08,1.9866
2024-10-09,1.875
2024-10-10,1.8342
2024-10-11,2.0542
2024-10-12,2.2418
2024-10-13,2.3442
2024-10-14,2.2503
2024-10-15,2.0592
2024-10-16,2.0826
2024-10-17,2.0253
2024-10-18,2.1248
2024-10-19,2.0631
2024-10-20,2.128
2024-10-21,2.01
2024-10-22,1.9393
2024-10-23,1.9773
2024-10-24,1.937
2024-10-25,1.7505
2024-10-26,1.7949
2024-10-27,1.7562
2024-10-28,1.7725
2024-10-29,2.071
2024-10-30,2.0829
2024-10-31,1.9717
2024-11-01,1.9895
2024-11-02,1.908
2024-11-03,1.9462
2024-11-04,1.8494
2024-11-05,2.009
2024-11-06,2.3034
2024-11-07,2.3188
2024-11-08,2.2886
2024-11-09,2.7482
2024-11-10,3.0352
2024-11-11,3.2764
2024-11-12,3.2154
2024-11-13,3.3043
2024-11-14,3.3534
2024-11-15,3.6111
2024-11-16,3.7614
2024-11-17,3.7843
2024-11-18,3.7012
2024-11-19,3.7232
2024-11-20,3.5254
2024-11-21,3.6267
2024-11-22,3.5656
2024-11-23,3.4373
2024-11-24,3.3963
2024-11-25,3.1927
2024-11-26,3.4946
2024-11-27,3.4345
2024-11-28,3.4437
2024-11-29,3.4867
2024-11-30,3.4763
2024-12-01,3.4793
2024-12-02,3.3908
2024-12-03,3.697
2024-12-04,3.6752
2024-12-05,4.2279
2024-12-06,4.3575
