date,price
2024-08-08,5.7639
2024-08-09,5.746
2024-08-10,6.2736
2024-08-11,5.7263
2024-08-12,6.4372
2024-08-13,6.795
2024-08-14,6.6847
2024-08-15,6.2299
2024-08-16,5.9155
2024-08-17,5.8216
2024-08-18,5.7832
2024-08-19,6.0465
2024-08-20,6.0565
2024-08-21,6.3568
2024-08-22,6.5056
2024-08-23,7.0969
2024-08-24,7.155
2024-08-25,7.3357
2024-08-26,7.0128
2024-08-27,6.8352
2024-08-28,6.7373
2024-08-29,6.7943
2024-08-30,6.7139
2024-08-31,6.4884
2024-09-01,6.1645
2024-09-02,6.3584
2024-09-03,6.132
2024-09-04,6.1215
2024-09-05,5.7743
2024-09-06,5.7066
2024-09-07,5.8533
2024-09-08,6.0391
2024-09-09,6.3014
2024-09-10,6.2736
2024-09-11,6.0923
2024-09-12,6.1764
2024-09-13,6.3064
2024-09-14,6.0626
2024-09-15,5.8739
2024-09-16,5.7437
2024-09-17,5.9386
2024-09-18,6.2287
2024-09-19,6.8086
2024-09-20,7.3088
2024-09-21,8.2437
2024-09-22,7.965
2024-09-23,7.9562
2024-09-24,8.1568
2024-09-25,8.0139
2024-09-26,8.0675
2024-09-27,8.5035
2024-09-28,8.0647
2024-09-29,8.077
2024-09-30,7.6684
2024-10-01,7.5503
2024-10-02,7.7863
2024-10-03,8.5614
2024-10-04,9.0917
2024-10-05,8.6061
2024-10-06,8.7025
2024-10-07,8.6749
2024-10-08,9.3329
2024-10-09,8.5596
2024-10-10,8.1052
2024-10-11,8.5146
2024-10-12,9.9298
2024-10-13,10.1848
2024-10-14,10.1757
2024-10-15,10.4603
2024-10-16,10.0316
2024-10-17,9.9368
2024-10-18,10.0172
2024-10-19,9.7189
2024-10-20,9.993
2024-10-21,10.1017
2024-10-22,10.3972
2024-10-23,9.9295
2024-10-24,10.1856
2024-10-25,8.9432
2024-10-26,9.3079
2024-10-27,9.2005
2024-10-28,9.216
2024-10-29,10.0446
2024-10-30,9.7934
2024-10-31,9.0919
2024-11-01,8.9335
2024-11-02,8.6325
2024-11-03,8.1949
2024-11-04,8.0599
2024-11-05,8.4646
2024-11-06,9.5696
2024-11-07,9.8224
2024-11-08,9.7206
2024-11-09,10.4343
2024-11-10,10.9061
2024-11-11,13.7662
2024-11-12,12.359
2024-11-13,11.7214
2024-11-14,11.2369
2024-11-15,11.8776
2024-11-16,12.3102
2024-11-17,11.7822
2024-11-18,12.0473
2024-11-19,11.8059
2024-11-20,11.7858
2024-11-21,12.0697
2024-11-22,12.4793
2024-11-23,12.7417
2024-11-24,12.5179
2024-11-25,11.826
2024-11-26,11.9937
2024-11-27,12.6602
2024-11-28,12.7794
2024-11-29,13.286
2024-11-30,13.3884
2024-12-01,13.4582
2024-12-02,13.728
2024-12-03,14.5099
2024-12-04,14.1385
2024-12-05,13.8685
