date,price
2024-09-24,323874.997
2024-09-25,659810.97
2024-09-26,898956.576
2024-09-27,956312.837
2024-09-28,989505.76
2024-09-29,1070179.329
2024-09-30,1088017.92
2024-10-01,1245311.008
2024-10-02,1146698.052
2024-10-03,1193901.568
2024-10-04,1222349.268
2024-10-05,1187781.87
2024-10-06,1225657.982
2024-10-07,1280089.8
2024-10-08,1363777.125
2024-10-09,1476837.36
2024-10-10,1732379.454
2024-10-11,1823558.644
2024-10-12,1949343.682
2024-10-13,2019952.208
2024-10-14,2519919.27
2024-10-15,2835329.616
2024-10-16,2732635.12
2024-10-17,2795897.192
2024-10-18,2914574.314
2024-10-19,3871505.066
2024-10-20,4387601.34
2024-10-21,4366453.631
2024-10-22,4555510.433
2024-10-23,4315050.915
2024-10-24,4262816.124
2024-10-25,4057720.107
2024-10-26,3825778.704
2024-10-27,3825074.8
2024-10-28,3601963.024
2024-10-29,3622060.2
2024-10-30,3679812.62
2024-10-31,3928904.91
2024-11-01,3851236.7
2024-11-02,4078951.884
2024-11-03,3808887.57
2024-11-04,3729159.693
2024-11-05,3874596.84
2024-11-06,4525016.166
2024-11-07,4909165.056
2024-11-08,6198732.426
2024-11-09,6336583.674
2024-11-10,6343001.34
2024-11-11,6991191.426
2024-11-12,6379098.376
2024-11-13,6568755.745
2024-11-14,5746129.776
2024-11-15,6106673.934
2024-11-16,7615157.74
2024-11-17,6612395.58
2024-11-18,8554541.184
2024-11-19,7740565.36
2024-11-20,8261278.7
2024-11-21,8185284.608
2024-11-22,9404563.608
2024-11-23,10423230.558
2024-11-24,10494086.624
2024-11-25,12375585.911
2024-11-26,11910780.941
2024-11-27,13214716.971
2024-11-28,12280294.879
2024-11-29,13307249.01
2024-11-30,13581409.71
2024-12-01,13690367.151
2024-12-02,16275071.672
2024-12-03,18049863.832
2024-12-04,16150979.955
2024-12-05,14688225.03
2024-12-06,14627311.512
