date,price
2024-08-08,2684.57
2024-08-09,2600
2024-08-10,2610.6
2024-08-11,2556.59
2024-08-12,2722.66
2024-08-13,2703.44
2024-08-14,2662.1
2024-08-15,2570.94
2024-08-16,2593.67
2024-08-17,2615.1
2024-08-18,2612.73
2024-08-19,2637.18
2024-08-20,2573.2
2024-08-21,2631.36
2024-08-22,2623.62
2024-08-23,2764.75
2024-08-24,2769.38
2024-08-25,2747.36
2024-08-26,2681.4
2024-08-27,2457.65
2024-08-28,2529.19
2024-08-29,2528.46
2024-08-30,2525.98
2024-08-31,2513.27
2024-09-01,2425.49
2024-09-02,2538.25
2024-09-03,2424.07
2024-09-04,2450.79
2024-09-05,2368.19
2024-09-06,2224.78
2024-09-07,2273.69
2024-09-08,2297.36
2024-09-09,2359.71
2024-09-10,2388.57
2024-09-11,2341.02
2024-09-12,2362.09
2024-09-13,2440.98
2024-09-14,2418.74
2024-09-15,2316.34
2024-09-16,2295.75
2024-09-17,2342.22
2024-09-18,2375.25
2024-09-19,2465.81
2024-09-20,2561.6
2024-09-21,2613.82
2024-09-22,2581.46
2024-09-23,2647.61
2024-09-24,2653.54
2024-09-25,2579.91
2024-09-26,2632.78
2024-09-27,2695.33
2024-09-28,2675.93
2024-09-29,2658.6
2024-09-30,2602.04
2024-10-01,2447.22
2024-10-02,2363
2024-10-03,2349.52
2024-10-04,2414.75
2024-10-05,2414.75
2024-10-06,2440.25
2024-10-07,2422.02
2024-10-08,2439.36
2024-10-09,2368.49
2024-10-10,2384.04
2024-10-11,2438.9
2024-10-12,2476
2024-10-13,2468.39
2024-10-14,2629.25
2024-10-15,2607.52
2024-10-16,2610.77
2024-10-17,2605.09
2024-10-18,2642.11
2024-10-19,2648.24
2024-10-20,2746.97
2024-10-21,2665.87
2024-10-22,2621.25
2024-10-23,2522.25
2024-10-24,2534.51
2024-10-25,2436.47
2024-10-26,2479.47
2024-10-27,2505.39
2024-10-28,2566.09
2024-10-29,2638.42
2024-10-30,2658.6
2024-10-31,2515.32
2024-11-01,2510.17
2024-11-02,2493.4
2024-11-03,2456.6
2024-11-04,2397.22
2024-11-05,2422.2
2024-11-06,2724.89
2024-11-07,2897.79
2024-11-08,2964
2024-11-09,3127.8
2024-11-10,3186.01
2024-11-11,3376.4
2024-11-12,3247.81
2024-11-13,3191.01
2024-11-14,3058.8
2024-11-15,3091.87
2024-11-16,3134.2
2024-11-17,3077.4
2024-11-18,3210.89
2024-11-19,3111.99
2024-11-20,3072.21
2024-11-21,3360.47
2024-11-22,3331.56
2024-11-23,3397.66
2024-11-24,3364.13
2024-11-25,3415.2
2024-11-26,3324.59
2024-11-27,3658
2024-11-28,3580.21
2024-11-29,3594.63
2024-11-30,3705.8
2024-12-01,3711.4
2024-12-02,3646.02
2024-12-03,3617.47
2024-12-04,3844.82
2024-12-05,3897.31
