date,price
2024-08-08,163.23
2024-08-09,156.33
2024-08-10,154.04
2024-08-11,141.58
2024-08-12,146.35
2024-08-13,146.66
2024-08-14,143.76
2024-08-15,142.66
2024-08-16,139.06
2024-08-17,141.97
2024-08-18,142.44
2024-08-19,144.36
2024-08-20,142.35
2024-08-21,142.88
2024-08-22,143.26
2024-08-23,153.35
2024-08-24,160.76
2024-08-25,159.04
2024-08-26,157.19
2024-08-27,146.86
2024-08-28,143.98
2024-08-29,140.09
2024-08-30,137.99
2024-08-31,135.42
2024-09-01,128.53
2024-09-02,134.97
2024-09-03,127.58
2024-09-04,133.65
2024-09-05,129.43
2024-09-06,125.02
2024-09-07,127.78
2024-09-08,130.16
2024-09-09,135.12
2024-09-10,135.65
2024-09-11,132.43
2024-09-12,136.08
2024-09-13,139.1
2024-09-14,137.23
2024-09-15,131.42
2024-09-16,131.51
2024-09-17,131.57
2024-09-18,134.36
2024-09-19,142.89
2024-09-20,146.72
2024-09-21,149.45
2024-09-22,144.71
2024-09-23,144.84
2024-09-24,152.76
2024-09-25,147.98
2024-09-26,155.58
2024-09-27,157.7
2024-09-28,156.83
2024-09-29,158.52
2024-09-30,152.55
2024-10-01,145.18
2024-10-02,140.2
2024-10-03,136.82
2024-10-04,143.27
2024-10-05,142.62
2024-10-06,146.55
2024-10-07,143.96
2024-10-08,143.46
2024-10-09,139.24
2024-10-10,138.95
2024-10-11,145.49
2024-10-12,146.4
2024-10-13,147.69
2024-10-14,157.57
2024-10-15,154.75
2024-10-16,154.27
2024-10-17,150.5
2024-10-18,154.9
2024-10-19,159.66
2024-10-20,167.41
2024-10-21,166.15
2024-10-22,167.56
2024-10-23,170.68
2024-10-24,177.04
2024-10-25,164.68
2024-10-26,170.64
2024-10-27,176.41
2024-10-28,178.17
2024-10-29,179.4
2024-10-30,174.87
2024-10-31,168.51
2024-11-01,166.04
2024-11-02,166.1
2024-11-03,162.44
2024-11-04,157.87
2024-11-05,166.65
2024-11-06,186.74
2024-11-07,196.42
2024-11-08,199.97
2024-11-09,200.02
2024-11-10,210.24
2024-11-11,222.52
2024-11-12,211.86
2024-11-13,215.4
2024-11-14,209.53
2024-11-15,218.6
2024-11-16,215.78
2024-11-17,237.39
2024-11-18,239.99
2024-11-19,237.96
2024-11-20,235.62
2024-11-21,256.73
2024-11-22,257.15
2024-11-23,255.16
2024-11-24,252.94
2024-11-25,234.23
2024-11-26,230.72
2024-11-27,242.12
2024-11-28,237.6
2024-11-29,243.54
2024-11-30,237.79
2024-12-01,237.2
2024-12-02,225.92
2024-12-03,234.2
2024-12-04,229.62
2024-12-05,235.11
