date,price
2024-08-08,61724
2024-08-09,60868.1
2024-08-10,60941.9
2024-08-11,58732.3
2024-08-12,59362
2024-08-13,60602
2024-08-14,58684.4
2024-08-15,57552.1
2024-08-16,58903.3
2024-08-17,59508.2
2024-08-18,58436.6
2024-08-19,59462
2024-08-20,59014.1
2024-08-21,61168.2
2024-08-22,60389.9
2024-08-23,64093.7
2024-08-24,64184.1
2024-08-25,64250
2024-08-26,62852.1
2024-08-27,59408.1
2024-08-28,59048
2024-08-29,59364
2024-08-30,59114.2
2024-08-31,58970.2
2024-09-01,57303.8
2024-09-02,59143.2
2024-09-03,57468
2024-09-04,57970.5
2024-09-05,56163.9
2024-09-06,53944
2024-09-07,54156.5
2024-09-08,54875.3
2024-09-09,57045.1
2024-09-10,57644.9
2024-09-11,57350
2024-09-12,58129.3
2024-09-13,60535.3
2024-09-14,60005.9
2024-09-15,59140
2024-09-16,58214
2024-09-17,60323.9
2024-09-18,61783.4
2024-09-19,62973.3
2024-09-20,63224.1
2024-09-21,63364.9
2024-09-22,63593.4
2024-09-23,63343.8
2024-09-24,64278
2024-09-25,63142
2024-09-26,65187.1
2024-09-27,65785.2
2024-09-28,65881.7
2024-09-29,65619
2024-09-30,63306.1
2024-10-01,60800
2024-10-02,60642
2024-10-03,60749.8
2024-10-04,62097.8
2024-10-05,62054.5
2024-10-06,62819.1
2024-10-07,62205.1
2024-10-08,62123.2
2024-10-09,60588.1
2024-10-10,60277.9
2024-10-11,62520
2024-10-12,63198
2024-10-13,62853.8
2024-10-14,66084
2024-10-15,67078.3
2024-10-16,67613.7
2024-10-17,67414.5
2024-10-18,68437.1
2024-10-19,68378.4
2024-10-20,69032.1
2024-10-21,67350.4
2024-10-22,67389.7
2024-10-23,66606
2024-10-24,68166.9
2024-10-25,66586
2024-10-26,67014
2024-10-27,67952.7
2024-10-28,69930
2024-10-29,72724
2024-10-30,72335
2024-10-31,70204
2024-11-01,69460.1
2024-11-02,69355.9
2024-11-03,68748.7
2024-11-04,67820.2
2024-11-05,69374.8
2024-11-06,75657.9
2024-11-07,75942
2024-11-08,76560
2024-11-09,76725.1
2024-11-10,80428
2024-11-11,88811.9
2024-11-12,88040.3
2024-11-13,90493
2024-11-14,87348
2024-11-15,91073
2024-11-16,90626.9
2024-11-17,89868
2024-11-18,90534.4
2024-11-19,92442.7
2024-11-20,94391.4
2024-11-21,98433.2
2024-11-22,99020
2024-11-23,97784
2024-11-24,97992
2024-11-25,92999
2024-11-26,91938.9
2024-11-27,95961.7
2024-11-28,95689.4
2024-11-29,97553.1
2024-11-30,96480.1
2024-12-01,97280.5
2024-12-02,95882.8
2024-12-03,95919.9
2024-12-04,98773.9
2024-12-05,102798.5
