date,price
2024-08-08,22.758
2024-08-09,21.769
2024-08-10,21.572
2024-08-11,20.399
2024-08-12,21.281
2024-08-13,21.388
2024-08-14,20.96
2024-08-15,20.119
2024-08-16,20.388
2024-08-17,20.725
2024-08-18,20.802
2024-08-19,21.217
2024-08-20,22.262
2024-08-21,23.517
2024-08-22,25.211
2024-08-23,26.538
2024-08-24,27.148
2024-08-25,26.927
2024-08-26,25.955
2024-08-27,24.112
2024-08-28,23.462
2024-08-29,22.931
2024-08-30,23.288
2024-08-31,22.814
2024-09-01,21.413
2024-09-02,22.369
2024-09-03,21.372
2024-09-04,21.899
2024-09-05,21.352
2024-09-06,21.126
2024-09-07,21.808
2024-09-08,23.238
2024-09-09,23.868
2024-09-10,24.378
2024-09-11,23.284
2024-09-12,24.026
2024-09-13,24.949
2024-09-14,25.347
2024-09-15,23.813
2024-09-16,23.504
2024-09-17,23.755
2024-09-18,24.685
2024-09-19,26.669
2024-09-20,27.67
2024-09-21,27.784
2024-09-22,27.3
2024-09-23,27.422
2024-09-24,28.46
2024-09-25,27.277
2024-09-26,29.164
2024-09-27,30.443
2024-09-28,29.303
2024-09-29,29.06
2024-09-30,27.71
2024-10-01,25.829
2024-10-02,25.332
2024-10-03,24.651
2024-10-04,26.269
2024-10-05,25.681
2024-10-06,26.956
2024-10-07,26.525
2024-10-08,26.339
2024-10-09,25.788
2024-10-10,25.844
2024-10-11,27.454
2024-10-12,28.633
2024-10-13,29.045
2024-10-14,29.06
2024-10-15,28.232
2024-10-16,28.039
2024-10-17,27.281
2024-10-18,28.092
2024-10-19,28.097
2024-10-20,28.969
2024-10-21,27.754
2024-10-22,27.625
2024-10-23,26.755
2024-10-24,26.863
2024-10-25,24.867
2024-10-26,25.395
2024-10-27,25.736
2024-10-28,26.268
2024-10-29,26.805
2024-10-30,26.182
2024-10-31,25
2024-11-01,24.792
2024-11-02,24.087
2024-11-03,23.535
2024-11-04,22.698
2024-11-05,23.957
2024-11-06,27.031
2024-11-07,27.387
2024-11-08,28.801
2024-11-09,30.391
2024-11-10,31.907
2024-11-11,35.813
2024-11-12,34.004
2024-11-13,33.148
2024-11-14,31.191
2024-11-15,33.122
2024-11-16,35.108
2024-11-17,34.726
2024-11-18,35.508
2024-11-19,34.25
2024-11-20,33.617
2024-11-21,35.863
2024-11-22,43.235
2024-11-23,41.522
2024-11-24,42.098
2024-11-25,41.349
2024-11-26,42.7
2024-11-27,43.927
2024-11-28,42.785
2024-11-29,44.867
2024-11-30,44.828
2024-12-01,45.137
2024-12-02,52.311
2024-12-03,50.94
2024-12-04,52.896
2024-12-05,52.25
