date,tvl
2024-07-08,52913492752.171295
2024-07-09,54396931249.565605
2024-07-10,54737417576.32124
2024-07-11,55194033232.13052
2024-07-12,54531999912.784836
2024-07-13,55641269760.90472
2024-07-14,56384065281.04952
2024-07-15,58586086476.55397
2024-07-16,58969962133.02876
2024-07-17,60116444818.10565
2024-07-18,59391352730.520134
2024-07-19,58584679550.60086
2024-07-20,60856639352.19654
2024-07-21,61082345000.62612
2024-07-22,60791096441.099304
2024-07-23,61329094768.58285
2024-07-24,61088256853.36331
2024-07-25,56611012973.10547
2024-07-26,57973527156.119705
2024-07-27,58648124265.27716
2024-07-28,58245493919.002174
2024-07-29,60238945959.3797
2024-07-30,59769889208.03475
2024-07-31,59447176237.61152
2024-08-01,57554190199.34056
2024-08-02,57000876971.51689
2024-08-03,54329583836.21549
2024-08-04,53097677816.489
2024-08-05,42520010248.310974
2024-08-06,46478336878.173225
2024-08-07,47550298457.1507
2024-08-08,46306674193.19014
2024-08-09,49775428395.00278
2024-08-10,49462644232.16685
2024-08-11,49917194095.49336
2024-08-12,48410225123.34713
2024-08-13,48737514091.816986
2024-08-14,50315594793.33226
2024-08-15,48587602454.81238
2024-08-16,49007087786.334465
2024-08-17,48790871947.214714
2024-08-18,49486844587.28299
2024-08-19,48480350284.339905
2024-08-20,49748003625.89545
2024-08-21,48721883552.91905
2024-08-22,49625255398.57457
2024-08-23,50005215533.60129
2024-08-24,51662548020.39403
2024-08-25,51413967338.2337
2024-08-26,51141949473.59668
2024-08-27,49075675648.37982
2024-08-28,47218776176.507614
2024-08-29,47742727627.12284
2024-08-30,47155759859.544266
2024-08-31,47236098502.60062
2024-09-01,46267056477.876175
2024-09-02,47054816890.64813
2024-09-03,47014190442.672714
2024-09-04,45081693352.5854
2024-09-05,45172281432.02254
2024-09-06,44894340216.05506
2024-09-07,43349143869.45265
2024-09-08,43624643003.55704
2024-09-09,43937461120.39233
2024-09-10,44475203937.91635
2024-09-11,44070765190.21324
2024-09-12,44674236619.79942
2024-09-13,45014562365.87698
2024-09-14,46085509887.671646
2024-09-15,45859723129.15996
2024-09-16,44226867960.309685
2024-09-17,44335452692.8526
2024-09-18,44145040525.260315
2024-09-19,46195508094.88948
2024-09-20,48019247011.64019
2024-09-21,47992187935.51973
2024-09-22,48316212898.70476
2024-09-23,49359831433.944496
2024-09-24,49433803549.71758
2024-09-25,49148204980.11659
2024-09-26,49190097443.662094
2024-09-27,49728230785.72682
2024-09-28,49923699234.57081
2024-09-29,49420847597.179886
2024-09-30,48770657596.859665
2024-10-01,49330019615.62632
2024-10-02,46450836610.32558
2024-10-03,44815202149.70655
2024-10-04,45217520489.67222
2024-10-05,45768912080.04501
2024-10-06,45573061259.916565
2024-10-07,46054570936.97705
2024-10-08,45542311255.69417
2024-10-09,44488046663.80301
2024-10-10,44727251460.90814
2024-10-11,45057457919.60022
2024-10-12,46045831056.37193
2024-10-13,46201011910.00061
2024-10-14,47382752270.33587
2024-10-15,48325714316.425766
2024-10-16,48422232184.41684
2024-10-17,48183538954.3909
2024-10-18,48154786486.07016
2024-10-19,48408923150.20475
2024-10-20,48554321885.36489
2024-10-21,49186606981.78552
2024-10-22,48873317811.30533
2024-10-23,48469204843.98488
2024-10-24,47565618721.419685
2024-10-25,48134005922.16034
2024-10-26,47273696284.63261
2024-10-27,47414433220.762596
2024-10-28,48386000628.41734
2024-10-29,49560888296.99161
2024-10-30,50387629591.12384
2024-10-31,50205880784.84828
2024-11-01,48528579225.46143
2024-11-02,48408409514.386215
2024-11-03,47958898024.16572
2024-11-04,47964718522.83449
2024-11-05,47822330881.99699
2024-11-06,50829458045.77176
2024-11-07,53466621274.5967
2024-11-08,54980285601.33138
2024-11-09,56943146473.05187
2024-11-10,59065348056.125854
2024-11-11,59222866001.284454
2024-11-12,61332056459.16654
2024-11-13,59273081239.47743
2024-11-14,59831832887.829605
2024-11-15,58380657347.24689
2024-11-16,59361280363.645325
2024-11-17,59647657144.382
2024-11-18,58891308254.50411
2024-11-19,59663776747.93543
2024-11-20,59525334184.24246
2024-11-21,60752116510.1949
2024-11-22,63849723598.05138
2024-11-23,64755448990.31865
2024-11-24,64935593676.52557
2024-11-25,66932280996.772026
2024-11-26,64360221199.67883
2024-11-27,66442275767.05974
2024-11-28,69340311557.49689
2024-11-29,69361108208.65125
2024-11-30,70833571097.77673
2024-12-01,71583189448.2492
2024-12-02,70025336837.83556
2024-12-03,71148850683.35269
2024-12-04,72975600777.6696
