date,tvl
2024-07-08,4172623961.0284667
2024-07-09,4253243367.000574
2024-07-10,4341009936.405486
2024-07-11,4342684413.425594
2024-07-12,4170172594.5343857
2024-07-13,4269490796.760994
2024-07-14,4412639491.785292
2024-07-15,4547956967.114603
2024-07-16,4666018998.078403
2024-07-17,4758562175.314569
2024-07-18,4697310125.09616
2024-07-19,4800790805.501735
2024-07-20,5040266944.276601
2024-07-21,5086196510.704488
2024-07-22,5206408074.809179
2024-07-23,5130297133.73071
2024-07-24,5154376509.609735
2024-07-25,4928393391.251478
2024-07-26,5181170876.876195
2024-07-27,5363488189.514197
2024-07-28,5331117142.2980995
2024-07-29,5472197076.363883
2024-07-30,5269907569.047904
2024-07-31,5310710049.91162
2024-08-01,5032012371.572266
2024-08-02,4950014829.832159
2024-08-03,4686285087.0439825
2024-08-04,4505841101.36518
2024-08-05,3699585930.3156304
2024-08-06,4298362710.960546
2024-08-07,4673118938.073191
2024-08-08,4733683080.847615
2024-08-09,4861772727.944078
2024-08-10,4790296193.04459
2024-08-11,4837509641.293495
2024-08-12,4640712732.052757
2024-08-13,4615212363.855269
2024-08-14,4702481477.228385
2024-08-15,4607196485.558079
2024-08-16,4660055853.324856
2024-08-17,4577205991.89536
2024-08-18,4675676855.8549185
2024-08-19,4619440888.054174
2024-08-20,4786775866.232363
2024-08-21,4725500508.516366
2024-08-22,4800084677.405783
2024-08-23,4819874614.43032
2024-08-24,5162918323.829297
2024-08-25,5155281932.690293
2024-08-26,5289610521.8601675
2024-08-27,5187830556.720604
2024-08-28,4968183855.211482
2024-08-29,4919125278.081109
2024-08-30,4790371775.625494
2024-08-31,4742245278.621113
2024-09-01,4585372273.644493
2024-09-02,4617375331.125607
2024-09-03,4646277040.31369
2024-09-04,4503729741.49522
2024-09-05,4593841778.767895
2024-09-06,4532064164.51418
2024-09-07,4435080425.036429
2024-09-08,4506479341.36072
2024-09-09,4491006515.717036
2024-09-10,4614184452.10127
2024-09-11,4526913076.462691
2024-09-12,4585596473.07948
2024-09-13,4648541907.682196
2024-09-14,4719509696.216625
2024-09-15,4694649383.133387
2024-09-16,4525546891.268877
2024-09-17,4576803891.555655
2024-09-18,4502283632.256766
2024-09-19,4752125184.714414
2024-09-20,5041687332.562049
2024-09-21,4948307928.951751
2024-09-22,4880347682.911938
2024-09-23,4868274534.622566
2024-09-24,4972794729.6764
2024-09-25,5037549364.418865
2024-09-26,5136101646.362328
2024-09-27,5262416972.1688
2024-09-28,5290248110.199148
2024-09-29,5264068432.468456
2024-09-30,5240865398.694791
2024-10-01,5352318328.081476
2024-10-02,5242456279.770816
2024-10-03,4883738099.28028
2024-10-04,4947777711.673892
2024-10-05,5094811336.732841
2024-10-06,5248614243.893281
2024-10-07,5347233967.860971
2024-10-08,5259328856.407108
2024-10-09,5226382423.380596
2024-10-10,5314661561.499175
2024-10-11,5415058457.848019
2024-10-12,5615610172.7505665
2024-10-13,5570428837.228877
2024-10-14,5854360378.3830595
2024-10-15,5958628712.109942
2024-10-16,5876383648.606753
2024-10-17,5713632953.191806
2024-10-18,5806016344.286041
2024-10-19,5764645604.341142
2024-10-20,5832978662.028765
2024-10-21,6083567663.041334
2024-10-22,5979747587.65462
2024-10-23,5981709019.640505
2024-10-24,6517065591.005159
2024-10-25,6221558425.101032
2024-10-26,6234076206.824138
2024-10-27,6989247616.330701
2024-10-28,6009830818.241512
2024-10-29,6119369457.508731
2024-10-30,6053993316.131784
2024-10-31,6012950765.153081
2024-11-01,5795591755.673161
2024-11-02,5803116267.256953
2024-11-03,5703776350.184441
2024-11-04,5690454460.005098
2024-11-05,5667551083.929575
2024-11-06,6290502545.377665
2024-11-07,6485576218.3267355
2024-11-08,6750858939.967745
2024-11-09,6815650162.388565
2024-11-10,6937889469.680744
2024-11-11,7226527013.850395
2024-11-12,7355578458.454781
2024-11-13,7277771856.536915
2024-11-14,7533183914.190245
2024-11-15,7745340744.432465
2024-11-16,7910259689.528528
2024-11-17,8495438030.214548
2024-11-18,8674375131.276844
2024-11-19,8744523069.00277
2024-11-20,8687278160.829124
2024-11-21,8789973335.370062
2024-11-22,9254825338.389208
2024-11-23,9044275966.850248
2024-11-24,9019526481.567606
2024-11-25,9096151025.498152
2024-11-26,8711570733.804846
2024-11-27,8888833528.55279
2024-11-28,8973011458.42585
2024-11-29,9102384126.538988
2024-11-30,9233647862.832615
2024-12-01,9143813580.043722
2024-12-02,8786861141.08077
2024-12-03,8892427810.141752
2024-12-04,9197593642.751837
