date,tvl
2022-11-11,4738268251.359602
2022-11-12,4534662427.201859
2022-11-13,4453663207.465109
2022-11-14,4136301860.4293475
2022-11-15,4310589169.95255
2022-11-16,4298481485.795611
2022-11-17,4284483434.470083
2022-11-18,4305296746.579816
2022-11-19,4316606415.724043
2022-11-20,4328685963.062233
2022-11-21,4225010232.1909094
2022-11-22,4251660863.9821563
2022-11-23,4239539887.956847
2022-11-24,4307825244.498988
2022-11-25,4250693116.1421185
2022-11-26,4270593148.7312207
2022-11-27,4264871860.811973
2022-11-28,4327393717.963654
2022-11-29,4278969646.532849
2022-11-30,4282926371.2721157
2022-12-01,4387977861.824724
2022-12-02,4380439913.917316
2022-12-03,4372176489.788108
2022-12-04,4348634353.138892
2022-12-05,4343612752.91933
2022-12-06,4370628432.849652
2022-12-07,4465088099.856566
2022-12-08,4407837134.446853
2022-12-09,4486340798.200965
2022-12-10,4498746148.338343
2022-12-11,4498887576.053481
2022-12-12,4441437643.9002075
2022-12-13,4450313007.92645
2022-12-14,4415457493.256501
2022-12-15,4516365449.0748415
2022-12-16,4506133096.350585
2022-12-17,4314050470.071496
2022-12-18,4402868023.15986
2022-12-19,4373267656.63726
2022-12-20,4251656714.3074455
2022-12-21,4322183552.650226
2022-12-22,4258619718.157908
2022-12-23,4283452801.7053795
2022-12-24,4200839382.0754356
2022-12-25,4270967533.8755546
2022-12-26,4120659011.3463297
2022-12-27,4209291312.316596
2022-12-28,4182902013.2249517
2022-12-29,4189638565.4156914
2022-12-30,4166869972.7447844
2022-12-31,4188342175.7539725
2023-01-01,4117510560.3108835
2023-01-02,4120544893.981719
2023-01-03,4132322934.146989
2023-01-04,4107388549.682743
2023-01-05,4138603691.6570396
2023-01-06,4110150819.5567036
2023-01-07,4009042808.365102
2023-01-08,4013846495.3173428
2023-01-09,4107961983.3722796
2023-01-10,4117888205.951134
2023-01-11,4154727470.0775566
2023-01-12,4249929011.956486
2023-01-13,4341970842.48092
2023-01-14,4639333993.748186
2023-01-15,4694173321.698107
2023-01-16,4674061540.039339
2023-01-17,4675892983.538234
2023-01-18,4705735160.560895
2023-01-19,4648621537.031249
2023-01-20,4718155965.776553
2023-01-21,4927797306.712803
2023-01-22,5008452524.35162
2023-01-23,4995280704.660879
2023-01-24,5071842468.2762985
2023-01-25,5124013068.466282
2023-01-26,5259433411.281312
2023-01-27,5161140273.412501
2023-01-28,5232054961.037157
2023-01-29,5231591038.564162
2023-01-30,5316249642.3009205
2023-01-31,5169791146.975157
2023-02-01,5183413408.832126
2023-02-02,5343755753.829957
2023-02-03,5323152933.828227
2023-02-04,5112337489.545543
2023-02-05,5135973269.825353
2023-02-06,5121173115.110726
2023-02-07,5060099487.737502
2023-02-08,5184289413.563167
2023-02-09,5132858608.239641
2023-02-10,4885249253.941969
2023-02-11,4949960834.697009
2023-02-12,4935914805.257225
2023-02-13,4929592131.900395
2023-02-14,5018244990.693509
2023-02-15,5079520924.983542
2023-02-16,5399796121.654057
2023-02-17,5225907301.149305
2023-02-18,5381556442.183768
2023-02-19,5364501385.281166
2023-02-20,5344802362.451777
2023-02-21,5412140812.401583
2023-02-22,5289278501.10427
2023-02-23,5252233207.488552
2023-02-24,5270120400.217867
2023-02-25,5175085208.908936
2023-02-26,5115734175.741251
2023-02-27,5205272629.309147
2023-02-28,5225311072.6831455
2023-03-01,5167746106.541751
2023-03-02,5216381257.864975
2023-03-03,5213172246.856924
2023-03-04,5005932224.409065
2023-03-05,4905846274.891848
2023-03-06,4909376438.039065
2023-03-07,4927733529.230541
2023-03-08,4782774283.989829
2023-03-09,4656414410.804811
2023-03-10,4341677582.823797
2023-03-11,4337604484.236752
2023-03-12,4076792521.3976073
2023-03-13,4485013894.557218
2023-03-14,4700165854.771104
2023-03-15,4751621333.616359
2023-03-16,4703192496.35904
2023-03-17,4741979631.923239
2023-03-18,5250612476.901803
2023-03-19,5180804027.196855
2023-03-20,5290624708.64003
2023-03-21,5252682291.285392
2023-03-22,5314149797.208814
2023-03-23,5097496087.10318
2023-03-24,5295303432.056199
2023-03-25,5173988021.177397
2023-03-26,5181013339.8452015
2023-03-27,5172223593.974534
2023-03-28,5094972321.359895
2023-03-29,5142286709.827494
2023-03-30,5247809949.941977
2023-03-31,5313990229.677912
2023-04-01,5321080935.577515
2023-04-02,5377225582.159848
2023-04-03,5284431559.825814
2023-04-04,5254333147.180292
2023-04-05,5279705898.3204565
2023-04-06,5316520599.239537
2023-04-07,5297289815.35938
2023-04-08,5271646952.426105
2023-04-09,5300049408.144313
2023-04-10,5335956351.112218
2023-04-11,5528434648.100127
2023-04-12,5543030292.922378
2023-04-13,5483265744.867553
2023-04-14,5579041357.784158
2023-04-15,5579449761.77157
2023-04-16,5531568050.710378
2023-04-17,5502207443.620797
2023-04-18,5417981127.057233
2023-04-19,5559986715.242991
2023-04-20,5394409485.651125
2023-04-21,5318196143.702429
2023-04-22,5229768552.878821
2023-04-23,5291107275.28462
2023-04-24,5297872755.33277
2023-04-25,5216487215.466209
2023-04-26,5351719800.686293
2023-04-27,5442525132.753633
2023-04-28,5474393669.04794
2023-04-29,5480557114.172689
2023-04-30,5502949929.5386
2023-05-01,5515387480.084188
2023-05-02,5325494081.746297
2023-05-03,5431687162.996844
2023-05-04,5482708367.175123
2023-05-05,5454682396.863984
2023-05-06,5753085853.243296
2023-05-07,5631200479.264348
2023-05-08,5547742389.946231
2023-05-09,5433347097.049649
2023-05-10,5442327259.569707
2023-05-11,5489714436.778742
2023-05-12,5388109264.46786
2023-05-13,5391350649.923763
2023-05-14,5408279907.052769
2023-05-15,5394388922.071513
2023-05-16,5475013945.075994
2023-05-17,5443476356.489512
2023-05-18,5485918004.627732
2023-05-19,5411852441.5197525
2023-05-20,5414954021.97814
2023-05-21,5469982912.607382
2023-05-22,5631830626.582506
2023-05-23,5682197012.425969
2023-05-24,5793761079.417374
2023-05-25,5576170573.813836
2023-05-26,5597267578.590654
2023-05-27,5580169583.765531
2023-05-28,5659231730.443641
2023-05-29,5801727643.51907
2023-05-30,5732757623.965622
2023-05-31,5700482081.925637
2023-06-01,5587307818.613736
2023-06-02,5552831874.137854
