date,tvl
2024-07-08,4398087155.343935
2024-07-09,4425442106.702824
2024-07-10,4515184968.821724
2024-07-11,4470094260.1714525
2024-07-12,4383553291.470103
2024-07-13,4475520630.959442
2024-07-14,4507166861.611304
2024-07-15,4670061574.65377
2024-07-16,4760873665.956149
2024-07-17,4824710055.805339
2024-07-18,4767754310.875701
2024-07-19,4710188439.547079
2024-07-20,4869019404.87195
2024-07-21,4878027344.682644
2024-07-22,4903586732.977584
2024-07-23,4843446985.831708
2024-07-24,4831825302.584986
2024-07-25,4639261194.50132
2024-07-26,4754659270.499482
2024-07-27,4833800945.172103
2024-07-28,4804397167.874317
2024-07-29,4921684030.335385
2024-07-30,4766679671.555497
2024-07-31,4828915205.844246
2024-08-01,4774648878.808471
2024-08-02,4785146640.7738285
2024-08-03,4564828079.600529
2024-08-04,4479664329.209151
2024-08-05,3680018736.3661466
2024-08-06,4020001507.3439097
2024-08-07,4153328845.0630636
2024-08-08,4114545103.548193
2024-08-09,4303214490.4565325
2024-08-10,4298317818.036824
2024-08-11,4397192294.438042
2024-08-12,4240094349.508369
2024-08-13,4306049763.097583
2024-08-14,4373888315.540182
2024-08-15,4206376742.077402
2024-08-16,4192834211.2459364
2024-08-17,4227499846.3850927
2024-08-18,4256317141.195703
2024-08-19,4207423088.7657604
2024-08-20,4383335057.604052
2024-08-21,4298891207.170165
2024-08-22,4389075757.98832
2024-08-23,4477105010.045346
2024-08-24,4616030035.075604
2024-08-25,4567952341.20821
2024-08-26,4538058169.2134075
2024-08-27,4395471868.137501
2024-08-28,4274903160.361856
2024-08-29,4304776321.232786
2024-08-30,4254609498.0096827
2024-08-31,4254097503.7375174
2024-09-01,4149806687.7913046
2024-09-02,4183729322.9765544
2024-09-03,4255215208.434176
2024-09-04,4127399756.94433
2024-09-05,4144967961.672236
2024-09-06,4144075197.162959
2024-09-07,4060940091.2071204
2024-09-08,4116697914.9398384
2024-09-09,4143643806.4229183
2024-09-10,4274855797.270677
2024-09-11,4236617819.978147
2024-09-12,4407736103.074964
2024-09-13,4399203536.3828945
2024-09-14,4460095950.269963
2024-09-15,4483173501.165328
2024-09-16,4328279284.538029
2024-09-17,4322983213.992209
2024-09-18,4312904909.30215
2024-09-19,4424776091.551039
2024-09-20,4627503953.82614
2024-09-21,4659312290.123403
2024-09-22,4672344694.142713
2024-09-23,4616659839.261314
2024-09-24,4649789442.527771
2024-09-25,4632878496.100605
2024-09-26,4769440090.10125
2024-09-27,4846603760.757243
2024-09-28,4861280799.810267
2024-09-29,4845870867.039018
2024-09-30,4705774306.736014
2024-10-01,4749361407.234016
2024-10-02,4527975759.883974
2024-10-03,4451552708.489128
2024-10-04,4517049239.747684
2024-10-05,4598299234.312778
2024-10-06,4585664846.424176
2024-10-07,4646817170.08011
2024-10-08,4609911273.365928
2024-10-09,4511719835.958224
2024-10-10,4421854531.674098
2024-10-11,4509742215.152155
2024-10-12,4566033819.915704
2024-10-13,4535150258.528068
2024-10-14,4621085889.624434
2024-10-15,4683823349.976989
2024-10-16,4741815649.870728
2024-10-17,4671877104.445906
2024-10-18,4689967135.787208
2024-10-19,4710534396.024006
2024-10-20,4699781408.925971
2024-10-21,4750450070.452245
2024-10-22,4719692549.599892
2024-10-23,4656801729.722688
2024-10-24,4669783324.960481
2024-10-25,4606184230.113347
2024-10-26,4536518365.999545
2024-10-27,4531982408.673729
2024-10-28,4627284442.099987
2024-10-29,4710871993.382548
2024-10-30,4693134461.356861
2024-10-31,4626105632.228737
2024-11-01,4558062142.73596
2024-11-02,4537990390.398462
2024-11-03,4438651760.668176
2024-11-04,4449367684.630402
2024-11-05,4426963266.832703
2024-11-06,4666594664.2134695
2024-11-07,4694378310.734407
2024-11-08,4763688088.779719
2024-11-09,4911050002.570403
2024-11-10,5125575276.582261
2024-11-11,5100951201.799022
2024-11-12,5167706317.91916
2024-11-13,5068213030.424291
2024-11-14,5207805797.2000065
2024-11-15,5149563727.774435
2024-11-16,5202985301.942449
2024-11-17,5336048823.93621
2024-11-18,5270057746.788707
2024-11-19,5222214187.749734
2024-11-20,5163018439.071078
2024-11-21,5189568275.438373
2024-11-22,5303502704.446042
2024-11-23,5471859486.964315
2024-11-24,5466856589.97524
2024-11-25,5526173674.321647
2024-11-26,5229931987.206513
2024-11-27,5307040545.024601
2024-11-28,5538737548.578739
2024-11-29,5545570207.36021
2024-11-30,5597843116.947138
2024-12-01,5603423380.470272
2024-12-02,5361455320.371949
2024-12-03,5461832565.326272
2024-12-04,5889259532.528611
