date,tvl
2023-06-16,0.0
2023-06-17,0.0
2023-06-18,0.0
2023-06-19,0.0
2023-06-20,0.0
2023-06-21,0.0
2023-06-22,0.0
2023-06-23,0.0
2023-06-24,0.0
2023-06-25,0.0
2023-06-26,0.0
2023-06-27,0.0
2023-06-28,0.0
2023-06-29,0.0
2023-06-30,0.0
2023-07-01,0.0
2023-07-02,0.0
2023-07-03,0.0
2023-07-04,0.0
2023-07-05,0.0
2023-07-06,0.0
2023-07-07,0.0
2023-07-08,0.0
2023-07-09,0.0
2023-07-10,0.0
2023-07-11,0.0
2023-07-12,0.0
2023-07-13,0.0
2023-07-14,0.0
2023-07-15,0.0
2023-07-16,0.0
2023-07-17,0.0
2023-07-18,0.0
2023-07-19,0.0
2023-07-20,0.0
2023-07-21,0.0
2023-07-22,0.0
2023-07-23,0.0
2023-07-24,0.0
2023-07-25,0.0
2023-07-26,0.0
2023-07-27,22037.04181396489
2023-07-28,63456.3479252447
2023-07-29,95010.79162998142
2023-07-30,396143.1006796551
2023-07-31,41200923.81175076
2023-08-01,13430389.971577793
2023-08-02,8497227.720418563
2023-08-03,10965189.935032519
2023-08-04,16640246.93157559
2023-08-05,19765269.74335133
2023-08-06,25897904.727650195
2023-08-07,31366735.548878193
2023-08-08,46031645.74807719
2023-08-09,50341370.92249065
2023-08-10,61813936.790786386
2023-08-11,90912972.28909016
2023-08-12,99701578.09583127
2023-08-13,114660172.55338536
2023-08-14,123630934.63337488
2023-08-15,142777982.4435604
2023-08-16,166524749.10199347
2023-08-17,171269632.1737272
2023-08-18,168452557.7739941
2023-08-19,166202855.28670433
2023-08-20,177615726.64449102
2023-08-21,182628594.77680695
2023-08-22,191215013.31456065
2023-08-23,186490563.7950018
2023-08-24,195034752.20269486
2023-08-25,196436613.97358915
2023-08-26,186823607.9006643
2023-08-27,185741572.34386364
2023-08-28,191918042.00548553
2023-08-29,192763386.48333633
2023-08-30,199500102.6668663
2023-08-31,201705093.9309253
2023-09-01,350663065.28804564
2023-09-02,395036213.12410396
2023-09-03,389333777.77158034
2023-09-04,410436707.5665468
2023-09-05,406280400.5773446
2023-09-06,411970509.825129
2023-09-07,396317398.20050776
2023-09-08,385268225.3972349
2023-09-09,389398604.1217269
2023-09-10,391196973.2268465
2023-09-11,386593239.90440917
2023-09-12,367335210.66027725
2023-09-13,370556986.26479524
2023-09-14,373495757.59688795
2023-09-15,377184438.3699256
2023-09-16,376751146.4666883
2023-09-17,373663881.4644799
2023-09-18,375872326.4918755
2023-09-19,371302347.2255795
2023-09-20,370043622.9625446
2023-09-21,358927238.15715295
2023-09-22,347174620.95875984
2023-09-23,337167489.22087795
2023-09-24,340983993.2973009
2023-09-25,339350955.10362697
2023-09-26,339298004.2042956
2023-09-27,334995505.6597887
2023-09-28,337559394.7349036
2023-09-29,350908969.7158266
2023-09-30,352832343.32925785
2023-10-01,353799820.4602748
2023-10-02,360289787.0943381
2023-10-03,351829273.2346018
2023-10-04,349400877.1788013
2023-10-05,346581359.7404201
2023-10-06,349006262.7549783
2023-10-07,349498179.195992
2023-10-08,345538816.3191967
2023-10-09,343469150.0575926
2023-10-10,338061423.5710134
2023-10-11,336749761.12243515
2023-10-12,322518405.8927803
2023-10-13,314605595.2701544
2023-10-14,314957605.75607824
2023-10-15,310840395.8597644
2023-10-16,310466699.79067683
2023-10-17,314406242.78186464
2023-10-18,309317196.2673522
2023-10-19,307355175.41798425
2023-10-20,306612779.7386318
2023-10-21,305977076.86330396
2023-10-22,308003179.9107578
2023-10-23,307945847.2767487
2023-10-24,315851617.2115701
2023-10-25,308630031.16105497
2023-10-26,307564731.7322791
2023-10-27,305435509.48845726
2023-10-28,305456493.27522486
2023-10-29,304818511.0113749
2023-10-30,305654835.16309416
2023-10-31,299347900.7347819
2023-11-01,303111490.55689925
2023-11-02,302617067.2821887
2023-11-03,293933217.62204474
2023-11-04,298188957.12453926
2023-11-05,300896997.8619055
2023-11-06,297728468.24499416
2023-11-07,294124632.4143981
2023-11-08,291797405.153242
2023-11-09,291878185.640294
2023-11-10,305290535.4413495
2023-11-11,299508104.19194555
2023-11-12,300412059.9076264
2023-11-13,299946666.71739334
2023-11-14,296851747.2651977
2023-11-15,292181478.8615696
2023-11-16,296466356.41531867
2023-11-17,287424372.6897842
2023-11-18,285237588.52647984
2023-11-19,281889867.97982943
2023-11-20,283744035.80674076
2023-11-21,281145737.8635326
2023-11-22,282722440.66977423
2023-11-23,285862124.3586267
2023-11-24,287004467.4585784
2023-11-25,288556768.86208665
2023-11-26,289960097.1740813
2023-11-27,284867746.62863255
2023-11-28,290199591.42097086
2023-11-29,293536154.67297965
2023-11-30,291926191.4319998
2023-12-01,299267066.21956146
2023-12-02,306722550.7645441
2023-12-03,311852085.25859547
2023-12-04,315223432.9988951
2023-12-05,311796395.93274736
2023-12-06,323033388.4169477
2023-12-07,319752717.145447
2023-12-08,329941061.64253575
2023-12-09,328709879.14701486
2023-12-10,324489887.7782594
2023-12-11,313647140.9649023
2023-12-12,367051187.531216
2023-12-13,371812576.8728843
2023-12-14,388648515.1426257
2023-12-15,399144810.2874466
2023-12-16,400713288.6146515
2023-12-17,407120166.9393352
2023-12-18,403959491.2292805
2023-12-19,420772613.95270157
2023-12-20,420715795.63595283
2023-12-21,444942009.3296868
2023-12-22,451949265.9512777
2023-12-23,449522627.993639
2023-12-24,453280887.71681774
2023-12-25,453807604.69241065
2023-12-26,453259457.4708738
2023-12-27,454582554.7206771
2023-12-28,455935811.6397093
2023-12-29,453116217.85940784
2023-12-30,441665603.898569
2023-12-31,442881740.8068593
2024-01-01,438688467.99111956
2024-01-02,445747939.6424306
2024-01-03,439651284.2254728
2024-01-04,422276922.2010215
2024-01-05,422874374.9790726
2024-01-06,420468772.0332367
2024-01-07,419929564.8958867
