date,tvl
2024-07-08,620675090.3253685
2024-07-09,630319999.0672288
2024-07-10,641869150.956171
2024-07-11,641926260.6361383
2024-07-12,627123132.7271289
2024-07-13,645251900.9193763
2024-07-14,662443810.889559
2024-07-15,690969201.5566255
2024-07-16,699672279.8791463
2024-07-17,718539772.0853701
2024-07-18,713831369.7690271
2024-07-19,708125313.7985561
2024-07-20,735894803.0179322
2024-07-21,739465406.6852489
2024-07-22,745816251.2780739
2024-07-23,735631287.0000013
2024-07-24,731122824.2904433
2024-07-25,704020431.9864371
2024-07-26,740868631.8137043
2024-07-27,748367215.4095651
2024-07-28,741946456.8475828
2024-07-29,766063864.9649249
2024-07-30,732929528.7348062
2024-07-31,725317113.0526978
2024-08-01,684832912.5631031
2024-08-02,687224475.192939
2024-08-03,657959038.1475915
2024-08-04,646624683.3082086
2024-08-05,539879980.5158606
2024-08-06,586134695.7924496
2024-08-07,607842191.5338347
2024-08-08,608802263.3473713
2024-08-09,644231520.9799271
2024-08-10,646272220.875294
2024-08-11,645757256.3512466
2024-08-12,826489149.9344903
2024-08-13,813266021.0558403
2024-08-14,849342924.8635578
2024-08-15,817455273.0354952
2024-08-16,812932287.6265006
2024-08-17,820477234.9028735
2024-08-18,832572019.6141069
2024-08-19,808148234.420613
2024-08-20,713756662.759205
2024-08-21,688510946.654795
2024-08-22,711241015.995452
2024-08-23,709366808.4828815
2024-08-24,746804464.2662023
2024-08-25,744859085.0711854
2024-08-26,789921723.0955606
2024-08-27,772503433.7796721
2024-08-28,739926015.3579247
2024-08-29,741157924.0682143
2024-08-30,738120678.786398
2024-08-31,733303153.7891074
2024-09-01,720037171.940469
2024-09-02,726374493.7466359
2024-09-03,733240698.4046535
2024-09-04,701207401.4052517
2024-09-05,760486870.32907
2024-09-06,749601332.0756623
2024-09-07,730790000.8732436
2024-09-08,732753103.8773752
2024-09-09,762646197.0509276
2024-09-10,790360532.4395906
2024-09-11,784237873.685699
2024-09-12,803115736.1558802
2024-09-13,808777028.7359924
2024-09-14,832051005.0826223
2024-09-15,836305394.3743188
2024-09-16,817048444.9478142
2024-09-17,826230353.8764453
2024-09-18,835102878.6975948
2024-09-19,874596061.6826818
2024-09-20,889566354.8945358
2024-09-21,882999969.3412892
2024-09-22,877784468.5161934
2024-09-23,888168933.8796264
2024-09-24,892975565.0802424
2024-09-25,902082009.3456805
2024-09-26,915583111.1122983
2024-09-27,940122594.4251053
2024-09-28,944098869.8433107
2024-09-29,941584547.6613445
2024-09-30,914929651.8635795
2024-10-01,917761344.977282
2024-10-02,876396837.8693131
2024-10-03,868229932.2468454
2024-10-04,880284856.6012434
2024-10-05,893105832.2153063
2024-10-06,893062868.2196268
2024-10-07,893106403.648116
2024-10-08,885294520.2818317
2024-10-09,879547439.2483546
2024-10-10,876992392.4450009
2024-10-11,880561213.2922444
2024-10-12,823610685.5113976
2024-10-13,823434965.2773657
2024-10-14,852499410.1065922
2024-10-15,861509202.8381386
2024-10-16,901467248.2148201
2024-10-17,897259607.2133763
2024-10-18,892134435.7142439
2024-10-19,905697799.9582407
2024-10-20,905816661.3479457
2024-10-21,889583919.7144947
2024-10-22,2495128211.5959167
2024-10-23,2465392337.474734
2024-10-24,2489215303.1155024
2024-10-25,2520293141.0640407
2024-10-26,2487417992.8994255
2024-10-27,2479580368.5699787
2024-10-28,2535850279.094801
2024-10-29,2629283025.1999183
2024-10-30,2678975392.727341
2024-10-31,2669193428.373001
2024-11-01,2580663842.1481085
2024-11-02,2560480782.0243683
2024-11-03,2513329898.8860626
2024-11-04,2527393464.638295
2024-11-05,2523365192.8071027
2024-11-06,2732957532.726594
2024-11-07,2756658253.8992496
2024-11-08,2805827159.8450413
2024-11-09,2814081116.7440076
2024-11-10,2938177644.8331413
2024-11-11,3021019964.2285895
2024-11-12,3222899019.752113
2024-11-13,3265543841.6654477
2024-11-14,3344099597.4576936
2024-11-15,3289538743.2205625
2024-11-16,3408921771.542046
2024-11-17,3387315200.75259
2024-11-18,3415696545.0382376
2024-11-19,3416195858.293541
2024-11-20,3458901607.625299
2024-11-21,3619910804.894625
2024-11-22,3651534640.105584
2024-11-23,3663831504.361225
2024-11-24,3636638932.3619823
2024-11-25,3677419974.598754
2024-11-26,3462044571.2823763
2024-11-27,3507695293.5132146
2024-11-28,3552928289.256072
2024-11-29,3623804688.6381707
2024-11-30,3606836271.552448
2024-12-01,3632858026.5308604
2024-12-02,3561574925.292869
2024-12-03,3506130263.481812
2024-12-04,3570135067.3229785
