date,tvl
2024-07-10,2752289632.7217574
2024-07-11,2808993324.500298
2024-07-12,2763059056.6625957
2024-07-13,2851747813.877788
2024-07-14,2920276938.304152
2024-07-15,2977297004.3096104
2024-07-16,3072804673.3669395
2024-07-17,3141943716.8592515
2024-07-18,3137607683.3913894
2024-07-19,3113569816.3622785
2024-07-20,3235687659.95379
2024-07-21,3229452439.2850246
2024-07-22,3233279571.6588845
2024-07-23,3238511512.709582
2024-07-24,3231045370.975817
2024-07-25,3075039351.6155586
2024-07-26,3163863060.8432055
2024-07-27,3189404368.147395
2024-07-28,3176308836.3515325
2024-07-29,3268439290.9233046
2024-07-30,3225191467.190136
2024-07-31,3180818645.2052774
2024-08-01,3096743213.682417
2024-08-02,3089907934.796663
2024-08-03,2972232237.8183894
2024-08-04,2909169605.2984767
2024-08-05,2404992631.7952895
2024-08-06,2559374838.9806767
2024-08-07,2618138671.4169364
2024-08-08,2586750154.706677
2024-08-09,2730718939.021744
2024-08-10,2700984735.2618914
2024-08-11,2718916780.051457
2024-08-12,2666153728.951887
2024-08-13,2681188141.04548
2024-08-14,2764076357.8654947
2024-08-15,2675855211.669606
2024-08-16,2673359442.01762
2024-08-17,2664705813.2567515
2024-08-18,2709992187.980514
2024-08-19,2655470181.683612
2024-08-20,2719532460.568981
2024-08-21,2683943178.843289
2024-08-22,2739012876.9608626
2024-08-23,2763407155.8636694
2024-08-24,2862172506.666133
2024-08-25,2824279501.5514526
2024-08-26,2829977492.466681
2024-08-27,2780902742.118765
2024-08-28,2715620936.295715
2024-08-29,2737778081.1549335
2024-08-30,2692448378.15036
2024-08-31,2685621227.9182467
2024-09-01,2663969626.088621
2024-09-02,2761271349.2275534
2024-09-03,2722735711.91186
2024-09-04,2612345606.556557
2024-09-05,2593453277.5844197
2024-09-06,2563592490.2676144
2024-09-07,2515333800.260892
2024-09-08,2527888484.6045346
2024-09-09,2532023212.0499434
2024-09-10,2553402184.507847
2024-09-11,2512852530.9308124
2024-09-12,2538680071.6595163
2024-09-13,2526141689.6602407
2024-09-14,2581899408.709249
2024-09-15,2565789464.6124573
2024-09-16,2472296874.8205442
2024-09-17,2471664741.9010773
2024-09-18,2459591103.2182584
2024-09-19,2516978584.895328
2024-09-20,2559989747.2097974
2024-09-21,2563277816.718527
2024-09-22,2550553633.1806026
2024-09-23,2580863575.882744
2024-09-24,2572284767.514741
2024-09-25,2576971483.062924
2024-09-26,2594913037.5807986
2024-09-27,2589792384.6595945
2024-09-28,2579991909.0970607
2024-09-29,2565996724.122918
2024-09-30,2514044947.141542
2024-10-01,2518221855.1242194
2024-10-02,2407076795.748347
2024-10-03,2352102959.3799376
2024-10-04,2377720522.2563825
2024-10-05,2401829287.41702
2024-10-06,2370998489.2178326
2024-10-07,2404988726.651497
2024-10-08,2377551710.443463
2024-10-09,2333906088.1106424
2024-10-10,2313982623.550367
2024-10-11,2314078006.3802724
2024-10-12,2358133377.660868
2024-10-13,2357279159.6481004
2024-10-14,2378857888.522871
2024-10-15,2434109152.1240797
2024-10-16,2413508657.515351
2024-10-17,2373010676.7991595
2024-10-18,2414949963.403383
2024-10-19,2424835640.198448
2024-10-20,2424491429.2503967
2024-10-21,2450065589.4828315
2024-10-22,2400768352.202615
2024-10-23,2399511713.7103133
2024-10-24,2354841433.3859262
2024-10-25,2371877141.79204
2024-10-26,2315142444.5727816
2024-10-27,2314696986.759718
2024-10-28,2348161166.505689
2024-10-29,2398115981.28324
2024-10-30,2438954974.8003135
2024-10-31,2443949934.299315
2024-11-01,2371017958.5916343
2024-11-02,2371480372.801087
2024-11-03,2323917133.351682
2024-11-04,2320585963.2999115
2024-11-05,2292411582.020486
2024-11-06,2437967992.8370657
2024-11-07,2532490904.154902
2024-11-08,2584061306.474188
2024-11-09,2655016237.4283013
2024-11-10,2763622352.360501
2024-11-11,2811631957.4829893
2024-11-12,2856420040.160265
2024-11-13,2808130779.3730655
2024-11-14,2873126733.0425806
2024-11-15,2824141480.3272076
2024-11-16,2842434118.182417
2024-11-17,2863270572.6986847
2024-11-18,2850360570.3139267
2024-11-19,2862313850.3765597
2024-11-20,2889802509.6232533
2024-11-21,2925133694.7469807
2024-11-22,3018497028.958145
2024-11-23,3044503985.3234468
2024-11-24,3075960871.422904
2024-11-25,3145483049.6505103
2024-11-26,2987372039.862898
2024-11-27,3050107540.684215
2024-11-28,3106906845.37035
2024-11-29,3115002040.496761
2024-11-30,3151540836.6342454
2024-12-01,3171011119.5179815
2024-12-02,3113152550.012786
2024-12-03,3150231540.130548
2024-12-04,3241002722.273815
2024-12-05,3368996189.281089
2024-12-06,3324999265.6138844
