date,tvl
2022-11-11,1002602013.2115381
2022-11-12,974310510.9061564
2022-11-13,965033384.9646448
2022-11-14,927518903.0692409
2022-11-15,914202372.5966108
2022-11-16,917531441.1094462
2022-11-17,901581430.6751506
2022-11-18,900783141.9025868
2022-11-19,900365798.0156897
2022-11-20,902592886.6100864
2022-11-21,883187604.0816067
2022-11-22,808913339.4095376
2022-11-23,813393703.0135943
2022-11-24,819608312.2503544
2022-11-25,792930736.3198268
2022-11-26,802194955.2592956
2022-11-27,810374911.1427526
2022-11-28,816028504.6716318
2022-11-29,809361386.0738062
2022-11-30,838564674.0961276
2022-12-01,849021138.1515038
2022-12-02,847108173.0528347
2022-12-03,862979965.8342654
2022-12-04,859184129.8108506
2022-12-05,882391074.801365
2022-12-06,881144942.3974658
2022-12-07,875461763.2511946
2022-12-08,846029188.1620554
2022-12-09,847901582.6625123
2022-12-10,847759670.459826
2022-12-11,848766085.9281654
2022-12-12,851284869.3467746
2022-12-13,851958818.9981257
2022-12-14,845033459.7483248
2022-12-15,842598795.2381368
2022-12-16,833492457.7138929
2022-12-17,809977707.0378251
2022-12-18,807193272.7442721
2022-12-19,803618624.0774987
2022-12-20,793667503.0979655
2022-12-21,789313823.9132702
2022-12-22,780153093.3907359
2022-12-23,787873728.6657484
2022-12-24,790059280.7843736
2022-12-25,798871019.9292425
2022-12-26,785989001.5987164
2022-12-27,783939011.1895444
2022-12-28,779893274.8176285
2022-12-29,775055165.5224692
2022-12-30,773769932.4788492
2022-12-31,772116915.832179
2023-01-01,759408433.8852189
2023-01-02,768126690.9177157
2023-01-03,776793202.7381209
2023-01-04,780213905.1545777
2023-01-05,789897627.1550934
2023-01-06,777466671.3780298
2023-01-07,781789922.5011436
2023-01-08,781232734.690333
2023-01-09,789691570.291215
2023-01-10,789810350.192233
2023-01-11,793552002.4818573
2023-01-12,850044648.2277666
2023-01-13,839031962.9194461
2023-01-14,890250533.1609131
2023-01-15,889556859.1481375
2023-01-16,892577154.9125847
2023-01-17,894946885.4147385
2023-01-18,896394080.1910763
2023-01-19,869659084.4382746
2023-01-20,875989845.6427046
2023-01-21,910484382.673524
2023-01-22,900720356.9331118
2023-01-23,905655361.1383519
2023-01-24,911775659.6125442
2023-01-25,886847540.8608559
2023-01-26,907433465.3785422
2023-01-27,905999109.4476126
2023-01-28,946928849.9998084
2023-01-29,936020110.7353712
2023-01-30,944211395.4205683
2023-01-31,912133611.4750509
2023-02-01,924897730.0016136
2023-02-02,961932537.7815628
2023-02-03,948463408.3992379
2023-02-04,969175840.2662747
2023-02-05,968348559.3996398
2023-02-06,957079867.7965751
2023-02-07,946996825.7592473
2023-02-08,976552117.3472178
2023-02-09,958693581.4772532
2023-02-10,916454931.6894058
2023-02-11,908864044.431899
2023-02-12,915464093.6100014
2023-02-13,907099462.8414615
2023-02-14,901430365.5412046
2023-02-15,917767008.9553262
2023-02-16,986362754.6441681
2023-02-17,945766903.1429514
2023-02-18,970113157.097814
2023-02-19,979650363.6937976
2023-02-20,974649305.3725324
2023-02-21,1001964598.312515
2023-02-22,996026438.8862349
2023-02-23,980890272.8693135
2023-02-24,968711606.302015
2023-02-25,935143354.7981851
2023-02-26,929967495.6157174
2023-02-27,945164194.7106057
2023-02-28,933003959.5945052
2023-03-01,919764042.5098847
2023-03-02,927160409.7569697
2023-03-03,969354461.8675977
2023-03-04,964314620.3713303
2023-03-05,948199042.3140972
2023-03-06,945356387.0675377
2023-03-07,944535315.0290018
2023-03-08,949067026.7277805
2023-03-09,922007164.6273555
2023-03-10,861023320.2138827
2023-03-11,821201035.4901963
2023-03-12,742693410.7074586
2023-03-13,793836472.1696721
2023-03-14,786112453.2230384
2023-03-15,810907108.967354
2023-03-16,782563212.0852133
2023-03-17,792623254.1274843
2023-03-18,836039661.0568535
2023-03-19,836923428.356157
2023-03-20,850517980.2252406
2023-03-21,849045182.528594
2023-03-22,858382700.6680074
2023-03-23,836429450.2338649
2023-03-24,854446839.3167547
2023-03-25,833970861.0519301
2023-03-26,831233236.7790742
2023-03-27,841187647.4156199
2023-03-28,825229464.8207731
2023-03-29,825887148.1097971
2023-03-30,846318950.883367
2023-03-31,846637766.182048
2023-04-01,868303513.7840317
2023-04-02,880221886.9826027
2023-04-03,868143379.657183
2023-04-04,856780579.0697125
2023-04-05,878134401.842846
2023-04-06,868822600.2524595
2023-04-07,884368563.2542489
2023-04-08,877119562.0500084
2023-04-09,876404453.6261649
2023-04-10,881218304.7270471
2023-04-11,864009013.2332721
2023-04-12,867177070.6148603
2023-04-13,869387906.2016605
2023-04-14,925088882.3534349
2023-04-15,915168387.0009745
2023-04-16,896805169.8910648
2023-04-17,895712297.7824094
2023-04-18,886823541.0675273
2023-04-19,905745497.2362748
2023-04-20,859376189.2962205
2023-04-21,847300262.091164
2023-04-22,817241050.8886691
2023-04-23,813294325.3536083
2023-04-24,810432209.8987262
2023-04-25,812389702.006874
2023-04-26,823925837.1292425
2023-04-27,837995836.1450655
2023-04-28,834768021.2380377
2023-04-29,836829445.5659822
2023-04-30,842049921.0459132
2023-05-01,836642464.6474887
2023-05-02,802560046.594661
2023-05-03,807728183.0703881
2023-05-04,823007066.5826706
2023-05-05,820377237.7770251
2023-05-06,826122011.1158392
2023-05-07,792603938.2314564
2023-05-08,785548360.4123682
2023-05-09,762843688.6794206
2023-05-10,763586426.2268065
2023-05-11,769858471.3835299
2023-05-12,762636619.2682269
2023-05-13,759274258.935256
2023-05-14,758382574.0906439
2023-05-15,758153352.1465849
2023-05-16,770289062.9786375
2023-05-17,773392091.0995184
2023-05-18,770519719.0621381
2023-05-19,759807633.3308976
2023-05-20,747522836.5637071
2023-05-21,755031672.5386922
2023-05-22,738707518.3588171
2023-05-23,739774556.6555232
2023-05-24,740974247.5393189
2023-05-25,715870919.6874133
2023-05-26,707740815.3993856
2023-05-27,716707566.8870213
2023-05-28,723818723.7592608
2023-05-29,737583015.3683556
2023-05-30,721020831.4444172
2023-05-31,719024765.2231079
2023-06-01,706573920.4526377
2023-06-02,721549713.2850736
2023-06-03,708934502.1059284
2023-06-04,702636178.4403758
2023-06-05,730753601.7367847
2023-06-06,694523878.1170144
2023-06-07,705039224.8446171
2023-06-08,703290589.4634085
2023-06-09,698220950.2249749
2023-06-10,680943660.2850417
2023-06-11,646703185.2028079
2023-06-12,648224033.6904446
2023-06-13,642796253.3980291
2023-06-14,655510363.5118281
2023-06-15,644415327.1698804
2023-06-16,636229844.1990098
2023-06-17,650736271.1492707
