date,tvl
2022-11-11,38904877.72691343
2022-11-12,38455559.1428696
2022-11-13,37620620.764161356
2022-11-14,36547696.69493214
2022-11-15,37095008.7701679
2022-11-16,37204178.9369383
2022-11-17,37679450.25444235
2022-11-18,37712101.698635675
2022-11-19,37939138.71988578
2022-11-20,37745380.99192171
2022-11-21,36703936.76333808
2022-11-22,36509366.874484405
2022-11-23,37403802.123918116
2022-11-24,37877852.74411161
2022-11-25,37894561.825391285
2022-11-26,38058562.54484255
2022-11-27,38608935.89143789
2022-11-28,38288718.21747647
2022-11-29,37976236.90530533
2022-11-30,38989494.15454512
2022-12-01,40817316.657024756
2022-12-02,40299902.58527064
2022-12-03,40807372.618338004
2022-12-04,40957794.46667079
2022-12-05,39311062.76292516
2022-12-06,39278903.24133657
2022-12-07,39008944.38771252
2022-12-08,38658986.80513685
2022-12-09,40868510.203045905
2022-12-10,40723612.81665292
2022-12-11,42749733.684068695
2022-12-12,44471519.49524634
2022-12-13,44323695.82411931
2022-12-14,44989066.75277713
2022-12-15,44965651.91580272
2022-12-16,44721373.936085075
2022-12-17,46640952.35677107
2022-12-18,48726975.815508634
2022-12-19,50137724.50264945
2022-12-20,51097234.892719716
2022-12-21,52045492.5281609
2022-12-22,52296908.76683511
2022-12-23,52677524.686724216
2022-12-24,52865330.92966704
2022-12-25,52341008.0426181
2022-12-26,52650365.59722167
2022-12-27,53188126.85148139
2022-12-28,53076106.03729594
2022-12-29,52579277.43069114
2022-12-30,52679427.426384814
2022-12-31,53548281.57319788
2023-01-01,53719890.657608286
2023-01-02,54022180.9804778
2023-01-03,55114202.07145314
2023-01-04,55541127.547384225
2023-01-05,55802083.339601
2023-01-06,54920556.985414356
2023-01-07,55278543.0206101
2023-01-08,55889320.728712134
2023-01-09,50841544.274612166
2023-01-10,49182434.19542322
2023-01-11,49320047.50979578
2023-01-12,50181667.93499449
2023-01-13,50731438.12469731
2023-01-14,51786468.12527476
2023-01-15,51916806.26211795
2023-01-16,52324412.99263996
2023-01-17,51891421.770567395
2023-01-18,51677225.38020342
2023-01-19,50448753.583257884
2023-01-20,51353111.00060589
2023-01-21,54310836.14915059
2023-01-22,54674689.73038416
