date,tvl
2022-11-14,1026705491.8215964
2022-11-15,1036663048.8594371
2022-11-16,1044642622.5322518
2022-11-17,1036930519.220395
2022-11-18,1035678515.269534
2022-11-19,1032835785.3981881
2022-11-20,1027605716.7412782
2022-11-21,990874552.2751247
2022-11-22,988826632.6266806
2022-11-23,985741077.6163616
2022-11-24,996499811.5013998
2022-11-25,994475336.051274
2022-11-26,991522647.4022423
2022-11-27,993081473.3478014
2022-11-28,993691449.0683432
2022-11-29,976753553.6834787
2022-11-30,990658508.371354
2022-12-01,1004018600.0123634
2022-12-02,1013802160.6674303
2022-12-03,1007047487.5161036
2022-12-04,994924088.6092929
2022-12-05,1007694990.1038046
2022-12-06,1002683986.2215534
2022-12-07,1003857243.3034561
2022-12-08,989379485.641855
2022-12-09,1002256259.8884546
2022-12-10,994403480.6664089
2022-12-11,997744144.8709545
2022-12-12,976549271.2270614
2022-12-13,978108348.133815
2022-12-14,993920098.6667752
2022-12-15,981425483.8189
2022-12-16,971036397.3268433
2022-12-17,928789729.1354352
2022-12-18,934382590.823452
2022-12-19,933169548.0246159
2022-12-20,915180291.5110968
2022-12-21,925975711.5851924
2022-12-22,926628867.895486
2022-12-23,932903308.4894959
2022-12-24,930712067.4726304
2022-12-25,927799501.9142593
2022-12-26,926507668.2055906
2022-12-27,929963035.2696218
2022-12-28,938895403.9035956
2022-12-29,927211371.6763923
2022-12-30,930454546.5429825
2022-12-31,922454612.0268548
2023-01-01,919581314.9155797
2023-01-02,919874617.0216105
2023-01-03,927847364.9506292
2023-01-04,925929946.157198
2023-01-05,941866429.287767
2023-01-06,947954503.8165923
2023-01-07,952850267.6790688
2023-01-08,949177179.9563445
2023-01-09,965091501.7634187
2023-01-10,981459596.7576205
2023-01-11,986153606.9876213
2023-01-12,1019439289.2129862
2023-01-13,1028270300.6322774
2023-01-14,1074095123.2167149
2023-01-15,1078377677.1408067
2023-01-16,1084400024.189385
2023-01-17,1088092172.8058639
2023-01-18,1087276906.3651402
2023-01-19,1070660004.2171906
2023-01-20,1080984820.4157248
2023-01-21,1113418622.4352443
2023-01-22,1100124025.1338959
2023-01-23,1108198305.9544227
2023-01-24,1109136688.701346
2023-01-25,1083520035.5620656
2023-01-26,1107941762.4890416
2023-01-27,1129437787.9453604
2023-01-28,1148822196.7605503
2023-01-29,1143623269.106506
2023-01-30,1162396573.7629128
2023-01-31,1128876868.8618817
2023-02-01,1131507938.9999774
2023-02-02,1152405390.2534082
2023-02-03,1129242126.8727531
2023-02-04,1147886414.8741417
2023-02-05,1148559493.1777692
2023-02-06,1136054253.2460513
2023-02-07,1130832363.904688
2023-02-08,1163152185.8355763
2023-02-09,1159058486.31505
2023-02-10,1100652859.7393365
2023-02-11,1093708155.7630234
2023-02-12,1105196269.6162412
2023-02-13,1095372872.1055925
2023-02-14,1077257983.527074
2023-02-15,1081514666.39889
2023-02-16,1132166413.7170098
2023-02-17,1129849629.7059913
2023-02-18,1182156478.5492551
2023-02-19,1180387668.4897308
2023-02-20,1170732436.4836876
2023-02-21,1180358012.9962466
2023-02-22,1152457921.598715
2023-02-23,1144156016.8414357
2023-02-24,1137320953.6299882
2023-02-25,1110022310.0192125
2023-02-26,1099531535.5381348
2023-02-27,1117426662.9905775
2023-02-28,1107269467.2783275
2023-03-01,1093817087.07998
2023-03-02,1115994433.5817468
2023-03-03,1106561620.1258445
2023-03-04,1074677029.43914
2023-03-05,1061520523.3457729
2023-03-06,1066941312.8597599
2023-03-07,1064583383.9474909
2023-03-08,1074534997.0851028
2023-03-09,1044457000.877212
2023-03-10,994097013.8211207
2023-03-11,986213759.783697
2023-03-12,901561383.3919587
2023-03-13,965862664.3366905
2023-03-14,993409632.4447125
2023-03-15,1007992088.6159805
2023-03-16,977739215.5572125
2023-03-17,992986619.4222733
2023-03-18,1042037109.1326659
2023-03-19,1036332408.1852707
2023-03-20,1033298203.7785747
2023-03-21,1018949926.6645219
2023-03-22,1033925930.7104801
2023-03-23,1016004299.8575946
2023-03-24,1026740554.5870285
2023-03-25,1014853259.0806272
2023-03-26,1010441448.5277301
2023-03-27,1021101993.6065688
2023-03-28,999215101.660126
2023-03-29,1014134100.1277535
2023-03-30,1033463932.48844
2023-03-31,1038426546.0522542
2023-04-01,1048158463.5492997
2023-04-02,1049852399.4400612
2023-04-03,1041890183.8774999
2023-04-04,1038333887.2369592
2023-04-05,1074045460.218429
2023-04-06,1066625288.6091167
2023-04-07,1060557378.2583268
2023-04-08,1050503343.1339389
2023-04-09,1063457215.5268177
2023-04-10,1053281189.24463
2023-04-11,1067601385.8436167
2023-04-12,1059619329.5114585
2023-04-13,1066684406.1704816
2023-04-14,1115043301.2098663
2023-04-15,1099569918.6772988
2023-04-16,1112976476.6059768
2023-04-17,1101806690.9479258
2023-04-18,1102406909.5570862
2023-04-19,1108834060.0502212
2023-04-20,1058730024.2942841
2023-04-21,1048653450.4111544
2023-04-22,1013582428.2840796
2023-04-23,1024474846.4235618
2023-04-24,1019148133.7158794
2023-04-25,1012237913.712574
2023-04-26,1032399953.4050655
2023-04-27,1039758730.5419961
2023-04-28,1039923599.4381139
2023-04-29,1037150031.9098353
2023-04-30,1046461517.0606862
2023-05-01,1037450856.2404902
2023-05-02,1011708087.2195327
2023-05-03,1017036910.9198548
2023-05-04,1036137454.8269962
2023-05-05,1027346631.6458846
2023-05-06,1044034147.1654767
2023-05-07,1011661966.5521195
2023-05-08,999384319.9360076
2023-05-09,976062912.2669526
2023-05-10,981214571.5948269
2023-05-11,971614794.3184226
2023-05-12,951464327.2189969
2023-05-13,969342847.469433
2023-05-14,965616683.3378562
2023-05-15,970650226.1443273
2023-05-16,990215814.5735867
2023-05-17,986189113.1011045
2023-05-18,991988468.7221135
2023-05-19,991834502.0769119
2023-05-20,982943514.9110191
2023-05-21,994720408.9646187
2023-05-22,982632404.713565
2023-05-23,991768488.9893606
2023-05-24,1011849041.1111702
2023-05-25,992949867.928952
2023-05-26,995538803.1229566
2023-05-27,1005253771.8405938
2023-05-28,1022255086.9052078
2023-05-29,1048829731.9881364
2023-05-30,1032230321.4977169
2023-05-31,1037426822.7471079
2023-06-01,1018673237.1393993
2023-06-02,1010777859.541395
2023-06-03,1033431566.545631
2023-06-04,1035931028.7799191
2023-06-05,1020761264.2470229
2023-06-06,1006130263.8202124
2023-06-07,1022026728.6268996
2023-06-08,990111995.6819626
2023-06-09,991031142.6436841
2023-06-10,950817395.0695713
2023-06-11,888202394.0925332
2023-06-12,889466693.7608875
2023-06-13,890754983.1720386
2023-06-14,890946369.2823123
2023-06-15,867025345.1275364
2023-06-16,839238790.8645644
2023-06-17,882439914.5031314
2023-06-18,893319124.2479596
2023-06-19,890344852.3488245
2023-06-20,898536990.6954929
2023-06-21,929779768.6195784
2023-06-22,968578917.4766797
2023-06-23,954724080.505458
2023-06-24,960051632.7718385
2023-06-25,953541579.0567625
2023-06-26,964879998.2130053
2023-06-27,961807653.2560352
2023-06-28,962434769.8920786
2023-06-29,941004358.5063058
2023-06-30,949555562.7499449
2023-07-01,972074963.0413169
2023-07-02,976339616.7946528
2023-07-03,982873759.8187816
2023-07-04,996625336.9857104
2023-07-05,985781977.057786
2023-07-06,974126926.0473003
2023-07-07,961428529.14179
2023-07-08,970134490.740253
2023-07-09,972451778.5157576
2023-07-10,967774135.8122593
2023-07-11,980623962.0953174
2023-07-12,985801171.2246013
2023-07-13,989181381.3380301
2023-07-14,1034006268.4657503
2023-07-15,1003477933.4644374
2023-07-16,1004014546.0591558
2023-07-17,994485953.5186919
2023-07-18,995124152.4586737
2023-07-19,984307105.0263523
2023-07-20,979761308.8936781
2023-07-21,986677803.3505025
2023-07-22,999288201.5268272
2023-07-23,985715237.7453068
2023-07-24,993227888.1146922
2023-07-25,972915657.7959515
2023-07-26,965324072.4156418
2023-07-27,975700137.9506056
2023-07-28,973885314.1949471
2023-07-29,972527538.4548777
2023-07-30,976499959.1745319
2023-07-31,905957674.1686406
2023-08-01,893700261.9889715
2023-08-02,881996727.2795614
2023-08-03,847643432.2591119
2023-08-04,843180808.6790748
2023-08-05,841262408.0671515
2023-08-06,849334247.6001801
2023-08-07,882125386.2562886
2023-08-08,882249838.6398191
2023-08-09,917485872.0578399
2023-08-10,912398187.6199648
2023-08-11,913496097.0816808
2023-08-12,907775997.98104
2023-08-13,903418848.4891696
2023-08-14,898129561.064255
2023-08-15,902488295.4225085
2023-08-16,880065245.1714289
2023-08-17,869854950.1341622
2023-08-18,827479698.0932212
2023-08-19,827529289.0090412
2023-08-20,831991620.9426811
2023-08-21,837704562.7870032
2023-08-22,823746518.3100648
2023-08-23,802362219.8276033
2023-08-24,813760607.8687747
2023-08-25,802649647.7945678
2023-08-26,788600317.9170151
2023-08-27,792411619.1977112
2023-08-28,797100746.774176
2023-08-29,800508261.9657185
2023-08-30,824565965.7420588
2023-08-31,813279833.8666621
2023-09-01,785727656.0338222
2023-09-02,795695513.0425522
2023-09-03,798728254.9609989
2023-09-04,798482723.7116027
2023-09-05,794670622.7070119
2023-09-06,792744357.1743387
2023-09-07,794530253.6638228
2023-09-08,805642031.3342555
2023-09-09,801460063.2844266
2023-09-10,799687266.898814
2023-09-11,791774718.4849021
2023-09-12,777435854.1799049
2023-09-13,785247680.9047762
2023-09-14,785966331.9873168
2023-09-15,791873169.9674324
2023-09-16,797894422.5125821
2023-09-17,795242208.1029153
2023-09-18,792574792.6024954
2023-09-19,794240981.6958936
2023-09-20,801108353.8333032
2023-09-21,796960709.8167506
2023-09-22,778977042.6763686
2023-09-23,782890197.1050966
2023-09-24,780811262.4226593
2023-09-25,774630337.925957
2023-09-26,781487244.7636461
2023-09-27,777978109.5634274
2023-09-28,776376016.9398785
2023-09-29,790692047.7527752
2023-09-30,791564849.9328527
2023-10-01,794622566.0109497
2023-10-02,815067787.8533102
2023-10-03,803753409.2974731
2023-10-04,799688670.9331359
2023-10-05,797572675.4131626
2023-10-06,790610167.3444829
2023-10-07,802032004.4122517
2023-10-08,798695352.8053644
2023-10-09,794461067.9998634
2023-10-10,778006351.911809
2023-10-11,773998391.3135293
2023-10-12,705302991.2367837
2023-10-13,700192801.2888467
2023-10-14,701263876.4746388
2023-10-15,702294641.9149276
2023-10-16,702138345.6680791
2023-10-17,718662826.5773972
2023-10-18,707047959.1613815
2023-10-19,694918183.4267887
2023-10-20,702312302.0941396
2023-10-21,711502805.416673
2023-10-22,726874407.4063171
2023-10-23,744665933.2091395
2023-10-24,774905906.2027004
2023-10-25,769279913.8379648
2023-10-26,775000737.4101405
2023-10-27,782171215.6798694
2023-10-28,771499824.3912345
2023-10-29,774926769.2875988
2023-10-30,784906535.402893
2023-10-31,778185946.0098782
2023-11-01,768340968.966466
2023-11-02,783456905.3890203
2023-11-03,772400126.6241385
2023-11-04,782061675.2246108
2023-11-05,780233817.2600555
2023-11-06,785985556.9429307
2023-11-07,786607033.0755894
2023-11-08,804282271.9778241
2023-11-09,816827307.3770063
2023-11-10,836705291.6934307
2023-11-11,829310820.4241177
2023-11-12,833974328.7732215
2023-11-13,838916678.6426948
2023-11-14,834510404.8063756
2023-11-15,844879621.8843364
2023-11-16,865157029.0569855
2023-11-17,817560286.3875673
2023-11-18,812564381.2779084
2023-11-19,822864300.0691166
2023-11-20,847179563.4598149
2023-11-21,827883426.6724949
2023-11-22,815055045.0066857
2023-11-23,819997962.7966352
2023-11-24,830331089.8306162
2023-11-25,825453454.3745126
2023-11-26,830357417.0605432
2023-11-27,806085295.0703697
2023-11-28,805649421.9932895
2023-11-29,817679300.1194379
2023-11-30,817406645.8463371
2023-12-01,831911338.6404154
2023-12-02,840772578.9228575
2023-12-03,851252954.496472
2023-12-04,860651863.2325019
2023-12-05,851520340.9997191
2023-12-06,871303455.3027598
2023-12-07,861429554.1292162
2023-12-08,888375713.3521211
2023-12-09,908636065.142832
2023-12-10,898776906.0501845
2023-12-11,870542726.7155218
2023-12-12,855441461.8110642
2023-12-13,847237838.705317
2023-12-14,880372297.5796593
2023-12-15,873721291.413753
2023-12-16,862917591.70003
2023-12-17,852595824.555886
2023-12-18,819421893.4297084
2023-12-19,850357219.3096547
2023-12-20,842277647.9470388
2023-12-21,848796570.9765037
2023-12-22,871358877.3809841
2023-12-23,865339015.081486
2023-12-24,866871901.2119479
2023-12-25,865928812.5411344
2023-12-26,861523563.3427875
2023-12-27,908575303.4534625
2023-12-28,925230323.1392709
2023-12-29,911080060.4212153
2023-12-30,885445902.1734431
2023-12-31,896058274.1180897
2024-01-01,896367177.6281158
2024-01-02,924634195.4406216
2024-01-03,912549044.1131338
2024-01-04,849820536.2721294
2024-01-05,847964133.9008728
2024-01-06,841131910.9644403
2024-01-07,837386328.4473324
2024-01-08,824212636.3130767
2024-01-09,850540473.0097685
2024-01-10,868496768.2443314
2024-01-11,922400647.2985188
2024-01-12,919161139.2719297
2024-01-13,881350818.3512132
2024-01-14,887941636.8326919
2024-01-15,886165528.1014059
2024-01-16,882169521.9647917
2024-01-17,879404163.3977604
2024-01-18,863311930.7622241
2024-01-19,852744410.6009364
2024-01-20,843485413.0702014
2024-01-21,854483248.7623265
2024-01-22,832002128.7107257
2024-01-23,790603148.2608889
2024-01-24,806500197.4176526
2024-01-25,799858895.8402485
2024-01-26,816487628.6440673
2024-01-27,807654282.8369259
2024-01-28,827221053.0672706
2024-01-29,812953685.5535257
2024-01-30,830950344.1977149
2024-01-31,827754859.7156587
2024-02-01,815496606.9335308
2024-02-02,834432578.7610431
2024-02-03,826435704.4724396
2024-02-04,823612371.215018
2024-02-05,829192385.2395848
2024-02-06,818612991.8017775
2024-02-07,825340543.343237
2024-02-08,853193877.42752
2024-02-09,872983191.73399
2024-02-10,876226159.9780353
2024-02-11,890293072.7707884
2024-02-12,873460716.6026733
2024-02-13,909151073.094125
2024-02-14,925221435.580385
2024-02-15,936202108.7648948
2024-02-16,949818332.1777985
2024-02-17,944344399.9433577
2024-02-18,954209072.6289407
2024-02-19,983252592.232996
