date,volume
2023-07-31,104717
2023-08-01,21884970
2023-08-02,954697
2023-08-03,27780331
2023-08-04,10457879
2023-08-05,16342992
2023-08-06,7925190
2023-08-07,18060558
2023-08-08,18660461
2023-08-09,32095736
2023-08-10,26177426
2023-08-11,35908319
2023-08-12,63132108
2023-08-13,68528850
2023-08-14,77713389
2023-08-15,104990485
2023-08-16,103555373
2023-08-17,68059605
2023-08-18,21689227
2023-08-19,12478011
2023-08-20,13149662
2023-08-21,17905464
2023-08-22,15494341
2023-08-23,14982106
2023-08-24,15719308
2023-08-25,13439168
2023-08-26,7869348
2023-08-27,15787400
2023-08-28,12086520
2023-08-29,15717880
2023-08-30,15983513
2023-08-31,49983162
2023-09-01,34206362
2023-09-02,18849805
2023-09-03,12480763
2023-09-04,9861460
2023-09-05,12930396
2023-09-06,16707079
2023-09-07,20844043
2023-09-08,17061274
2023-09-09,9187966
2023-09-10,12240640
2023-09-11,13757600
2023-09-12,18031023
2023-09-13,23049480
2023-09-14,22407451
2023-09-15,21844622
2023-09-16,20466251
2023-09-17,21880667
2023-09-18,27791702
2023-09-19,36933740
2023-09-20,20705541
2023-09-21,18287183
2023-09-22,11605347
2023-09-23,10587492
2023-09-24,11672503
2023-09-25,18539771
2023-09-26,14060782
2023-09-27,17888639
2023-09-28,22915098
2023-09-29,21308834
2023-09-30,11615347
2023-10-01,20614244
2023-10-02,26044910
2023-10-03,18359584
2023-10-04,16834938
2023-10-05,26541857
2023-10-06,21415505
2023-10-07,10550724
2023-10-08,16353957
2023-10-09,27271803
2023-10-10,19894426
2023-10-11,26173170
2023-10-12,27235161
2023-10-13,16671903
2023-10-14,9322463
2023-10-15,10340498
2023-10-16,28126526
2023-10-17,14884249
2023-10-18,14638921
2023-10-19,17342628
2023-10-20,17371303
2023-10-21,17797751
2023-10-22,17925909
2023-10-23,33073379
2023-10-24,38193218
2023-10-25,26571754
2023-10-26,32382040
2023-10-27,20713282
2023-10-28,11107772
2023-10-29,11539891
2023-10-30,18323930
2023-10-31,19230617
2023-11-01,28048774
2023-11-02,25081885
2023-11-03,16896331
2023-11-04,12270428
2023-11-05,20492677
2023-11-06,22060496
2023-11-07,22300792
2023-11-08,15656403
2023-11-09,39959043
2023-11-10,26184872
2023-11-11,26799790
2023-11-12,20937123
2023-11-13,35990971
2023-11-14,28619866
2023-11-15,24135001
2023-11-16,37263717
2023-11-17,18938314
2023-11-18,16170742
2023-11-19,24451146
2023-11-20,28798486
2023-11-21,34797576
2023-11-22,36457282
2023-11-23,28905943
2023-11-24,33537761
2023-11-25,14623588
2023-11-26,19637027
2023-11-27,17804199
2023-11-28,17741295
2023-11-29,16436564
2023-11-30,39285218
2023-12-01,22873402
2023-12-02,15989067
2023-12-03,17444676
2023-12-04,21881577
2023-12-05,24832147
2023-12-06,22584593
2023-12-07,23395869
2023-12-08,20436126
2023-12-09,24227000
2023-12-10,16071933
2023-12-11,38990463
2023-12-12,31950475
2023-12-13,29504289
2023-12-14,33280172
2023-12-15,28566284
2023-12-16,33685632
2023-12-17,27524361
2023-12-18,31837875
2023-12-19,26035556
2023-12-20,27225835
2023-12-21,33574602
2023-12-22,35716391
2023-12-23,53629054
2023-12-24,39739815
2023-12-25,19482965
2023-12-26,27080982
2023-12-27,31780993
2023-12-28,49019411
2023-12-29,36496668
2023-12-30,25170846
2023-12-31,19099425
2024-01-01,21627256
2024-01-02,35728642
2024-01-03,45179939
2024-01-04,29681426
2024-01-05,30687215
2024-01-06,14775289
2024-01-07,13673689
2024-01-08,35899730
2024-01-09,55228778
2024-01-10,58551508
2024-01-11,48822621
2024-01-12,51105551
