date,volume
2024-07-09,58539638
2024-07-10,38076402
2024-07-11,39564896
2024-07-12,41970348
2024-07-13,52842989
2024-07-14,58940333
2024-07-15,87447837
2024-07-16,129030610
2024-07-17,82701086
2024-07-18,57285113
2024-07-19,81709801
2024-07-20,61913807
2024-07-21,166798211
2024-07-22,120133123
2024-07-23,127736029
2024-07-24,109396771
2024-07-25,110875930
2024-07-26,94722856
2024-07-27,97180693
2024-07-28,48906331
2024-07-29,107476748
2024-07-30,60787717
2024-07-31,76249600
2024-08-01,95993106
2024-08-02,122411290
2024-08-03,112398062
2024-08-04,95781981
2024-08-05,367929401
2024-08-06,101629087
2024-08-07,88732766
2024-08-08,83993123
2024-08-09,73763329
2024-08-10,35601166
2024-08-11,49943029
2024-08-12,79539246
2024-08-13,56894440
2024-08-14,66794943
2024-08-15,72286831
2024-08-16,58429829
2024-08-17,27719640
2024-08-18,43385964
2024-08-19,72480958
2024-08-20,76799225
2024-08-21,92558260
2024-08-22,103807106
2024-08-23,146796923
2024-08-24,105508944
2024-08-25,87634447
2024-08-26,95851220
2024-08-27,92571101
2024-08-28,111578632
2024-08-29,64729151
2024-08-30,62612818
2024-08-31,32433656
2024-09-01,69540312
2024-09-02,71339981
2024-09-03,67468641
2024-09-04,92280939
2024-09-05,68084176
2024-09-06,116817662
2024-09-07,45953311
2024-09-08,64560338
2024-09-09,88109973
2024-09-10,64545219
2024-09-11,73096527
2024-09-12,66293328
2024-09-13,62843614
2024-09-14,65113977
2024-09-15,60593992
2024-09-16,81532144
2024-09-17,71968610
2024-09-18,91571225
2024-09-19,82755453
2024-09-20,112736420
2024-09-21,92940525
2024-09-22,54245009
2024-09-23,71784955
2024-09-24,36214384
2024-09-25,99991620
2024-09-26,105421323
2024-09-27,94937801
2024-09-28,71303753
2024-09-29,64940678
2024-09-30,85787105
2024-10-01,143551921
2024-10-02,125828388
2024-10-03,100542783
2024-10-04,103074606
2024-10-05,58888668
2024-10-06,52042574
2024-10-07,83409992
2024-10-08,100440901
2024-10-09,91845107
2024-10-10,101208796
2024-10-11,97791105
2024-10-12,99092277
2024-10-13,106018871
2024-10-14,133615999
2024-10-15,171050985
2024-10-16,112359903
2024-10-17,91033452
2024-10-18,74416916
2024-10-19,40413754
2024-10-20,66754006
2024-10-21,138957204
2024-10-22,124973044
2024-10-23,110087919
2024-10-24,80265451
2024-10-25,126386688
2024-10-26,89513030
2024-10-27,44369189
2024-10-28,122549379
2024-10-29,137628064
2024-10-30,101850877
2024-10-31,99024338
2024-11-01,109162479
2024-11-02,43585725
2024-11-03,87616185
2024-11-04,128708942
2024-11-05,105625173
2024-11-06,219705489
2024-11-07,234060055
2024-11-08,203728049
2024-11-09,145750628
2024-11-10,274891862
2024-11-11,374301781
2024-11-12,440392795
2024-11-13,379328284
2024-11-14,215542903
2024-11-15,185029082
2024-11-16,223631518
2024-11-17,326708723
2024-11-18,275547172
2024-11-19,200194112
2024-11-20,207356440
2024-11-21,298828154
2024-11-22,443628911
2024-11-23,459995941
2024-11-24,334839113
2024-11-25,499379613
2024-11-26,455491082
2024-11-27,364772121
2024-11-28,207508466
2024-11-29,221680031
2024-11-30,236759922
2024-12-01,233743351
2024-12-02,657649155
2024-12-03,516990608
2024-12-04,486685977
2024-12-05,477429721
