date,volume
2024-07-10,49512456
2024-07-11,41065443
2024-07-12,33321444
2024-07-13,15670600
2024-07-14,27027350
2024-07-15,50890145
2024-07-16,53864715
2024-07-17,52982062
2024-07-18,50195549
2024-07-19,61923711
2024-07-20,36608451
2024-07-21,14702604
2024-07-22,42209479
2024-07-23,11449977
2024-07-24,29260525
2024-07-25,27746779
2024-07-26,26050075
2024-07-27,22157378
2024-07-28,17599161
2024-07-29,24554299
2024-07-30,28341698
2024-07-31,30273110
2024-08-01,43499305
2024-08-02,69269129
2024-08-03,62971010
2024-08-04,30822554
2024-08-05,112232799
2024-08-06,49958953
2024-08-07,47880609
2024-08-08,51046672
2024-08-09,56551064
2024-08-10,49972425
2024-08-11,61784136
2024-08-12,97510349
2024-08-13,58011279
2024-08-14,47793564
2024-08-15,38133981
2024-08-16,37905287
2024-08-17,26742757
2024-08-18,32186926
2024-08-19,37497053
2024-08-20,31195702
2024-08-21,20931958
2024-08-22,20917215
2024-08-23,44747823
2024-08-24,31266892
2024-08-25,31327320
2024-08-26,44158549
2024-08-27,50802119
2024-08-28,42683656
2024-08-29,36651899
2024-08-30,27433506
2024-08-31,15422979
2024-09-01,23319841
2024-09-02,30064243
2024-09-03,26123115
2024-09-04,34025082
2024-09-05,30252342
2024-09-06,46193002
2024-09-07,34019010
2024-09-08,45486978
2024-09-09,39771775
2024-09-10,30481866
2024-09-11,36996601
2024-09-12,52344188
2024-09-13,44032839
2024-09-14,52639578
2024-09-15,52627064
2024-09-16,54899331
2024-09-17,62893040
2024-09-18,84771546
2024-09-19,78339838
2024-09-20,90711794
2024-09-21,63074172
2024-09-22,77653866
2024-09-23,98821521
2024-09-24,118586338
2024-09-25,88550604
2024-09-26,84857867
2024-09-27,60731100
2024-09-28,48361796
2024-09-29,90461973
2024-09-30,102973302
2024-10-01,161176458
2024-10-02,158544228
2024-10-03,191189302
2024-10-04,115456399
2024-10-05,72798297
2024-10-06,100578682
2024-10-07,182948137
2024-10-08,190886079
2024-10-09,205568714
2024-10-10,185533737
2024-10-11,195430213
2024-10-12,197243239
2024-10-13,189079458
2024-10-14,227450001
2024-10-15,235781730
2024-10-16,220452049
2024-10-17,123996457
2024-10-18,126690311
2024-10-19,103335614
2024-10-20,141124755
2024-10-21,147446337
2024-10-22,162197404
2024-10-23,135400146
2024-10-24,116708183
2024-10-25,125929034
2024-10-26,149500373
2024-10-27,104453775
2024-10-28,160649314
2024-10-29,200804198
2024-10-30,146680621
2024-10-31,169336278
2024-11-01,209258138
2024-11-02,105130667
2024-11-03,124605517
2024-11-04,159050993
2024-11-05,200766856
2024-11-06,434795606
2024-11-07,274672021
2024-11-08,217221817
2024-11-09,292787542
2024-11-10,433723493
2024-11-11,336680506
2024-11-12,362270066
2024-11-13,448789067
2024-11-14,437297671
2024-11-15,340445947
2024-11-16,330069700
2024-11-17,285887146
2024-11-18,240522312
2024-11-19,259853300
2024-11-20,343817582
2024-11-21,249286673
2024-11-22,322673834
2024-11-23,213513106
2024-11-24,197037566
2024-11-25,219008564
2024-11-26,262486121
2024-11-27,225506646
2024-11-28,148383167
2024-11-29,117534908
2024-11-30,103464332
2024-12-01,131585261
2024-12-02,228457828
2024-12-03,344810172
2024-12-04,290248904
2024-12-05,424516529
2024-12-06,170767493
