date,fee
2023-01-07,44941
2023-01-08,81334
2023-01-09,104925
2023-01-10,72825
2023-01-11,64670
2023-01-12,61740
2023-01-13,63405
2023-01-14,90766
2023-01-15,103506
2023-01-16,87921
2023-01-17,74277
2023-01-18,82766
2023-01-19,66779
2023-01-20,79291
2023-01-21,84395
2023-01-22,81132
2023-01-23,94278
2023-01-24,74696
2023-01-25,71845
2023-01-26,72635
2023-01-27,66858
2023-01-28,67100
2023-01-29,70900
2023-01-30,73167
2023-01-31,59891
2023-02-01,71148
2023-02-02,68444
2023-02-03,64535
2023-02-04,75351
2023-02-05,68194
2023-02-06,64203
2023-02-07,77190
2023-02-08,73469
2023-02-09,73557
2023-02-10,75892
2023-02-11,51120
2023-02-12,55841
2023-02-13,62047
2023-02-14,58924
2023-02-15,60257
2023-02-16,67746
2023-02-17,58124
2023-02-18,62671
2023-02-19,72666
2023-02-20,78921
2023-02-21,77230
2023-02-22,69483
2023-02-23,67746
2023-02-24,75419
2023-02-25,30053
2023-02-26,54344
2023-02-27,97175
2023-02-28,70499
2023-03-01,62434
2023-03-02,71567
2023-03-03,72551
2023-03-04,59976
2023-03-05,58368
2023-03-06,58895
2023-03-07,62237
2023-03-08,64694
2023-03-09,75025
2023-03-10,80496
2023-03-11,158092
2023-03-12,61108
2023-03-13,77020
2023-03-14,70555
2023-03-15,66149
2023-03-16,58227
2023-03-17,67804
2023-03-18,73143
2023-03-19,59098
2023-03-20,79881
2023-03-21,70439
2023-03-22,1109937
2023-03-23,57648
2023-03-24,1101496
2023-03-25,1097040
2023-03-26,1097890
2023-03-27,50103
2023-03-28,49259
2023-03-29,1095904
2023-03-30,52205
2023-03-31,50478
2023-04-01,48722
2023-04-02,53237
2023-04-03,53091
2023-04-04,48415
2023-04-05,47366
2023-04-06,50032
2023-04-07,45830
2023-04-08,46912
2023-04-09,46816
2023-04-10,49883
2023-04-11,70445
2023-04-12,81760
2023-04-13,74103
2023-04-14,71125
2023-04-15,57515
2023-04-16,60390
2023-04-17,71536
2023-04-18,63510
2023-04-19,72020
2023-04-20,62948
2023-04-21,59995
2023-04-22,52937
2023-04-23,52059
2023-04-24,55999
2023-04-25,58887
2023-04-26,58239
2023-04-27,61367
2023-04-28,60163
2023-04-29,61832
2023-04-30,58129
2023-05-01,65446
2023-05-02,54303
2023-05-03,59420
2023-05-04,86284
2023-05-05,93539
2023-05-06,151266
2023-05-07,98362
2023-05-08,114939
2023-05-09,88630
2023-05-10,107188
2023-05-11,87060
2023-05-12,76706
2023-05-13,61275
2023-05-14,55257
2023-05-15,62552
2023-05-16,59245
2023-05-17,60398
2023-05-18,65422
2023-05-19,56105
2023-05-20,53584
2023-05-21,52300
2023-05-22,55313
2023-05-23,51097
2023-05-24,100882
2023-05-25,71210
2023-05-26,52315
2023-05-27,52786
2023-05-28,60404
2023-05-29,686512
2023-05-30,72887
2023-05-31,74320
2023-06-01,60801
2023-06-02,52667
2023-06-03,55865
2023-06-04,59147
2023-06-05,78993
2023-06-06,60064
2023-06-07,60001
2023-06-08,51413
2023-06-09,61329
2023-06-10,105327
2023-06-11,48145
2023-06-12,46917
2023-06-13,48411
2023-06-14,49084
2023-06-15,52203
2023-06-16,47074
2023-06-17,42912
2023-06-18,40737
2023-06-19,47226
2023-06-20,47072
2023-06-21,49916
2023-06-22,53765
2023-06-23,58736
2023-06-24,52599
2023-06-25,58372
2023-06-26,56975
2023-06-27,57026
2023-06-28,56861
2023-06-29,68680
2023-06-30,119675
2023-07-01,62640
2023-07-02,64743
2023-07-03,69852
2023-07-04,70645
2023-07-05,65639
2023-07-06,113693
2023-07-07,112164
2023-07-08,88252
2023-07-09,74934
2023-07-10,86302
2023-07-11,79545
2023-07-12,77153
2023-07-13,130021
2023-07-14,190044
2023-07-15,115648
2023-07-16,105212
2023-07-17,132268
2023-07-18,104196
2023-07-19,99318
2023-07-20,87446
2023-07-21,91615
2023-07-22,77710
2023-07-23,69012
2023-07-24,82338
2023-07-25,1113504
2023-07-26,95081
2023-07-27,84975
2023-07-28,71596
2023-07-29,64681
2023-07-30,64275
2023-07-31,78589
2023-08-01,116196
2023-08-02,104645
2023-08-03,90104
2023-08-04,78494
2023-08-05,69702
2023-08-06,75798
2023-08-07,106900
2023-08-08,90913
2023-08-09,93348
