date,fee
2023-01-07,220463
2023-01-08,143116
2023-01-09,115344
2023-01-10,188201
2023-01-11,193307
2023-01-12,228489
2023-01-13,309821
2023-01-14,331866
2023-01-15,285374
2023-01-16,168321
2023-01-17,220434
2023-01-18,279616
2023-01-19,328936
2023-01-20,338904
2023-01-21,464548
2023-01-22,361600
2023-01-23,310094
2023-01-24,346693
2023-01-25,383773
2023-01-26,286989
2023-01-27,276628
2023-01-28,341618
2023-01-29,258486
2023-01-30,201804
2023-01-31,266721
2023-02-01,440177
2023-02-02,511698
2023-02-03,505039
2023-02-04,591391
2023-02-05,452943
2023-02-06,330452
2023-02-07,427974
2023-02-08,514645
2023-02-09,418635
2023-02-10,463580
2023-02-11,592650
2023-02-12,487538
2023-02-13,404246
2023-02-14,530884
2023-02-15,585236
2023-02-16,859327
2023-02-17,738592
2023-02-18,648535
2023-02-19,480519
2023-02-20,388262
2023-02-21,431509
2023-02-22,428755
2023-02-23,440445
2023-02-24,459357
2023-02-25,436547
2023-02-26,363884
2023-02-27,349796
2023-02-28,543157
2023-03-01,611285
2023-03-02,588746
2023-03-03,577606
2023-03-04,615863
2023-03-05,448294
2023-03-06,388578
2023-03-07,549107
2023-03-08,563749
2023-03-09,575045
2023-03-10,924918
2023-03-11,875366
2023-03-12,558832
2023-03-13,472933
2023-03-14,632724
2023-03-15,930525
2023-03-16,813547
2023-03-17,835267
2023-03-18,1184848
2023-03-19,923586
2023-03-20,800806
2023-03-21,816072
2023-03-22,836704
2023-03-23,968871
2023-03-24,1103132
2023-03-25,1219730
2023-03-26,825382
2023-03-27,619504
2023-03-28,669618
2023-03-29,730657
2023-03-30,772801
2023-03-31,776066
2023-04-01,953434
2023-04-02,875253
2023-04-03,680023
2023-04-04,791454
2023-04-05,933235
2023-04-06,915481
2023-04-07,905748
2023-04-08,753531
2023-04-09,615974
2023-04-10,483732
2023-04-11,654962
2023-04-12,921140
2023-04-13,757369
2023-04-14,767013
2023-04-15,858535
2023-04-16,630623
2023-04-17,484206
2023-04-18,618935
2023-04-19,609394
2023-04-20,613749
2023-04-21,599827
2023-04-22,645228
2023-04-23,450816
2023-04-24,378556
2023-04-25,591009
2023-04-26,744672
2023-04-27,954058
2023-04-28,1236784
2023-04-29,1357328
2023-04-30,1236262
2023-05-01,1391711
2023-05-02,1971402
2023-05-03,3377645
2023-05-04,3500629
2023-05-05,3386064
2023-05-06,4033169
2023-05-07,5263442
2023-05-08,12133278
2023-05-09,17419674
2023-05-10,12127250
2023-05-11,9105104
2023-05-12,5216293
2023-05-13,4589891
2023-05-14,2991931
2023-05-15,2264044
2023-05-16,2490361
2023-05-17,3064361
2023-05-18,2541525
2023-05-19,2894900
2023-05-20,3165928
2023-05-21,2210252
2023-05-22,1916877
2023-05-23,1898365
2023-05-24,1911905
2023-05-25,1719604
2023-05-26,2420263
2023-05-27,2635194
2023-05-28,1635502
2023-05-29,1760505
2023-05-30,1973576
2023-05-31,2250264
2023-06-01,1883176
2023-06-02,1839440
2023-06-03,2048571
2023-06-04,1200054
