date,fee
2022-11-21,457057
2022-11-22,444806
2022-11-23,438592
2022-11-24,463354
2022-11-25,444594
2022-11-26,373090
2022-11-27,358013
2022-11-28,452869
2022-11-29,501795
2022-11-30,535624
2022-12-01,604949
2022-12-02,493661
2022-12-03,406367
2022-12-04,520508
2022-12-05,738183
2022-12-06,585755
2022-12-07,536280
2022-12-08,650258
2022-12-09,622203
2022-12-10,1248729
2022-12-11,518287
2022-12-12,728772
2022-12-13,634434
2022-12-14,718726
2022-12-15,616317
2022-12-16,610116
2022-12-17,515708
2022-12-18,431201
2022-12-19,586586
2022-12-20,576636
2022-12-21,571435
2022-12-22,570784
2022-12-23,557365
2022-12-24,446817
2022-12-25,408821
2022-12-26,532496
2022-12-27,531231
2022-12-28,543523
2022-12-29,545073
2022-12-30,554802
2022-12-31,465230
2023-01-01,422539
2023-01-02,520380
2023-01-03,551783
2023-01-04,553625
2023-01-05,576439
2023-01-06,550510
2023-01-07,465130
2023-01-08,462999
2023-01-09,678202
2023-01-10,636764
2023-01-11,599404
2023-01-12,629336
2023-01-13,663235
2023-01-14,666305
2023-01-15,637582
2023-01-16,836677
2023-01-17,771157
2023-01-18,690056
2023-01-19,608568
2023-01-20,597275
2023-01-21,483448
2023-01-22,431282
2023-01-23,557254
2023-01-24,553169
2023-01-25,530424
2023-01-26,562354
2023-01-27,582318
2023-01-28,541278
2023-01-29,564293
2023-01-30,726062
2023-01-31,767000
2023-02-01,758596
2023-02-02,788233
2023-02-03,724465
2023-02-04,657911
2023-02-05,689757
2023-02-06,1535230
2023-02-07,1561719
2023-02-08,1611153
2023-02-09,1562011
2023-02-10,1357351
2023-02-11,1197085
2023-02-12,1066568
2023-02-13,1364081
2023-02-14,1319651
2023-02-15,1314076
2023-02-16,1491919
2023-02-17,1445692
2023-02-18,1218279
2023-02-19,1131774
2023-02-20,1443008
2023-02-21,1415187
2023-02-22,1350909
2023-02-23,1356619
2023-02-24,1336246
2023-02-25,1117781
2023-02-26,1036703
2023-02-27,1336120
2023-02-28,1349335
2023-03-01,1359974
2023-03-02,1299998
2023-03-03,1307608
2023-03-04,1068591
2023-03-05,1001099
2023-03-06,1283932
2023-03-07,1276572
2023-03-08,1212350
2023-03-09,1241886
2023-03-10,1174328
2023-03-11,968735
2023-03-12,865539
2023-03-13,1258488
2023-03-14,1244084
2023-03-15,1222668
2023-03-16,1208834
2023-03-17,1239550
2023-03-18,1091930
2023-03-19,1016509
2023-03-20,1277302
2023-03-21,1243285
2023-03-22,1284239
2023-03-23,1164978
2023-03-24,1211987
2023-03-25,1036892
2023-03-26,962923
2023-03-27,1290039
2023-03-28,1340340
2023-03-29,1340434
2023-03-30,1283648
2023-03-31,1319126
2023-04-01,1118545
2023-04-02,1096794
2023-04-03,1393618
2023-04-04,1376685
2023-04-05,1364446
2023-04-06,1393031
2023-04-07,1341254
2023-04-08,1153783
2023-04-09,1056735
2023-04-10,1349499
2023-04-11,1347235
2023-04-12,1276192
2023-04-13,1234844
2023-04-14,1283208
2023-04-15,1099778
2023-04-16,1008891
2023-04-17,1372407
2023-04-18,1263678
2023-04-19,1334970
2023-04-20,1254766
2023-04-21,1194149
2023-04-22,964176
2023-04-23,931428
2023-04-24,1223406
2023-04-25,1265023
2023-04-26,1233753
2023-04-27,1191336
2023-04-28,1228083
2023-04-29,1028196
2023-04-30,1017070
2023-05-01,1222467
2023-05-02,1348169
2023-05-03,1367519
2023-05-04,1347467
2023-05-05,1391749
2023-05-06,1201066
2023-05-07,1088434
2023-05-08,1357174
2023-05-09,1252460
2023-05-10,1299918
2023-05-11,1303895
2023-05-12,1295605
2023-05-13,1094454
2023-05-14,1025750
2023-05-15,1449738
2023-05-16,1444415
2023-05-17,1374961
2023-05-18,1366499
2023-05-19,1298814
2023-05-20,1076101
2023-05-21,1025389
2023-05-22,1370871
2023-05-23,1354818
2023-05-24,1399125
2023-05-25,1330927
2023-05-26,1335166
2023-05-27,1057553
2023-05-28,1008954
2023-05-29,1389983
2023-05-30,1390022
2023-05-31,1447923
2023-06-01,1319061
2023-06-02,1288216
2023-06-03,1190560
2023-06-04,1046597
2023-06-05,1375609
2023-06-06,1282012
2023-06-07,1324450
2023-06-08,1211890
2023-06-09,1219534
2023-06-10,1044894
2023-06-11,872264
2023-06-12,1157396
2023-06-13,1153060
2023-06-14,1152107
2023-06-15,1204817
2023-06-16,1146903
2023-06-17,940226
2023-06-18,865843
2023-06-19,1110833
2023-06-20,1142528
2023-06-21,1105788
2023-06-22,1004891
2023-06-23,1056781
2023-06-24,893586
2023-06-25,856196
2023-06-26,1171588
2023-06-27,1154515
2023-06-28,1133916
2023-06-29,1091536
2023-06-30,1225766
2023-07-01,950313
2023-07-02,909023
2023-07-03,1224813
2023-07-04,1216847
2023-07-05,1207899
2023-07-06,1197128
2023-07-07,1182970
2023-07-08,969868
2023-07-09,940188
2023-07-10,1286606
2023-07-11,1236029
2023-07-12,1199310
2023-07-13,1213909
2023-07-14,1372768
2023-07-15,1183440
2023-07-16,1249663
2023-07-17,1397185
2023-07-18,1379327
2023-07-19,1274352
2023-07-20,1262037
2023-07-21,1328609
2023-07-22,1023466
2023-07-23,937973
2023-07-24,1410775
2023-07-25,1385151
2023-07-26,1387411
2023-07-27,1303640
2023-07-28,1266684
2023-07-29,1024792
2023-07-30,968599
2023-07-31,1394379
2023-08-01,1399337
2023-08-02,1369168
2023-08-03,1259908
2023-08-04,1274782
2023-08-05,950287
2023-08-06,907826
2023-08-07,1382645
2023-08-08,1270290
2023-08-09,1178717
2023-08-10,1183715
2023-08-11,1120275
2023-08-12,937221
2023-08-13,888057
2023-08-14,1191275
2023-08-15,1178394
2023-08-16,1138488
2023-08-17,1113375
2023-08-18,1060417
2023-08-19,875555
2023-08-20,835515
2023-08-21,1106010
2023-08-22,1051359
2023-08-23,1018548
2023-08-24,1029328
2023-08-25,1044347
2023-08-26,864817
2023-08-27,840564
2023-08-28,1092559
2023-08-29,1129423
2023-08-30,1122991
2023-08-31,1109436
2023-09-01,1144957
2023-09-02,935467
2023-09-03,886827
