date,fee
2022-11-21,181194
2022-11-22,209576
2022-11-23,160954
2022-11-24,100252
2022-11-25,145753
2022-11-26,73761
2022-11-27,72892
2022-11-28,264396
2022-11-29,217182
2022-11-30,157200
2022-12-01,122746
2022-12-02,164954
2022-12-03,140931
2022-12-04,83038
2022-12-05,95754
2022-12-06,77875
2022-12-07,94330
2022-12-08,110355
2022-12-09,77720
2022-12-10,66576
2022-12-11,226610
2022-12-12,83857
2022-12-13,275949
2022-12-14,164803
2022-12-15,99576
2022-12-16,138240
2022-12-17,62800
2022-12-18,58212
2022-12-19,87632
2022-12-20,97806
2022-12-21,74215
2022-12-22,125115
2022-12-23,64292
2022-12-24,58204
2022-12-25,58983
2022-12-26,54903
2022-12-27,89279
2022-12-28,98591
2022-12-29,85056
2022-12-30,95630
2022-12-31,53606
2023-01-01,86743
2023-01-02,66799
2023-01-03,66778
2023-01-04,121117
2023-01-05,114604
2023-01-06,81225
2023-01-07,47010
2023-01-08,68396
2023-01-09,713183
2023-01-10,149743
2023-01-11,232256
2023-01-12,311630
2023-01-13,211879
2023-01-14,344775
2023-01-15,133441
2023-01-16,122390
2023-01-17,203713
2023-01-18,224526
2023-01-19,164298
2023-01-20,176981
2023-01-21,178804
2023-01-22,299612
2023-01-23,159140
2023-01-24,221315
2023-01-25,156816
2023-01-26,170562
2023-01-27,227286
2023-01-28,249761
2023-01-29,179148
2023-01-30,307406
2023-01-31,168947
2023-02-01,272526
2023-02-02,422317
2023-02-03,241178
2023-02-04,134900
2023-02-05,142995
2023-02-06,203147
2023-02-07,255996
2023-02-08,163952
2023-02-09,263710
2023-02-10,1670035
2023-02-11,127258
2023-02-12,138315
2023-02-13,197417
2023-02-14,271896
2023-02-15,227477
2023-02-16,343902
2023-02-17,253675
2023-02-18,162026
2023-02-19,176656
2023-02-20,330388
2023-02-21,329471
2023-02-22,265293
2023-02-23,223051
2023-02-24,352672
2023-02-25,132763
2023-02-26,101524
2023-02-27,122212
2023-02-28,157320
2023-03-01,160139
2023-03-02,146458
2023-03-03,200409
2023-03-04,139454
2023-03-05,97995
2023-03-06,77604
2023-03-07,272167
2023-03-08,197571
2023-03-09,206519
2023-03-10,220328
2023-03-11,598138
2023-03-12,420387
2023-03-13,393754
2023-03-14,320139
2023-03-15,211641
2023-03-16,153650
2023-03-17,267392
2023-03-18,266880
2023-03-19,265590
2023-03-20,216030
2023-03-21,272501
2023-03-22,375871
2023-03-23,272096
2023-03-24,245660
2023-03-25,111764
2023-03-26,143666
2023-03-27,337344
2023-03-28,240472
2023-03-29,193139
2023-03-30,233138
2023-03-31,240440
2023-04-01,145943
2023-04-02,132390
2023-04-03,160784
2023-04-04,189937
2023-04-05,216780
2023-04-06,129295
2023-04-07,200458
2023-04-08,171350
2023-04-09,182084
2023-04-10,170607
2023-04-11,223060
2023-04-12,445303
2023-04-13,451118
2023-04-14,251781
2023-04-15,172917
2023-04-16,232074
2023-04-17,223449
2023-04-18,309139
2023-04-19,407441
2023-04-20,255338
2023-04-21,269110
2023-04-22,182431
2023-04-23,226969
2023-04-24,228201
2023-04-25,282835
2023-04-26,393060
2023-04-27,444202
2023-04-28,211876
2023-04-29,165958
2023-04-30,152940
2023-05-01,184175
2023-05-02,180774
2023-05-03,201983
2023-05-04,137396
2023-05-05,175262
2023-05-06,184050
2023-05-07,121559
2023-05-08,190508
2023-05-09,130934
2023-05-10,247674
2023-05-11,200646
2023-05-12,190200
2023-05-13,113011
2023-05-14,153559
2023-05-15,146416
2023-05-16,177636
2023-05-17,198434
2023-05-18,129467
2023-05-19,139203
2023-05-20,84346
2023-05-21,113389
2023-05-22,138050
2023-05-23,131423
2023-05-24,187147
2023-05-25,242488
2023-05-26,150760
2023-05-27,104332
2023-05-28,221544
2023-05-29,176366
2023-05-30,213168
2023-05-31,181998
2023-06-01,151136
2023-06-02,159177
2023-06-03,111674
2023-06-04,144354
2023-06-05,294451
2023-06-06,213198
2023-06-07,196763
2023-06-08,152587
2023-06-09,172978
2023-06-10,418339
2023-06-11,141229
2023-06-12,148897
2023-06-13,187409
2023-06-14,222643
2023-06-15,217350
2023-06-16,167063
2023-06-17,96696
2023-06-18,134917
2023-06-19,135128
2023-06-20,215264
2023-06-21,273752
2023-06-22,256241
2023-06-23,223002
2023-06-24,148436
2023-06-25,147584
2023-06-26,184868
2023-06-27,213235
2023-06-28,280266
2023-06-29,191817
2023-06-30,306675
2023-07-01,133156
2023-07-02,137384
2023-07-03,232482
2023-07-04,154603
2023-07-05,170287
2023-07-06,221443
2023-07-07,164629
2023-07-08,216327
2023-07-09,164383
2023-07-10,185704
2023-07-11,228922
2023-07-12,192091
2023-07-13,313580
2023-07-14,433865
2023-07-15,197470
2023-07-16,150306
2023-07-17,209819
2023-07-18,166489
2023-07-19,172903
2023-07-20,217972
2023-07-21,146402
2023-07-22,187082
2023-07-23,128293
2023-07-24,199853
2023-07-25,310885
2023-07-26,188957
2023-07-27,133923
2023-07-28,126013
2023-07-29,101821
2023-07-30,197902
2023-07-31,155139
2023-08-01,172825
2023-08-02,204125
2023-08-03,168567
2023-08-04,136739
2023-08-05,92438
2023-08-06,97706
2023-08-07,152020
2023-08-08,167252
2023-08-09,134628
2023-08-10,120937
2023-08-11,108044
2023-08-12,74676
2023-08-13,116697
2023-08-14,139701
2023-08-15,144667
2023-08-16,150847
2023-08-17,278232
2023-08-18,142843
2023-08-19,87684
2023-08-20,50276
2023-08-21,96633
2023-08-22,126961
2023-08-23,102521
2023-08-24,83737
2023-08-25,91883
2023-08-26,53074
2023-08-27,52424
2023-08-28,95003
2023-08-29,167143
2023-08-30,85578
2023-08-31,196254
2023-09-01,112669
2023-09-02,137156
2023-09-03,54346
2023-09-04,78193
2023-09-05,118706
2023-09-06,105249
2023-09-07,80787
2023-09-08,83094
2023-09-09,46487
2023-09-10,106024
2023-09-11,126070
2023-09-12,93422
2023-09-13,84046
2023-09-14,105880
2023-09-15,82255
2023-09-16,67872
2023-09-17,70013
2023-09-18,83293
2023-09-19,94525
2023-09-20,85808
2023-09-21,80851
2023-09-22,87225
2023-09-23,39244
2023-09-24,55592
2023-09-25,73443
2023-09-26,64995
2023-09-27,85088
2023-09-28,126421
2023-09-29,87916
2023-09-30,72604
2023-10-01,103302
2023-10-02,155626
2023-10-03,360813
2023-10-04,530073
2023-10-05,369339
2023-10-06,781527
2023-10-07,595767
2023-10-08,68732
2023-10-09,101506
2023-10-10,83408
2023-10-11,86540
2023-10-12,98746
2023-10-13,69527
2023-10-14,54770
2023-10-15,45529
2023-10-16,144025
2023-10-17,256765
2023-10-18,349854
2023-10-19,175777
2023-10-20,194468
2023-10-21,161670
2023-10-22,171562
2023-10-23,231334
2023-10-24,251189
2023-10-25,169311
2023-10-26,300119
2023-10-27,180966
2023-10-28,128310
2023-10-29,139475
2023-10-30,140321
2023-10-31,190702
2023-11-01,241310
2023-11-02,238242
2023-11-03,203048
2023-11-04,127478
2023-11-05,142641
2023-11-06,176624
2023-11-07,174015
2023-11-08,149032
2023-11-09,322879
2023-11-10,4308121
2023-11-11,334827
2023-11-12,411456
2023-11-13,370908
2023-11-14,411681
2023-11-15,578413
2023-11-16,745960
2023-11-17,710503
2023-11-18,288171
2023-11-19,349081
2023-11-20,518886
2023-11-21,783917
2023-11-22,1136518
2023-11-23,556472
2023-11-24,259473
2023-11-25,159514
2023-11-26,198823
2023-11-27,230716
2023-11-28,281500
2023-11-29,323233
2023-11-30,231357
2023-12-01,288398
2023-12-02,186127
2023-12-03,167683
2023-12-04,449276
2023-12-05,473745
2023-12-06,831731
2023-12-07,678281
2023-12-08,827420
2023-12-09,1363228
2023-12-10,890858
2023-12-11,1674695
2023-12-12,1312752
2023-12-13,1749341
2023-12-14,2163278
2023-12-15,4368529
2023-12-16,7538762
2023-12-17,5875170
2023-12-18,7737667
2023-12-19,7596746
2023-12-20,10473771
2023-12-21,5277676
2023-12-22,2026537
2023-12-23,1139558
2023-12-24,1266717
2023-12-25,952302
2023-12-26,1399497
2023-12-27,960764
2023-12-28,695190
2023-12-29,782768
2023-12-30,411711
2023-12-31,543363
2024-01-01,623957
2024-01-02,791059
2024-01-03,818351
2024-01-04,593841
2024-01-05,449387
2024-01-06,282156
2024-01-07,287512
2024-01-08,629568
2024-01-09,574060
2024-01-10,651057
2024-01-11,735020
2024-01-12,549690
2024-01-13,260056
2024-01-14,336613
2024-01-15,320511
2024-01-16,297873
2024-01-17,2418827
2024-01-18,424677
2024-01-19,361792
2024-01-20,227376
2024-01-21,170312
2024-01-22,555512
2024-01-23,362518
2024-01-24,1794056
2024-01-25,233812
2024-01-26,271665
2024-01-27,169686
2024-01-28,389011
2024-01-29,350191
2024-01-30,374120
2024-01-31,439674
2024-02-01,285665
2024-02-02,460113
2024-02-03,260506
2024-02-04,199381
2024-02-05,229746
2024-02-06,251579
2024-02-07,470796
2024-02-08,354133
2024-02-09,551048
2024-02-10,322720
2024-02-11,281323
2024-02-12,419726
2024-02-13,361420
2024-02-14,405199
2024-02-15,448710
2024-02-16,366840
2024-02-17,289480
2024-02-18,265965
2024-02-19,399065
2024-02-20,433981
2024-02-21,381850
2024-02-22,260705
2024-02-23,426883
2024-02-24,778310
2024-02-25,473311
2024-02-26,340231
2024-02-27,493135
2024-02-28,895846
2024-02-29,684794
2024-03-01,586621
2024-03-02,409806
2024-03-03,534633
2024-03-04,361662
2024-03-05,683204
2024-03-06,534425
2024-03-07,313528
2024-03-08,648410
2024-03-09,473880
2024-03-10,596817
2024-03-11,1458015
2024-03-12,1057488
2024-03-13,1249912
2024-03-14,1858006
2024-03-15,1362797
2024-03-16,1547922
2024-03-17,1238121
2024-03-18,1370190
2024-03-19,1520210
2024-03-20,2770262
2024-03-21,2176146
2024-03-22,2177689
2024-03-23,1678248
2024-03-24,1948530
2024-03-25,1950807
2024-03-26,448180
2024-03-27,806584
2024-03-28,518805
2024-03-29,372313
2024-03-30,361536
2024-03-31,278273
2024-04-01,459661
2024-04-02,578023
2024-04-03,366730
2024-04-04,397121
2024-04-05,364219
2024-04-06,297363
2024-04-07,278709
2024-04-08,366634
2024-04-09,337883
2024-04-10,443342
2024-04-11,335202
2024-04-12,712470
2024-04-13,1291135
2024-04-14,425847
2024-04-15,313919
2024-04-16,312598
2024-04-17,336397
2024-04-18,300258
2024-04-19,316972
2024-04-20,225395
2024-04-21,186910
2024-04-22,279988
2024-04-23,237594
2024-04-24,295033
2024-04-25,242402
2024-04-26,209607
2024-04-27,231586
2024-04-28,196727
2024-04-29,278553
2024-04-30,309503
2024-05-01,296068
2024-05-02,189973
2024-05-03,201930
2024-05-04,187911
2024-05-05,186844
2024-05-06,255534
2024-05-07,183324
2024-05-08,188525
2024-05-09,171958
2024-05-10,239648
2024-05-11,169581
2024-05-12,121587
2024-05-13,1146215
2024-05-14,225618
2024-05-15,223022
2024-05-16,285092
2024-05-17,221111
2024-05-18,301280
2024-05-19,209811
2024-05-20,262491
2024-05-21,337324
2024-05-22,295936
2024-05-23,329260
2024-05-24,251173
2024-05-25,142194
2024-05-26,148970
2024-05-27,183086
2024-05-28,221440
2024-05-29,220887
2024-05-30,245573
2024-05-31,233186
2024-06-01,138344
2024-06-02,135132
2024-06-03,189996
2024-06-04,185957
2024-06-05,203612
2024-06-06,174612
2024-06-07,209187
2024-06-08,106890
2024-06-09,82747
2024-06-10,113830
2024-06-11,156597
2024-06-12,150685
2024-06-13,105885
2024-06-14,139743
2024-06-15,70272
2024-06-16,72418
2024-06-17,119728
2024-06-18,158754
2024-06-19,113142
2024-06-20,127253
2024-06-21,156412
2024-06-22,188002
2024-06-23,102556
2024-06-24,141829
2024-06-25,103313
2024-06-26,103560
2024-06-27,113173
2024-06-28,135730
2024-06-29,87339
2024-06-30,104417
2024-07-01,125484
2024-07-02,116830
2024-07-03,126670
2024-07-04,122232
2024-07-05,253927
2024-07-06,109914
2024-07-07,107604
2024-07-08,148545
2024-07-09,117143
2024-07-10,106550
2024-07-11,114084
2024-07-12,134996
2024-07-13,122918
2024-07-14,120314
2024-07-15,164102
2024-07-16,213178
2024-07-17,183765
2024-07-18,140247
2024-07-19,178881
2024-07-20,129122
2024-07-21,300015
2024-07-22,233082
2024-07-23,217219
2024-07-24,214771
2024-07-25,189355
2024-07-26,211861
2024-07-27,184112
2024-07-28,120417
2024-07-29,190486
2024-07-30,141942
2024-07-31,179251
2024-08-01,167878
2024-08-02,212931
2024-08-03,199446
2024-08-04,210328
2024-08-05,662801
2024-08-06,198023
2024-08-07,156782
2024-08-08,154632
2024-08-09,150616
2024-08-10,118044
2024-08-11,127520
2024-08-12,165204
