date,fee
2024-03-20,4
2024-03-21,6
2024-03-22,12
2024-03-23,33
2024-03-24,39
2024-03-25,40
2024-03-26,84
2024-03-27,66
2024-03-28,134
2024-03-29,87
2024-03-30,134
2024-03-31,423
2024-04-01,772
2024-04-02,1089
2024-04-03,663
2024-04-04,243
2024-04-05,548
2024-04-06,260
2024-04-07,86
2024-04-08,127
2024-04-09,186
2024-04-10,84
2024-04-11,103833
2024-04-12,1584
2024-04-13,468
2024-04-14,226
2024-04-15,6304
2024-04-16,7191
2024-04-17,4250
2024-04-18,2927
2024-04-19,3162
2024-04-20,2086
2024-04-21,4761
2024-04-22,4418
2024-04-23,2703
2024-04-24,2951
2024-04-25,2958
2024-04-26,2843
2024-04-27,2354
2024-04-28,2513
2024-04-29,3021
2024-04-30,3513
2024-05-01,2469
2024-05-02,2600
2024-05-03,1955
2024-05-04,1507
2024-05-05,939
2024-05-06,1667
2024-05-07,968
2024-05-08,495
2024-05-09,467
2024-05-10,375
2024-05-11,252
2024-05-12,995
2024-05-13,759
2024-05-14,630
2024-05-15,738
2024-05-16,3401
2024-05-17,1229
2024-05-18,1416
2024-05-19,786
2024-05-20,924
2024-05-21,1136
2024-05-22,605
2024-05-23,581
2024-05-24,2146
2024-05-25,7703
2024-05-26,2919
2024-05-27,3278
2024-05-28,2740
2024-05-29,1365
2024-05-30,1770
2024-05-31,1628
2024-06-01,1043
2024-06-02,767
2024-06-03,797
2024-06-04,2319
2024-06-05,2004
2024-06-06,1168
2024-06-07,2991
2024-06-08,1014
2024-06-09,1407
2024-06-10,1636
2024-06-11,1735
2024-06-12,1260
2024-06-13,929
2024-06-14,1203
2024-06-15,714
2024-06-16,1109
2024-06-17,1691
2024-06-18,1856
2024-06-19,761
2024-06-20,1791
2024-06-21,875
2024-06-22,443
2024-06-23,515
2024-06-24,1162
2024-06-25,559
2024-06-26,392
2024-06-27,516
2024-06-28,400
2024-06-29,457
2024-06-30,580
2024-07-01,440
2024-07-02,401
2024-07-03,489
2024-07-04,1119
2024-07-05,1358
2024-07-06,1791
2024-07-07,744
2024-07-08,1156
2024-07-09,768
2024-07-10,775
2024-07-11,632
2024-07-12,526
2024-07-13,394
2024-07-14,858
2024-07-15,1979
2024-07-16,3651
2024-07-17,2005
2024-07-18,514
2024-07-19,1520
2024-07-20,703
2024-07-21,3450
2024-07-22,1717
2024-07-23,1529
2024-07-24,1240
2024-07-25,1474
2024-07-26,889
2024-07-27,965
