date,price
2023-01-07,13.095
2023-01-08,14.468
2023-01-09,16.276
2023-01-10,16.2
2023-01-11,16.364
2023-01-12,16.599
2023-01-13,18.307
2023-01-14,24.288
2023-01-15,22.886
2023-01-16,23.61
2023-01-17,22.833
2023-01-18,20.817
2023-01-19,21.395
2023-01-20,25.523
2023-01-21,24.549
2023-01-22,24.205
2023-01-23,24.331
2023-01-24,22.78
2023-01-25,24.5
2023-01-26,24.363
2023-01-27,24.428
2023-01-28,24.013
2023-01-29,26.09
2023-01-30,23.967
2023-01-31,23.923
2023-02-01,25.009
2023-02-02,24.324
2023-02-03,24.676
2023-02-04,24.334
2023-02-05,23.477
2023-02-06,22.653
2023-02-07,23.818
2023-02-08,23.218
2023-02-09,20.49
2023-02-10,20.101
2023-02-11,20.797
2023-02-12,21.51
2023-02-13,20.763
2023-02-14,21.843
2023-02-15,23.877
2023-02-16,22.252
2023-02-17,23.151
2023-02-18,23.456
2023-02-19,24.828
2023-02-20,26.277
2023-02-21,24.98
2023-02-22,24.147
2023-02-23,23.926
2023-02-24,23.078
2023-02-25,22.37
2023-02-26,23.258
2023-02-27,22.672
2023-02-28,21.894
2023-03-01,22.515
2023-03-02,21.995
2023-03-03,21.42
2023-03-04,20.988
2023-03-05,20.968
2023-03-06,20.625
2023-03-07,20.247
2023-03-08,18.426
2023-03-09,17.326
2023-03-10,18.169
2023-03-11,18.12
2023-03-12,20.237
2023-03-13,20.396
2023-03-14,20.861
2023-03-15,19.247
2023-03-16,19.682
2023-03-17,21.602
2023-03-18,21.213
2023-03-19,21.863
2023-03-20,22.145
2023-03-21,22.536
2023-03-22,21.414
2023-03-23,22.177
2023-03-24,20.66
2023-03-25,20.408
2023-03-26,20.95
2023-03-27,19.896
2023-03-28,20.443
2023-03-29,21.098
2023-03-30,20.549
2023-03-31,21.176
2023-04-01,21.083
2023-04-02,20.519
2023-04-03,20.459
2023-04-04,20.915
2023-04-05,20.968
2023-04-06,20.623
2023-04-07,20.459
2023-04-08,20.036
2023-04-09,20.29
2023-04-10,20.901
2023-04-11,22.999
2023-04-12,23.812
2023-04-13,24.429
2023-04-14,24.715
2023-04-15,24.053
2023-04-16,25.368
2023-04-17,24.586
2023-04-18,24.827
2023-04-19,22.676
2023-04-20,22.197
2023-04-21,21.256
2023-04-22,21.795
2023-04-23,21.474
2023-04-24,21.382
2023-04-25,21.93
2023-04-26,21.268
2023-04-27,22.328
2023-04-28,23.343
2023-04-29,23.183
2023-04-30,22.745
2023-05-01,21.954
2023-05-02,22.253
2023-05-03,22.236
2023-05-04,21.735
2023-05-05,22.817
2023-05-06,21.92
2023-05-07,21.662
2023-05-08,20.623
2023-05-09,20.661
2023-05-10,20.926
2023-05-11,20.174
2023-05-12,20.914
2023-05-13,20.841
2023-05-14,20.926
2023-05-15,20.986
2023-05-16,20.678
2023-05-17,21.052
2023-05-18,20.338
2023-05-19,20.349
2023-05-20,20.274
2023-05-21,19.61
2023-05-22,19.516
2023-05-23,20.026
2023-05-24,19.205
2023-05-25,19.253
2023-05-26,19.353
2023-05-27,20.42
2023-05-28,20.805
2023-05-29,20.583
2023-05-30,21.255
2023-05-31,20.813
2023-06-01,20.489
2023-06-02,21.254
2023-06-03,21.184
2023-06-04,21.821
2023-06-05,20.007
2023-06-06,20.387
2023-06-07,18.634
2023-06-08,18.879
2023-06-09,17.395
2023-06-10,15.615
2023-06-11,15.541
2023-06-12,15.19
2023-06-13,15.037
2023-06-14,14.483
2023-06-15,14.769
2023-06-16,15.317
2023-06-17,15.642
2023-06-18,15.444
2023-06-19,16.102
2023-06-20,16.642
2023-06-21,17.233
2023-06-22,16.634
2023-06-23,17.137
2023-06-24,16.638
2023-06-25,16.957
2023-06-26,16.269
2023-06-27,16.627
2023-06-28,15.976
2023-06-29,17.996
2023-06-30,18.86
2023-07-01,18.695
2023-07-02,19.457
2023-07-03,19.263
2023-07-04,19.137
2023-07-05,18.99
2023-07-06,19.609
2023-07-07,21.497
2023-07-08,21.809
2023-07-09,21.326
2023-07-10,21.292
2023-07-11,22.067
2023-07-12,21.948
2023-07-13,26.024
2023-07-14,26.664
2023-07-15,27.458
2023-07-16,27.412
2023-07-17,26.794
2023-07-18,25.555
2023-07-19,26.304
2023-07-20,25.38
2023-07-21,25.503
2023-07-22,24.526
2023-07-23,24.755
2023-07-24,23.365
2023-07-25,23.274
2023-07-26,25.172
2023-07-27,25.095
2023-07-28,24.811
2023-07-29,25.169
2023-07-30,24.252
2023-07-31,23.731
2023-08-01,24.058
2023-08-02,23.149
2023-08-03,22.641
2023-08-04,22.808
2023-08-05,22.658
2023-08-06,23.193
2023-08-07,23.117
2023-08-08,24.216
2023-08-09,24.391
2023-08-10,24.626
2023-08-11,24.623
2023-08-12,24.913
2023-08-13,24.227
2023-08-14,25.185
2023-08-15,23.905
2023-08-16,22.823
2023-08-17,21.666
2023-08-18,21.342
2023-08-19,21.893
2023-08-20,21.771
2023-08-21,21.196
2023-08-22,20.584
2023-08-23,21.721
2023-08-24,21.052
2023-08-25,20.414
2023-08-26,20.283
2023-08-27,20.792
2023-08-28,20.553
2023-08-29,21.78
2023-08-30,20.817
2023-08-31,19.733
2023-09-01,19.325
2023-09-02,19.491
2023-09-03,19.563
2023-09-04,19.525
2023-09-05,20.266
2023-09-06,19.626
2023-09-07,19.909
2023-09-08,19.606
2023-09-09,19.441
2023-09-10,18.227
2023-09-11,17.727
2023-09-12,17.913
2023-09-13,18.399
2023-09-14,18.84
2023-09-15,19.149
2023-09-16,19.121
2023-09-17,18.807
2023-09-18,19.64
2023-09-19,20.021
2023-09-20,20.289
2023-09-21,19.449
2023-09-22,19.429
2023-09-23,19.481
2023-09-24,19.363
2023-09-25,19.39
2023-09-26,19.029
2023-09-27,19.132
2023-09-28,19.954
2023-09-29,20.267
2023-09-30,21.361
2023-10-01,23.884
2023-10-02,23.382
